会员账号,订单金额
dgh5525,500
zhu188188,73
yjs178699,100
qwe0008886,200
guxiong123456789,188
aa1931585900,100
c19811105,5600
zhu188188,100
872043787,50
pj097,50
wy7230,1000
qq2462634,1000
qwe0008886,200
zxc886456,200
limimi867503,100
zhu188188,100
c19811105,1800
jack6672,50
mnmnkk88758,700
aaa2211532202,200
xfz031101,200
shenhua1,3030
sz1668,100
pj097,50
z262413,118
cc188188,206
zzq0002,200
a4653235,126
zhang823,300
aaaaa1985,750
js1314jj,500
a4653235,100
ljy096,300
qwe0008886,200
jack6672,50
15052310653,2000
15052310653,1000
mnmnkk88758,600
15052310653,1200
17683703353,640
c19811105,3974
lijingu6,50
15052310653,1000
ts817925,4000
sly521521,300
mnmnkk88758,500
cc188188,100
taiy888,50
dingzg68,299
qwe0008886,200
qqww8866,300
mnmnkk88758,500
qqww8866,200
kt1314520,122
dian1901,55
qqww8866,200
mm8241654,50
zzq0002,200
qqww8866,200
zzq0002,200
c19811105,1500
qwe0008886,200
xsk123456,10
qq3565583862,100
zhouxunan1,500
2246375831,100
cc188188,100
a635948189,2200
mnmnkk88758,500
zzq0002,200
zxcv4312,500
zzq0002,100
zhouxunan1,326
gyf201314,100
awei746,268
tian0408,100
zqq1314,1000
aa06250513,100
a635948189,2000
qqww8866,200
liux43796,1000
fafa886,100
zxcv4312,500
as12345,100
mnmnkk88758,500
2451053531000,300
a13579asd,300
15052310653,1000
c19811105,1400
qqww8866,200
awei746,128
kt1314520,111
a635948189,1000
zxcv4312,300
qwe0008886,400
fafa886,100
qqww8866,200
mnmnkk88758,500
zxcv4312,200
qasdsa22,10
wang8416,100
a635948189,1000
15052310653,1000
276287735,5000
asd98,688
15052310653,1000
zzq0002,200
gpz0311,100
mnmnkk88758,500
15052310653,1000
a635948189,1000
qqww8866,200
15052310653,1000
cc188188,350
1148397747,5000
a635948189,1000
wei7918,1000
acha111,2000
acha111,10000
2451053531000,489
15052310653,1000
ts817925,2000
asdz4564,10
gpz0311,100
qera3142,100
youyou123,197
qism1241,1000
h402269,3000
ya197010,200
ab358722,300
qqww8866,200
sss1982523,100
adily100,60
fafa886,100
vgy6758,1000
gpz0311,106
qqww8866,200
syz2638,1000
ya197010,200
l199318,300
a13579asd,303
qqww8866,200
zzzccc999,200
zzzccc999,200
jack6672,100
a151616a,1318
qasdsa22,28
bgt4682,1000
asd12e,28
zhu4033,100
jiaoz882,50
zhoupeng132,10
zhoupeng132,101
zhoupeng132,100
xgd5785,1000
zhoupeng132,110
zhoupeng132,10
lizhong123,1000
zxc21we,28
asdz4564,28
qq2367027594,100
qwer1235,100
qwjek686,28
gpz0311,50
nhf6783,1000
zhu4033,80
qwer1235,100
li59635,100
zhoupeng132,50
zhoupeng132,70
zhoupeng132,49
zhoupeng132,50
chen9374,600
qwer1235,100
zhang7652,400
miu8885t,50
ss151151,50
m147258,3500
qwer199315,100
lijie173,110
a13579asd,217
qwer1235,100
bian2828,500
l2632452172,100
xin07860,1000
13189262189,2000
c19811105,3050
lu2284,400
w147258369,4400
lfg6575,1000
c19811105,1500
niao3084,300
zz111a,100
wuwen22,300
wuwen22,100
shw684n,100
qq924942671,100
cc15222,50
w147258369,4300
qwe0008885,276
yt7688,500
great83,50
c19811105,1450
cc188188,200
hskc9010,50
cc188188,163
bgda4768,1000
zhoupeng132,30
wuwen22,100
uu1456,50
f59855,50
lilin980223,500
cai7678,400
wuwen22,100
zx154222,28
gpz0311,30
vhhs2181,50
ge5438,300
zhu4033,50
wzl19951104,2076
db5577,118
sha3749,400
21354s5a,28
huihui6396,50
c88414,50
kt1314520,400
wxm980524,2000
w147258369,417
xiaohu008926,100
acha111,3000
acha111,10000
byg647,1000
wuwen22,100
wkm520,2000
sazx542,28
ths666,50
psy666,100
qwe0008885,400
ch132646,1000
as12345,64
13189262189,2780
asd6592,28
ths666,50
zioxico2,28
ylj3468,1000
yzq98345,1000
a13579asd,306
qinqin77,100
ran2335,500
13189262189,2100
zzq0002,200
pan6036,400
zxcwq654,10
cai7678,400
lijingu6,117
ge5438,400
youyou123,136
z281963570,4000
ftu459,1000
kpwq201547,28
wuwen22,100
gai5438,400
han5899,400
chg135636,184
pan6036,400
tian0408,100
lx1592787,1000
zzq0002,200
asdq21656,30
bhg4657,1000
awwq62,30
daitu1,100
ou123456,105
fu704253747,75
shen1498,400
a635948189,1010
zzq0002,200
asd3565,16
ou123456,1000
a635948189,1020
lele0552,400
zzq0002,200
liang9255,500
wuwen22,110
w147258369,1000
acha111,6900
acha111,10000
wei8963,400
zzq0002,200
zhang254,1000
asd3565,24
zxcwq654,28
guan4210,506
fds6473,1000
mizhen1,37
wqowq12,30
qwe0008884,400
zhao4759,400
sun3159,500
jack6672,100
0726,20
gpz0311,30
wei8963,500
xin971,500
kcb78900,500
lz678,500
gyh693,1000
ljxy99,1118
sd2233,1000
lijie173,50
fgd4757,1000
qingge0216,2183.69
zheng789,100
zzq0002,100
liao254418,1000
zhang6358,500
aaa2211532202,200
js1314jj,1000
yuqqqz17,1000
cym0326,100
bbb8080,50
w15938888628,72.74
ljxy99,1088
taiy888,50
ljxy99,1099
ou123456,1000
as12345,59
zzq0002,500
zzq0002,500
z10610580,401
ue1474,50
15691165209,20
wu7515,400
h10610504,399
jia5562,400
302911,50
dl7792,500
liu6897,400
a8587437,304
tt123456a,500
lijingu6,130
a635948189,1000
zl117712,500
ljk3482,900
tt123456a,200
a13579asd,358
lijie173,10
ljk3482,100
xiangyue98,1000
jian5502,50
wzl19951104,56
fcz764154117,5115
lijie173,10
wangy8888,5000
fu704253747,5051
xfz031101,250
k78901,50
lijie173,10
mmz2004,50
m147258,10000
c19811105,4000
13189262189,1000
bhf581,900
bhf581,100
3287854869,1744
qx1127,50
lfx99040,1000
zl117712,379
psy666,50
ts817925,2689
psy666,100
zl117712,1000
qwer1235,100
cui6119,300
a8587437,300
mnh7801,50
cw64905,1000
qwe0008883,400
yanqq,100
hebaoxiang,299
qnm123123,1450
qqj2580,350
hao6025,400
1996ai,50
zl117712,1000
y160108074,400
cui6119,400
a13579asd,500
c19811105,5075
zu6763,400
qnm123123,1000
zxc558,50
cj690310,1000
w156056105,398
fcz764154117,60
acha111,5500
q177877,900
acha111,10000
zheng789,100
qwer1235,100
qwer1235,50
xiu362514,300
qx1127,50
lei7996,400
as12345,50
huahao456,100
lu98lu,50
w147258369,500
zhou1968,1000
liu6556,50
bb1596,100
fcz764154117,51
lijiale1,1000
w960952670,300
vxcfgg5,50
juan0324,280
yeah3350,100
huihui6396,50
13189262189,2000
lzz9907,1000
xcrd4567,50
xfghc75,50
qwer1235,50
shenhua1,1010
gpz0311,100
fh003152,1005
ldh369484,1000
zheng789,200
zxcv789,100
zl117712,1000
pg8883,200
zhf525214,100
wuwu147147,500
qq186618,100
zmg00147,500
qaz123zxc,50
too190,50
bkspkk,116
zf190529,112
276287735,5000
qq186618,100
zl117712,1000
18215584767,2000
1148397747,5000
wzl19951104,50
zl117712,660
zlz6631851,70
a13579asd,519
xie369258,300
cp684920,1012
xxx25533,200
acha111,4600
acha111,10000
wei0842,50
xa317150,1000
17673449487,50
jq137273,501
gfh25454,1000
haili566,100
