会员账号,订单金额
2000107,500
3287854869,1000
yxaini8888,50
askl199,100
17608906730,50
taq19790104,400
acha111,8000
sad876,500
ep69693,100
yyu5690,100
2000107,500
llkk755,100
fdq54312,1018
sad876,500
cxf1989,1000
12581258,140
pii256,100
ep69693,100
c19811105,2146
sad876,500
hst7334,300
3287854869,400
hst7334,1000
sad876,650
ai1667,100
llkk755,100
2000107,500
3287854869,100
erfd923,100
15052310653,1000
cxf1989,1000
liux43796,1000
lfl173,10
6248cl,50
gv35252,400
12581258,104
2000107,500
yyu5690,100
llkk755,100
sad876,1850
15052310653,1000
bay1629,100
srd856,100
hjj780,100
cxf1989,1000
ep69693,200
fttc77,100
aazz159658,500
2000107,400
bx666222,670
txg123456,400
gakki334,200
aazz159658,500
gakki334,1000
mvids24632,241
lijie173,30
lijie173,100
lijie173,100
lijie173,100
hoa151,100
2000107,300
cxf1989,600
dxz8028,100
erfd923,100
klnm220,100
ddd1159874,1004.97
zxcvbnm12568,200
cost588,100
ch279286323,2000
18770914009,1000
dusdus,5000
2000107,300
cost588,100
hoa151,100
ky0011,200
cxf1989,1000
wei7918,1000
yuu459,100
6248cl,400
cost588,100
babysona77,300
babysona77,1000
yao1211,150
asd98,1000
awm001024,2000
cost588,100
fttr666,100
mklj25,100
nhvj123,100
urbin20,50
qnm123123,1305
1735239780,240
cxf1989,600
yuu459,100
uvcg9462,1001
cxf1989,500
a1345639972,100
hong8688,100
guihong38336,1000
qnm123123,2000
186660830,100
zhu188188,62
tanxia0819,100
tanxia0819,1000
hong8688,150
ch279286323,500
vbg6747,1000
syz2638,1000
ch279286323,1300
sm1998,200
acha111,8200
chen9224,400
knbm23,100
sd2233,1000
d278872061,100
aazz159658,500
cqe56345,1018
cxf1989,500
awm001024,2000
jun9182,410
ths666,500
86ddd,100
l199318,200
zxx595,100
51ogh,100
awm001024,1000
ch279286323,1000
cong3926,450
ch279286323,1000
qiao8479,400
yuu459,90
awm001024,1000
vgd6759,1001
ttt55885,100
cxf1989,300
l199318,200
yuu459,100
zxc863576267,499.93
zsc123456,500
xman88,75
hgy859,100
15071289182,100
2000107,500
wqq87731,1186
51ogh,100
lcg6188,200
aazz159658,500
lcg6188,100
cxf1989,1000
15695110838,200
66t7zc,1000
qism1241,1001
zxcvbnm12568,100
2000107,500
zhui9633,50
hgy859,100
aaaaa1985,400
12581258,100
lcg6188,50
186660830,50
yxaini8888,200
opp25,100
aaaaa1985,1000
guihong38336,2111
zxc863576267,499.93
bgt4682,1001
vokko369,50
aass0088,50
wuwen22,400
2000107,318
aaaaa1985,1000
hgy859,100
wuwen22,300
qnm123123,2000
15071289182,200
kxxg10,100
acha111,8000
as12345,60
xulong007,100
jack6672,50
qxl0483,500
qaz5230220,500
uip985,100
12581258,100
lijingu6,57
tyhg22,100
qaz5230220,500
plm556,100
sd2233,1000
yf26562,500
2000107,880
lijingu6,300
tty0921,1000
alq200038,50
xgd5785,1001
tyhg22,100
yf26562,300
cxf1989,500
l199318,200
a281990123,50
jack6672,50
lingling615,100
yang2001422,500
lcg6188,100
cc188188,100
dali222,2000
tyu3568,100
poi8563,100
yongfeng,2000
liwanji12309,100
plm556,100
nhf6783,1002
linghao5688,300
qjj55512,1000
lcg6188,50
jack6672,50
zxcvbnm12568,50
wuwen22,300
2000107,500
2451053531000,800
hui6903,400
s208139,155
lijingu6,300
c2561360160,5809.59
lcg6188,50
ab4315,225
gqh52535,300
ldh369484,1000
yongfeng,2000
ths666,500
yan3717,300
a13579asd,200
acha111,7800
na123456,2500
yongfeng,2100
