会员账号,订单金额
ygf777,1000
goodluckpg,19
ws157732,200
quanyezhang,100
uu888888,5000
zzggpp,151
lxw225588,387
lu89512,530
zx2354710562,328
luo18550159742,100
13207955533,345
qaz5230220,300
qjj55512,500
yjl121510,200
13207955533,500
adily100,100
xx0812,230
411520a,300
phz6600,300
phz6600,100
htls888,100
lcdlcd,3000
3287854869,1000
js1314jj,500
phz6600,100
yang2001422,500
quanzhimin,100
byebye951,1000
1148397747,5000
276287735,2500
276287735,2500
qiong1368,260
a2944184599,103
3287854869,500
hj7788,673
vghj85,100
411520a,200
zx2354710562,200
vvc785,100
yjc821028,100
zhf525214,100
na123456,1000
ljxy99,968
1113203411,500
kkj432765,100
1480747740,300
nj8882,100
1480747740,500
tty0921,1060
nj8882,73
s208139,228
yjc821028,100
na123456,300
zhu188188,100
gmq1106,1000
yjc821028,100
sheko99,50
vghj85,100
wangy8888,200
jia8104,113
yao1211,300
nj8882,500
yf02125,206
yjl121510,200
zzy361082168,500
ww1700,250
vvc785,100
s208139,200
zxc886456,200
zhu188188,101
vvc785,100
na123456,301
ths666,100
vghj85,100
zzy361082168,300
gg0001,300
luxlove117,1000
xianh8252,1500
jack6672,50
zhu188188,50
vghj85,100
dusdus,2600
xianh8252,1100
mhb896,100
3287854869,500
1113203411,500
zx2354710562,1001
xianh8252,600
yhb531790,50
ths666,50
zhu188188,40
mhb896,100
ths666,35
sfa168168,1000
zhanghu888,100
15052310653,998
fgy588,200
fff8996,100
kw204,100
yhb531790,100
v88514,50
dusdus,2000
kk2165,50
qert1325,50
gakki334,1000
zhu188188,34
fgj8563,100
19152124506q,25
xianh8252,50
ws157732,100
zhu188188,60
qert1325,50
ews2369,100
df1d54d,25
liux43796,1000
a5z464v,25
xnfd5645,25
ui23ui1u4,25
popop66887,25
h46w46w,25
xfgh86,100
hst7334,1000
g65x6x2,25
fgy588,200
xv045ew,25
haowcr88,32
meng5370,1000
kps666,20
fgy588,200
zx2354710562,700
ldh369484,1000
hihi36999,50
fgy588,500
ll9277,300
uvcg9462,1000
qwerxxbb,320
mkb89,20
he6886e,25
g26q86qx,25
qq565a5z,25
bh852037,300
bb212121,25
tanxia0819,1000
kk656555,25
kkp4758,100
t4545tt,25
qaz5230220,500
sdf64eqw,25
vbg6747,900
15052310653,1000
dsf4b65,25
vbg6747,100
nfefe154,25
z940226692,50
lx1592787,1000
huang5201,3209
sd2233,2000
gg0001,300
aa756823,300
vgd6759,1000
gg0001,300
na123456,1000
babysona77,1000
15052310653,1000
awr8569,100
gg0001,100
15052310653,1000
cxf1989,500
qism1241,1000
na123456,1000
vxcv45s4,25
15052310653,300
doaa361,100
wew57822,25
kiyoumi122,500
wwr45r4t,25
tyu1478,50
ch132646,1000
huang5201,2000
cxf1989,500
zfb778899,194
hhg9885,50
xiaozhango,800
nihz666,50
na123456,1000
19536892689,100
15052310653,1000
bgt4682,1000
foo543,100
huang5201,3000
cxf1989,500
ttyy88,100
15052310653,1000
xiaozhango,1000
cdcd154,25
zfb778899,200
wan786,50
nn8986,50
a281990123,100
ttyy88,100
mhy6217,500
xiaozhango,1000
na123456,500
zzq0002,200
afvds4566,25
gg0001,400
lijingu6,200
vv5858,50
zxc236,100
gg0001,500
19536892689,100
mnmnkk88758,226
na123456,100
18679511116,100
xgd5785,1000
sd2233,1000
zzx456v,25
zxc236,100
qaz5230220,500
15052310653,1000
zzq0002,200
zx2354710562,300
cxf1989,1000
qw0001,1000
qq13232565,500
gpz0311,20
huang5201,5000
dl7792,1000
a13579asd,200
ghww6q,25
foo543,100
dusdus,4593
19536892689,100
foo543,100
gafw662,26
18679511116,150
15052310653,1000
dian1901,60
you563,100
nhf6783,1000
foo543,100
kuo83582,300
huang5201,2885
huang5201,1708
gg0001,500
rouchang00,50
mh55888,50
gg0001,500
zzcv56a5,25
a13579asd,200
lfg6575,1000
123qaq,262
qxl0483,500
nj8883,400
uiop123,100
gg0001,500
0522pm,100
gg6a599,24
zz5z45z4,24
z940226692,111
gg0001,500
2000107,200
ffgas522,24
yzq98345,1000
ccb5232,300
2000107,200
cxf1989,300
syz2638,1000
ccb5232,50
bgda4768,1000
tt8955,50
1975426,500
oioi10,100
sd2233,1000
pengyuan1,100
1975426,1000
awr8569,100
f2604926879,100
ag8888,2000
2000107,200
1975426,500
byg647,1000
614790175,100
3287854869,1000
v78514,50
123qaq,100
haowcr88,50
614790175,140
