会员账号,订单金额
zz586586,100
zxcv4312,400
ws157732,90
zz586586,100
zxcv4312,200
zz586586,100
zxcv4312,200
19152124506q,333
135689hui,6302
zz586586,100
c19811105,2950
qwemnb,1000
z940226692,100
ws157732,500
411520a,100
htls888,100
aapollo,4000
zz586586,200
c19811105,1400
zxcv4312,112
w147258369,1000
15052310653,1500
pg8883,200
zz586586,300
ww6169,50
bichunlei33,50
zhu188188,127
15052310653,1500
cxf1989,1000
aaaaa1985,780
15052310653,1000
helin666,800
13166008404,300
15052310653,1000
helin666,200
1113203411,500
15052310653,860
pw0624,100
dnmd66,100
zhu188188,100
c19811105,1300
ws157732,146
15052310653,1000
15052310653,1000
zhu188188,100
15052310653,859
1113203411,488
wo917239943,3000
helin666,500
zhu188188,100
15052310653,1000
cxf1989,1000
zjx851,2000
cwj1234,50
zcq11069,2000
qq6733101,30
kps666,200
helin666,200
l199318,200
ww1700,200
kps666,200
xxx3130,300
zzl1314,90
helin666,100
cc188188,100
uvcg9462,1000
15052310653,1100
cxf1989,1000
jun636,50
weimimi,139
xx0812,900
gdr128,1000
c19811105,4720
15052310653,1000
cxf1989,1000
15052310653,1000
son486,50
0726,100
vbg6747,1002
gds86353,1000
15052310653,405
a6109525,250
0726,100
15052310653,1000
m062145,50
wsx0008882,200
cxf1989,1000
kps666,1600
wjf13688,288
dfs42442,1018
abc097,100
qwemnb,2000
vgd6759,1001
15052310653,1000
15052310653,888
2451053531000,800
cxf1989,1000
0726,100
qism1241,1001
xs191002,400
qwemnb,1700
kps666,200
jack6672,50
liang2800,500
zhoupeng132,100
zhoupeng132,100
zhoupeng132,100
zhoupeng132,100
qw6322,170
a6109525,250
1148397747,2060
276287735,2060
qaz7081,20
zjx851,1500
zjx851,500
bgt4682,1001
mahe995,100
fgy588,200
qq104555,57
zjx851,1000
chenlei001,500
0726,100
xir1gd8hd,200
jack6672,50
as12345,500
sbq54724,1018
zcx2580,6800
qaz7081,30
chenlei001,500
jack6672,50
iop190,61
hm190407,50
kuuu5555,500
zs200106,500
fgy588,200
qaz7081,30
d30358438,300
0726,100
liang8899,500
mm325712,150
xgd5785,1001
kuuu5555,590
as12345,800
chenlei001,500
cy8901,200
fgy588,200
ab4315,100
luo0712,100
bao19998,314
lijingu6,415
kuuu5555,300
dl7792,1000
zhoupeng132,80
zhoupeng132,100
zhoupeng132,100
kfw34514,1000
zhoupeng132,100
lijingu6,500
cy8901,100
hgfgd111,140
qq1994333,1000
d30358438,300
lh1992,50
nhf6783,1001
zhoupeng132,50
zhoupeng132,100
zhoupeng132,100
zhoupeng132,100
zhoupeng132,100
zjx851,2000
wo917239943,300
zhoupeng132,50
zhoupeng132,100
zhoupeng132,100
zsg19860125,20
zhoupeng132,100
mxc88888,200
fdq58812,1022
we048596,323
hm190407,75
lfg6575,1001
cxf1989,1000
dxlvip8,500
cy8901,100
zhoupeng132,100
zhoupeng132,100
gdr128,1500
zhoupeng132,100
lx1592787,1000
plj1234567,500
yxaini8888,200
q199510,50
hm190407,70
d30358438,300
lijie173,100
lijie173,100
lijie173,100
a8988303,821
mxc88888,200
bgda4768,1001
cy8901,120
hm190407,77
lingling615,100
cqe56345,1000
lfl173,51
lfl173,100
lfl173,100
lfl173,100
d30358438,300
sd2233,2000
mm325712,160
byg647,1001
zyh33989,100
gdr128,3000
836686703,400
zhi11111,50
zzl1314,105
aa820063545,50
wqq87731,1000
lijie173,47
lijie173,100
lijie173,100
cy8901,100
zjx851,300
lijie173,100
ldh369484,1000
wsx0008882,300
ylj3468,1002
mxc88888,170
zjx851,1700
xiang888,50
mxc88888,60
plj1234567,200
wangy8888,240
wsx0008882,200
qqz98412,1000
lfl173,50
lfl173,100
fala8652,50
lfl173,100
lfl173,100
gdr128,3000
ftu459,1001
cy8901,70
dxlvip8,291
lian5210,50
fengjie7920,300
cp684920,1007
wsx0008882,200
peng8415,200
hm190407,16
lijie173,30
lijie173,100
lijie173,100
lijie173,100
fdq54312,1000
yy47100,50
19152124506q,50
wei7918,1000
yyh52559,5440.7
zheng123321,500
cy8901,100
wangy8888,10200
zheng123321,6000
123fsf,300
xx0812,947
lfl173,100
lfl173,100
lfl173,100
peng8415,121
aa820063545,50
asd98,300
zcx2580,5650
bhg4657,1001
feng852,200
qkw23515,1010
135689hui,4696
lijie173,100
wsx0008882,200
lijie173,100
lijie173,100
zheng123321,500
xin07860,1000
yxaini8888,400
sd2233,2000
s208139,1300
a8988303,952
lfl173,100
lfl173,100
lfl173,100
s208139,1000
fds6473,1001
wsx0008882,193
mz7868,2000
aa820063545,100
yxaini8888,200
wu1661,100
tty0921,1000
836686703,100
wsx0008882,400
asd98,500
123fsf,200
xxx520,300
yedi1456,50
mkm969,100
helin666,200
zx2354710562,500
helin666,200
cy8901,200
mkm969,100
helin666,200
helin666,210
hqy0807,100
xxx520,200
fgd4757,1001
dxlvip8,100
liux43796,1000
mkm969,2020.17
aa820063545,50
zx2354710562,349
ghj66775,50
qjj55512,1000
peng8415,100
pg8883,200
xsf0130,100
mizhen1,80
plj1234567,200
haowcr88,50
gyh693,1000
pw0624,50
helin666,500
luo0712,200
as12345,1000
123fsf,300
jsc0225,100
ljc1328,500
haili888,10
haili888,10
lfl173,100
haili888,10
lfl173,100
lfl173,100
1148397747,2000
b986421,50
276287735,2700
lijie173,100
lijie173,100
lijie173,100
ljk3482,1001
helin666,300
haili888,100
ch132646,1000
jsc0225,200
yzq98345,1000
zcx2580,4330
sd2233,1000
lfl173,100
lfl173,100
lfl173,100
hebaoxiang,200
mz7868,1700
qwemnb,730
sd2233,1000
lijie173,100
lijie173,100
lijie173,100
c19811105,1300
bhf581,1001
wsx0008881,327
qaz7081,20
z830313,200
qlzy81b,170
mimang88,200
hm190407,10
hm190407,10
hm190407,10
hm190407,10
c19811105,1340
d201920,300
cxf1989,1000
czc0823,177
ty0825,200
cw64905,1000
zcx2580,1560
a1345639972,100
mm6699,18
a2944184599,110
zhang254,1000
peng8415,50
gg6655,18
qq1994333,1000
cyf3253,1700
lair7599,299.99
dd3366,20
mengsq19,500
cxf1989,1000
qaz7081,20
135689hui,5030
zszjui4896,100
yy871199,20
ww5522,20
jzh0817,200
liu888888,100
gsfd2rg1,100
c2561360160,815.52
lair7599,300
yxaini8888,100
xsf0130,100
fh003152,1004
2451053531000,200
cj690310,1000
licui0904,500
jbn63785,1000
hm190407,10
hm190407,10
hm190407,10
hm190407,50
cxf1989,1000
czc0823,100
dc418962,900
lfl173,100
lfl173,100
lfl173,100
a8988303,1000
yhb4412,1000
ktt8832,1000
yhy586,1700
d200111,300
lfl173,100
lfl173,100
lfl173,100
feng036274,1000
hb441103,1000
cxf1989,1000
lair7599,300
mataqilian,100
wrf14796,1000
qm02187,1000
dc2253,1000
qaz7081,20
gy856398,1000
dqw321085,1000
cxf1989,500
helin666,200
hm190407,10
hm190407,10
wu1661,100
hm190407,10
zdh185,100
qq1994333,1000
sd2233,1000
hm190407,10
15052310653,1000
qq198610,50
wu1661,100
wang8416,300
mu058962,1000
uo894123,1000
cxf1989,500
li5201128,101
qaz7081,20
dff56254,1000
as12345,500
pnj55230,1000
aaaaa1985,750
3287854869,530
liang5868,1000
qaz7081,20
yuqqqz17,1000
kky5823,50
rr48522,50
as12345,1500
147wsz147,500
qqc6864,500
qq198610,100
zzq0002,200
