会员账号,订单金额
ccc66666,50
2000107,500
yuedongtian,50
wewe55,1000
a8587437,400
m20011020,120
2000107,500
l355668,100
l355668,100
l355668,100
free5182,347
l355668,100
y200416,300
l355668,100
zz484791755,1000
l355668,100
sxsx65,1000
l355668,100
yuedongtian,1000
l355668,100
you123456789,200
yuedongtian,200
2451053531000,5000
l355668,100
l355668,100
cxf1989,1000
c19811105,3242
308442890,500
l355668,100
l355668,300
qz2797325810,1000
2451053531000,5000
cxf1989,1000
q199510,51
997216094,96
lingyu6821,200
w20230808,200
free5182,338
cxf1989,1000
zhu188188,100
qz2797325810,535
zxc886456,100
2000107,500
c19811105,2017
xsds58,500
15052310653,1000
xsds58,500
czc0823,153
2000107,500
uvcg9462,1001
13728434901,600
cght5688,100
pbr778,300
zx2354710562,140
a281990123,100
cght5688,100
xsds58,1000
2451053531000,3000
hua360733,80
vbg6747,1001
2451053531000,2000
15052310653,1000
yu780101549,100
czc0823,300
15052310653,1000
zhu188188,100
18794832421,50
2451053531000,3000
15052310653,1000
dl7792,1000
mnmnkk88758,324
vgd6759,1001
qaz7081,20
zhu188188,100
2000107,500
15052310653,1000
xx1632,170
15052310653,500
2000107,500
mnmnkk88758,288
fff168168,1000
ywx200565,50
idur599,100
wmf11828,1000
fff168168,1000
qaz7081,50
qism1241,1002
yangxiao7166,238
qaz7081,30
mnmnkk88758,188
cxf1989,400
cght5688,100
fff168168,800
qaz7081,30
idur599,180
as123456,600
cxf1989,1000
fff168168,700
idur599,500
na123456,522
fff168168,500
idur599,500
wmm123123,500
15695110838,300
2000107,500
zxc886456,100
kjq32152,1000
idur599,390
bgt4682,1001
kkk388,300
fff168168,300
zzy361082168,5000
cxf1989,1000
as123456,400
myg2252,20
lulux5556,235
zzy361082168,1000
idur599,550
wq55433,170
idur599,400
cxf1989,1000
na123456,200
ths666,500
idur599,500
xgd5785,1002
thy455727857,20
zdsa1122,236
d130323,300
dsds5252,1000
lx1592787,1000
w1p538,100
c19811105,5000
ccv8866,100
gwb201,100
as123456,300
cc11622,5000
c19811105,2940
nhf6783,1001
2000107,500
vcvc5353,1000
vcvc5353,1000
jianda39,100
qz2797325810,940
qz2797325810,690
na123456,200
2000107,500
zdh185,100
xin07860,1000
c19811105,2940
2000107,500
wjf2361,170
idur599,500
lfg6575,1001
yzq98345,1300
wq55433,100
2000107,388
dxlvip8,158
wsx0008886,300
zzy361082168,1998
wsx0008886,200
bgda4768,1002
laibin123456,50
kql78327,1018
cc11622,2000
wei7918,1000
c19811105,5000
sd2233,1000
byg647,1002
laibin123456,20
zzy361082168,500
wsx0008886,200
276287735,260
idur599,500
dxlvip8,100
wsx0008886,200
wsx0008886,200
ylj3468,1001
cw4552,500
zzy361082168,500
cheng888l,1000
asd98,500
lol1800,100
c19811105,6020
cw4552,300
cxf1989,500
laibin123456,30
xufei999,1500
15052310653,1000
idur599,500
ftu459,1001
xufei999,2000
fdq58812,1000
idur599,500
ww1700,244
dc2253,1000
idur599,500
wsx0008886,400
2860119140,120
hebaoxiang,501
idur599,500
idur599,500
kkyy66,500
2000107,500
as123456,200
sd2233,2000
a635948189,1000
bhg4657,1001
gw8882,400
qkw23515,1000
cccc55,200
ldh369484,1000
135689hui,5369
as123456,300
dusdus,5000
a178202,50
zhang254,1200
a281990123,100
cheng1235,1000
a281990123,100
changli66,200
ig12121,130
drdr5858,580
tcz369369,100
zhu188188,100
dusdus,5000
a281990123,200
2000107,1000
gw8881,200
fdq54312,1000
cc11622,1000
w1559155612,700
ss514573396,10
ss514573396,10
ss514573396,10
syz2638,1000
qwemnb,1994
a281990123,100
hebaoxiang,500
2000107,500
cqe56345,1000
gpz0311,100
2000107,599
gpz0311,20
gsfd2rg1,100
fds6473,1001
wsx0008885,400
wqq87731,1001
drdr5858,500
d130323,300
lcp1314,3000
s26706572,100
lcp1314,90
2000107,600
czc0823,172
gw8881,400
2000107,500
dd130321,500
drdr5858,500
pyq5201314,50
fgd4757,1002
qqz98412,1000
sd2233,2000
594769952,192
drdr5858,500
drdr5858,500
liu8847193,100
w147258369,5000
czr123456,100
liu8847193,100
gyh693,1001
www8989,1199.96
sdw2758150,100
qjj55512,1000
ch132646,1000
aaa882882,300
z177557,100
camyu8426,1000
haowcr88,50
c2561360160,999.85
drdr5858,608
594769952,154
jholijlo1,300
tty0921,1000
lcp1314,50
qz2797325810,700
ljk3482,1000
yuki668,170
liang5868,1000
kgnk5663,300
a281990123,50
drdr5858,930
idur599,500
ddjji999,200
wzl19951104,1000
a281990123,50
gy856398,500
ddjji999,800
zsg19860125,50
cj690310,1300
idur599,1000
zhoupeng132,50
linghao5688,1000
drdr5858,500
zhoupeng132,150
zhoupeng132,150
w147258369,4000
zhoupeng132,150
aass11,499.99
qz2797325810,390
czc0823,230
zsg19860125,30
drdr5858,660
bhf581,1001
1113203411,500
ths666,50
camyu8426,1000
cght5688,100
lian5210,449
19152124506q,1200
cght5688,100
zhoupeng132,100
zhoupeng132,150
zhoupeng132,150
zhoupeng132,100
lian5210,370
kgdy36,1000
liux43796,1000
bgdf6845,500
zxl1425,35
as123456,300
a281990123,50
gqh52535,500
ljc0718,700
kop5683,1100
zxy123zxy,10
chulin1597,500
nicheng2684,1000
d2023823,300
liu8847193,200
cp684920,1000
kuo83582,1000
mu0258741,1000
liu8847193,200
yuqqqz17,1300
dc418962,1200
liu8847193,100
resignes000,1000
zzz830313,200
fengjie7920,1000
feng036274,1200
liao112233,6000
1123920243,500
liu8847193,120
dc41896,1000
mk826988,1000
hg966845,312
yhb4412,1200
ktt8832,1200
z940226692,100
cajhu16597,1000
gy856398,600
sd2233,2000
dqw321085,1400
yu852714,1000
tu774489,302
camyu8426,1000
wangy8888,10200
zzz830313,400
resignes000,551
wmmmcc,100
drdr5858,550
jbn63785,1200
wrf14796,1200
xbsjjs7,300
kj358748,510
gv774496,1000
drdr5858,277
as12345,200
hs0659,50
dff56254,1100
pnj55230,1200
drdr5858,1000
oddy89,1000
bh852035,1000
ttvv6669,1000
gdy538684,1000
resignes000,500
qm02187,1200
15052310653,1000
lzz9907,1200
mu058962,1200
xin111,100
1123920243,1235
weibo888,20
duo88932,1000
cw64905,1000
yu2013520,4300
sdf5367,500
ab358722,1000
hebaoxiang,500
xc45628,1200
licui0904,1000
vn25896,1200
15052310653,1000
nb7896302,900
resignes000,300
liang5868,1000
jffu67,500
bao19998,1400
aa756823,1000
uo894123,1200
zxl1234888,1000
mu0258741,1400
dc418962,1200
vcvc586,800
c19811105,133
xbsjjs7,479
fh003152,1003
cght5688,100
hu69741,1200
fg45566,1200
weibo888,30
vcvc586,1000
dc41896,1000
jffu67,1000
zl117712,500
jn369963,850
zz24982,1000
cght5688,100
resignes000,200
gu8529630,910
nican6982,1100
15052310653,800
xbsjjs7,850
cght5688,100
hua360733,17
1123920243,1000
15052310653,1000
liao112233,1000
xbsjjs7,500
qwer12t,598
kj358748,850
cght5688,200
yu852714,1000
qpj1234,1000
feng036274,1500
hb441103,1200
zl117712,500
xbsjjs7,500
cc11622,3000
ku822518,1000
fym147258,280
15052310653,1000
yhb4412,1200
jko562876,1000
wgfy9808,100
xbsjjs7,500
fym147258,320
gv774496,1000
ktt8832,1200
wgfy9808,100
15052310653,608
zl117712,500
xbsjjs7,500
bh852037,1000
as168823,1000
qwer12t,500
dqw321085,1400
as12345,300
gy856398,1200
ggtt6669,1000
xbsjjs7,500
wgfy9808,200
qwer12t,1000
