会员账号,订单金额
lsx6666,20
2000107,500
ddd8755,102
ljm2535631038,50
yongfeng,100
yongfeng,100
13728434901,1000
qw8621068,100
lyj0409,100
li888999,508
2000107,500
yongfeng,100
yongfeng,100
ljm2535631038,50
aaaaaa3456,60
cxf1989,1000
15052310653,1500
tsx6366,800
2000107,500
skk9976,400
genti520,500
wo61928139,30
aaaaaa3456,40
skk9976,300
aojun520,500
cxf1989,1000
hua360733,118
xc4466,2000
aaaaa1985,688
15052310653,1500
skk9976,300
genti520,350
15052310653,1000
qq810252183,10000
qq810252183,10000
qq810252183,10000
aaaaa1985,888
lll147asd,10
ya0037,500
w20230808,100
2000107,1000
zling108,100
15052310653,1000
fsfs5252,2000
hkbm1188,1000
sui4935,300
ww1700,530
fvn47736,500
fvn47736,1500
aaaaaa3456,100
lll147asd,50
lmx112,100
acha111,10000
hhv44736,10
pg88,100
tc0623,442
fang415,310
ljm2535631038,100
as123456,301
zuo1102,400
wo61928139,100
gmq1106,400
hbkm1288,500
gmq1106,1000
15052310653,800
sui4935,300
hhv44736,1000
bai0425,400
bcbc5858,1000
2000107,500
hbkm1288,1000
lisl,100
15052310653,1000
sui4935,200
lisl,100
min7633,300
c19811105,5000
aaaaaa3456,100
stx188,100
skk9976,478
lll147asd,30
qw8882,500
15052310653,1000
2000107,150
lll147asd,20
cc188188,800
ljm2535631038,50
zhu188188,120
hst7334,400
15052310653,1000
aswe47688,235
hua360733,30
hst7334,1000
15052310653,1000
2451053531000,200
yao2450,400
sui4935,400
wang200231,261
zyx098,50
gidq8246,101
18075739112,50
miao45623,300
min7633,400
chenxp,100
18075739112,100
l199318,300
a635948189,1535
chenxp,100
cght5688,200
skk9976,159
l199318,200
skk9976,270
bgdf6845,101
cght5688,100
lll147asd,10
2451053531000,200
cght5688,100
w1559155612,700
y200416,240
cght5688,100
18075739112,100
lfz998,300
18075739112,100
skk9976,190
skk9976,125
18075739112,100
skk9976,150
wt1996,5000
skk9976,170
uvcg9462,1001
xin5566,100
h790990143,406
l199318,300
qw8881,400
2000107,520
c19811105,9000
resignes000,500
c19811105,2045
lijingu6,180
wt1996,5000
zxc043023,170
l199318,200
wwwyx9998,928
skk9976,500
