会员账号,订单金额
sly521521,300
lll147asd,50
ooiu4545,28
qw8621068,32
q2273715564,202
maxueqin456,100
mnbg7514,10
q774077639,200
tghy8536,28
xiaoge138,20
2451053531000,500
zeke,300
h790990143,250
ruei911,2015
lll147asd,30
qiuzong,1100
mhgtrw858,28
dkjs79676,100
wuwen22,300
nbgff458,28
lsx6666,20
afeng963,100
edfd4158,28
wuwen22,100
rfdf45145,28
c19811105,3920
changjiao20,100
vfrd4896,28
dkjs79676,100
yuanzhuo32,100
15052310653,1000
dkjs79676,100
ljm2535631038,50
mnbg7514,28
13876212107,359.65
baoliang995,100
bgft85965,28
lijiaojiao33,100
zeke,100
mnhgf845,28
cc11622,5000
wuwen22,300
chenxue000,100
ws157732,500
axssb666,240
xyj0002,115.09
dingwei168,100
dkjs79676,100
figh8888,200
679jdb,2000
zhicheng67,100
gong6688,200
15052310653,1000
123qwe123,200
gong6688,200
a281990123,50
lihai888,100
dkjs79676,100
weizi258,100
a281990123,50
gb123987,300
ygbn4410,313
gg150,1147
gong6688,200
asdf4444,240
15052310653,1000
ou123456,5000
zedaye36,100
15052310653,1000
gong6688,200
xianxian886,100
vjlk3651,242
mj2358825,196
a281990123,400
ou123456,2000
hh2563,170
15052310653,1000
a656514853,2000
a281990123,100
15052310653,1400
lingdu001,100
jinliang66,100
zcq11069,339
dapao33,100
15052310653,1000
a281990123,50
zl20030518,113
1148397747,131
15052310653,1000
wshg4569,28
zzy361082168,1600
jinhao688,100
15052310653,1000
lll147asd,50
zld0004,200
ece58,330
ece58,500
gong6688,200
454493715,300
ww147147,10000
ece58,570
wxm980524,1000
gong6688,200
luoyulian18,100
zhu188188,100
dkjs79676,100
dkjs79676,100
dkjs79676,150
15052310653,1000
zt991009,500
yong123456,358
yu2013520,6000
mxc88888,50
ddsw8797,500
zhu188188,100
15052310653,1000
wzq162238,5000
19198067265,5033
gong6688,200
dkjs79676,140
ece58,500
15052310653,1000
ww1700,200
123321123,498
zhu188188,100
c19811105,1960
ddsw8797,200
mxc88888,100
hbdd8644,100
dkjs79676,100
xq1269449261,100
ece58,500
lll147asd,30
15052310653,1000
yu2013520,4000
ece58,600
gg150,1000
wxm980524,2000
dkjs79676,180
dkjs79676,116
ece58,1000
15052310653,1000
zhu188188,80
ece58,700
q0008883,400
dkjs79676,200
ece58,700
zzxx66,200
ece58,500
15052310653,1000
yks3368,100
15052310653,1000
09568741,100
zzxx66,200
w20230808,100
yong123456,218
zzxx66,300
xia979232,50
ab4315,100
dl7792,1000
lll147asd,50
qaz7081,30
thhone,50
q0008882,395
nyzz888,115
kmn687,200
wangy8888,150
nhdf9672,1001
licheng90,200
zzxx66,200
thhone,200
ece58,500
ruei911,2000
zzxx66,200
sjkm799,200
ece58,500
vver34,140
k48925,50
lll147asd,50
zzy361082168,2000
md0472,850
ctl2744,160
uvcg9462,1001
ece58,800
md0472,500
ece58,500
2451053531000,800
19198067265,3006
15052310653,800
ghgh2332,100
zzy361082168,980
13219166132f,400
md0472,500
aaaaa1985,560
q199510,60
15052310653,1000
vbg6747,1001
smy0726,760
ghgh2332,200
md0472,580
ece58,1472
1113203411,446
hbdd8644,100
hs4378847,100
md0472,360
h790990143,2200
md0472,210
cj690310,1300
ece58,1350
zxzxzx2012,103
md0472,500
0568hs,2000
zzy361082168,796
ece58,2000
c19811105,6800
aswe47688,200
hbdd8644,100
vgd6759,1001
q0008881,400
hs4378847,100
ljm2535631038,50
tete0425,50
lll147asd,50
hs4378847,100
ljm2535631038,100
hs4378847,100
aojun520,2000
2860119140,112
niao3084,1000
hs4378847,100
yemao258,50
hs4378847,100
2000107,500
qism1241,1001
hs4378847,100
zld0004,200
vvjjj0096,1000
lx1592787,1000
6479ow,500
mxc88888,50
aojun520,1000
b69580,200
qiuzong,493
hs4378847,100
6479ow,1000
hs4378847,100
fs8811,50
lll147asd,50
hs4378847,100
bgt4682,1001
zeke,200
hs4378847,100
mm18687796,300
zld0004,200
zeke,200
hs4378847,100
lll147asd,20
ljm2535631038,100
hs4378847,100
hs4378847,100
haohaohe67,500
xgd5785,1001
ngng85,900
q000888,400
lijingu6,300
miao45623,240
myx666vx,50
ljm2535631038,100
hebaoxiang,500
ths666,1000
qz2797325810,1500
ngng85,1100
nhf6783,1001
ldh369484,1000
zzzxx9906,1000
ljm2535631038,100
myx666vx,100
mh55888,100
19152124506q,3000
ths666,600
qz2797325810,1000
myx666vx,50
13219166132f,300
qiuzong,3000
qq17550922,150
lfg6575,1002
hs4378847,100
myx666vx,50
hs4378847,100
d402255,300
hgf7998,50
hbdd8644,100
zhou1968,1000
sd2233,1000
d402255,300
19152124506q,558
qz2797325810,499
bgda4768,1001
la24la,50
hs4378847,100
c19811105,1470
hs4378847,100
syz2638,1000
hs4378847,100
hs4378847,100
hs4378847,100
hs4378847,100
hs4378847,100
hs4378847,100
cxf1989,1500
hs4378847,100
byg647,1001
hs4378847,300
wby1997,530
lll147asd,50
cxf1989,1000
zhang254,1300
lijingu6,220
pyq5201314,89
hzc7768,170
lll147asd,30
15052310653,1000
ylj3468,1001
xie987619,500
most,1299
wby1997,110
hbdd8644,100
15052310653,1000
aaaaa1985,1000
wby1997,140
most,1000
wby1997,120
wei7918,1000
d402255,300
xie987619,280
ftu459,1000
lrlrlr,500
wby1997,90
most,500
wby1997,100
lll147asd,20
ou123456,2000
ddbk22236,1136.52
myx666vx,150
wby1997,110
lrlrlr,1000
lll147asd,30
wby1997,100
fb991015,100
xie987619,300
xx9s90,499.99
aa5864562,20
wwwyx9998,500
wby1997,120
aa5864562,20
bhg4657,1001
wby1997,130
lrlrlr,1020
19152124506q,516
wby1997,200
cp684920,1005
myx666vx,100
q125433773,200
wby1997,127
ou123456,2000
lrlrlr,1025
tcz369369,100
wby1997,100
jjjww0066,1000
qz2507586357,500
myx666vx,50
ddbk22236,1001
xx7744,50
wby1997,150
byq169,300
pyq5201314,70
sd2233,2000
fds6473,1001
wby1997,100
aa5864562,30
wby1997,150
xin07860,1000
gqh52535,800
wby1997,150
lrlrlr,1000
cc11622,1000
q199510,50
wby1997,100
tt327512,60
sd2233,2000
mj2358825,222
fgd4757,1001
li294461379,1767
ou123456,2000
wby1997,100
gsfd2rg1,100
zz123321,426
wby1997,150
fh003152,1004
jinghong55,100
cuilihua62,100
rrkm8830,1000
wby1997,100
cxf1989,1000
15052310653,2000
wby1997,100
15052310653,1000
lrlrlr,1000
wby1997,150
yongjiao22,100
fanlan988,100
wby1997,150
aa5864562,30
yzq98345,1300
wby1997,100
xnm9797,200
ch132646,1000
ddop331,1000
614790175,200
gyh693,1002
xudong194,100
dc41896,1000
shikang203,100
ds259475,1000
uppu666,500
614790175,300
hbdd8644,100
b69580,200
wang8797,150
qiuzong,2000
hg966845,1000
uppu666,235
15052310653,1000
yu852714,1000
rrkm8830,500
qingying36,100
zz123321,150
15052310653,1000
yang6090,758
cc11622,1000
zz123321,100
nzjj7996,200
15052310653,808
cxf1989,1000
shiyu95,100
ljk3482,1000
wby1997,100
jn369963,1000
q2273715564,146
fcx148,500
bu880z,50
wby1997,100
jd358467,1000
fcx148,500
qm02187,700
hbdd8644,100
wby1997,100
gou983,50
pmq1983,50
cxf1989,1000
rrkm8830,400
gv774496,1000
wby1997,100
kj358748,1000
doufu456,50
mj2358825,210
d990982,300
wby1997,100
tengfei856,100
love102484,1314
zz123321,100
qa985864,1000
bhf581,1001
weimimi,300
zz123321,100
msk7999,150
wby1997,165
lfx99040,1300
cxf1989,1000
zz123321,100
fcx148,1000
ypr123456,880
zz24982,1000
wby1997,200
lwj112233,300
zeke,306
614790175,200
wby1997,100
tengfei856,100
msk7999,100
zz123321,100
bh852035,1000
as76765420,100
uppu666,850
as168823,1000
wby1997,200
614790175,100
wby1997,130
b69580,200
gpz0311,100
zz123321,100
msk7999,200
juming336,100
uppu666,800
ab358722,1000
zz123321,100
aliang678,2000
614790175,200
hbdd8644,300
wby1997,300
ddop331,500
wang8996,100
rfv0008889,200
gpz0311,100
qz2507586357,1000
weimimi,100
gdy538684,1000
b69580,200
zz123321,139
lrlrlr,1095
qiuzong,2000
liux43796,1000
gpz0311,100
tu774489,1003
ku822518,1000
d990982,300
juan1314,50
gg150,96
aa756823,1000
gg150,50
dc41896,1000
qpj1234,1010
15052310653,1000
gfh25454,1000
lwj112233,200
cxf1989,1000
yuqqqz17,1300
gu8529630,1005
sd2233,2000
wsd666666,30
nicheng2684,1000
15052310653,1300
ydgg3579,100
