会员账号,订单金额
a2772718477,170
ts817925,3000
zx2354710562,500
gong6688,200
asdwer668,100
wuwen22,205
66t7zc,1000
jack6672,50
ljm2535631038,50
8621hs,1000
lb1989,2000
15052310653,1000
czf520,10
jack6672,50
jzy1998125,258
e0008888,200
8621hs,900
zhu188188,61
zx2354710562,500
1123920243,1000
nhdf9672,1000
8621hs,800
fwfwfw123,300
haowcr88,50
e0008888,300
yzh7788,100
a2772718477,100
e0008888,200
ww1700,300
gong6688,200
wangzixun88,1000
wang8416,1000
15052310653,1000
fwfwfw123,100
1123920243,400
15052310653,1000
pyq5201314,100
wuwen22,300
yangxiao67678,500
gong6688,200
uvcg9462,1001
yangxiao67678,500
wuwen22,300
888888aa,100
aojun520,420
171100,100
xmx001,100
aswe47688,200
bay5542,50
gong6688,300
wang8416,800
www12357,1499.99
yangxiao67678,1000
gong6688,200
j1220abcd,119.98
8621hs,1000
q1197207797,50
j1220abcd,99.98
cxf1989,1000
fwfwfw123,100
vbg6747,1001
qwemnb,500
8621hs,1000
www12357,1499.99
zl20030518,102
qsq78592,1000
8621hs,700
e0008888,200
qq3010739,176
17683006250,100
faof586156,255
qq3010739,200
zzy361082168,1000
t13355127456,5000
vgd6759,1001
zzy361082168,3000
d990924,300
zzy361082168,1000
yangxiao67678,2200
8621hs,1000
dhfp9164,1000
zhu188188,71
xulong007,100
hua360733,50
qq21293144,119
d56635,50
ky3325,50
e0008888,200
aaaaaa3456,192
qq21293144,100
a281990123,100
w147258369,1000
qism1241,1001
zhu188188,105
yxaini8888,50
2000107,500
yjw123456,50
a531561453,200
yxaini8888,50
am123456,940
zzq0002,50
dd5869,100
kjq32152,1000
ll123,99.98
171100,100
2000107,500
wangy8888,100
qq21293144,150
dsagd89498,255
kkm886,89
hd2001,260
e0008888,400
l114789,200
dd5869,100
1711009206,100
q2273715564,500
hello3666,50
15695110838,200
h25655,50
t13355127456,2000
qz2507586357,500
kmy394,200
bgt4682,1000
q2273715564,200
dd5869,100
l114789,200
wang8416,1007
hua360733,70
a543177707,343
yxaini8888,50
dd5869,150
huang12345678,100
a740740,500
1588zz,50
lijingu6,150
t13355127456,2000
b58545,50
asdwer668,100
lb1989,500
jql123456,100
fdq45215,1000
wang8416,500
dd5869,170
qq21293144,155
wang8416,500
e0008887,400
zzy361082168,1000
lijingu6,150
ljg281199,100
ljg281199,500
xgd5785,1001
ljg281199,1000
kkm886,200
17683006250,100
jkm675,100
huang12345678,500
lb1989,1000
qwemnb,1399
nyzz888,14
cxf1989,1000
ky3325,300
123456l,1000
asdwer668,100
ths666,2500
tty0921,1000
a543177707,200
yyykk8,300
1588zz,50
ths666,1000
nhf6783,1001
dhfp9164,1000
