会员账号,订单金额
yongfeng,300
nhd639,200
yongfeng,200
qweas,30
15170395004,500
wmmmcc,300
yongfeng,300
zhu188188,100
a246800,30
cxf1989,1000
as12345,300
sxssb6699,240
gyabcd5,1416
mnp293,200
jjjj1314520,278
aaaaa1985,1000
fcz764154117,4633
gyabcd5,1000
15170395004,295
wang8416,500
sly521521,500
aaaaa1985,1000
a18128847564,1000
resignes000,500
hbv569,100
myp4154,1000
hm190407,30
myp4154,1000
hbv569,200
a246800,30
jjjj1314520,200
15170395004,200
cc815728456,3333
hua360733,1000
wangzixun88,500
15052310653,2000
a246800,71
yu2013520,2000
a246800,30
wu1661,100
vb12654,110
1113203411,1000
lovelxg,1700
15052310653,1000
ab4315,100
123456l,500
15052310653,1000
123456l,500
gf16942,103
l114789,300
wang8416,700
as123456,300
zeke,300
l114789,260
lovelxg,460
resignes000,456
cc815728456,2701
123456l,500
qu16894,107
17683006250,100
2.45E+12,500
ljg281199,62
1113203411,1000
ljg281199,1000
thy455727857,20
hx513775790,100
wang8416,1000
ts817925,5000
1113203411,500
zeke,214
zzy361082168,2000
pyq5201314,100
nhdf9672,1001
15052310653,2000
zhu188188,100
15052310653,1000
yxaini8888,200
ljxy99,2997
gyabcd5,1000
zzy361082168,500
pjs19970827,1000
z777,500
aswe47688,200
wang8416,1440
1113203411,500
uvcg9462,1000
cc815728456,1700
2000107,460
liu8847193,172
wang8416,1000
thy455727857,41
cxf1989,1000
q1842914,300
huoren4520,512
yongfeng,200
zzy361082168,1000
ljxy99,3189
myp4154,2300
a281990123,600
wangzi111,100
411520a,150
myp4154,1000
yongfeng,400
yongfeng,170
vbg6747,1002
yongfeng,200
cxf1989,700
zzy361082168,1000
yuedongtian,50
dl7792,1000
lu83397176,2500
wmmmcc,800
cxf1989,1000
wxm980524,1120
123456l,200
wo61928139,100
1113203411,500
ths666,3000
a281990123,500
lb1989,347
myp4154,1000
1588zz,50
2000107,700
w200407221913,500
l114789,200
vgd6759,1001
www12357,1499.99
ljxy99,2130
a281990123,100
fr226544,300
a281990123,100
15052310653,1000
myp4154,2000
1113203411,400
myp4154,1000
feng1988432,500
dd5869,150
123qwe123,100
ljxy99,3008
l114789,200
cxf1989,1000
wangzi111,200
qiuzong,1000
myp4154,800
l114789,200
411520a,101
a281990123,300
15052310653,1000
ths666,2000
2000107,500
myp4154,1400
85333t,400
jeb866,200
qism1241,1000
as123456,300
a281990123,200
xq198572,100
xiao6666,200
a281990123,100
15052310653,900
myp4154,1000
tkplt012,653
ljxy99,2998
xyj0002,79.12
bgt4682,1002
haowcr88,50
a281990123,200
ths666,1762
liang542586,400
jisi198910,1000
yangxiao7166,200
wang8416,500
myp4154,1000
lx1592787,1000
qiuzong,1000
changxiang2524,500
myp4154,1000
zzy361082168,500
a281990123,200
myp4154,500
l114789,300
myp4154,500
xgd5785,1001
a281990123,100
myp4154,500
l114789,200
2000107,400
ueo699,100
e0008888,200
2000107,310
15052310653,1000
myp4154,200
nhf6783,1002
2000107,400
