会员账号,订单金额
hyc369369,100
ts817925,5000
fcy7516,500
miao45623,130
a1886932,40
meiying,1438.63
fjm123456789,50
yl5588,300
tswq4687,50
zhu188188,200
yl5588,100
2000107,1112
hm190407,14
wangzai001,100
sly521521,300
ww1700,190
lu83397176,2600
a635948189,453
wzz150266,50
123456l,500
hua360733,1000
yl5588,400
meiying,359.65
ths666,3323
gm784dd,50
miao45623,100
hm190407,30
fcy7516,800
qiuzong,1000
123456l,500
byt578,100
miao45623,50
zhu188188,100
2086836195,200
nbclass6,200
888888abc,200
ohgxdf151,50
xpp1234,200
2000107,800
yei265,100
yei265,100
99098640,100
123456l,500
lhrd2940,50
15052310653,1107
dhgv872d,50
nbclass6,100
a13437835509,50
zhu188188,140
fuhg8786,50
bl999,3000
13160976004,100
igrtf74g63,50
xl666,700
ttttt9,200
123456l,1000
etw59342,1000
zhu188188,100
aaaaa1985,500
123456l,600
2000107,6000
kldi8277,50
hnjs852,800
aaaaa1985,1000
meiying,359.65
123456l,500
yyy1234,1000
as12345,274
vip168168,700
hnjs852,400
zhu188188,100
ueh638,200
15052310653,1000
fwfwfw123,100
gaq44361,1000
anyar,30
nikgm545,50
15052310653,1000
123456l,500
fuh8745fs,50
gpz0311,100
cvhiiw666,50
bl999,3000
gpz0311,20
yangxiao7166,200
gpz0311,20
097dzjw1982,521
ttttt9,160
zhu188188,100
15052310653,1000
ttttt9,200
19536892689,400
a6109525,500
qq8740908,200
ttttt9,200
qiuzong,1000
uth46s4d,50
15052310653,1000
ppoi3433,50
ttttt9,200
odn9329,400
hbd468,100
bl999,1000
123456l,500
ttttt9,200
a004002,300
kyky,200
ttttt9,200
uhg366,200
g18252206170,10
as123456,237
nhdf9672,1001
thhone,50
a6109525,500
hbd468,200
ttttt9,200
kyky,400
whx999,2000
ljg281199,1000
ljg281199,500
ljg281199,100
vv130321,200
bb669933,241
odn9329,700
ttttt9,200
zhu188188,100
wndp7d9qa,200
uvcg9462,1001
huang6200,100
fjh45f54,50
ttttt9,400
xl666,1000
kyky02,200
2000107,2000
bb669933,185
zzy361082168,500
odn9329,1000
kyky02,200
g18252206170,50
a2944184599,2000
wo61928139,100
vbg6747,1000
donggou1,200
kyky02,200
g18252206170,200
qef73201,1000
19536892689,120
a281990123,200
as123456,300
2000107,3000
g18252206170,100
zhu188188,100
zxcv4312,500
a6109525,179
jdb9531,1000
a444,500
kyky02,400
ehga4356,1000
g18252206170,50
vgd6759,1001
gdf62147,1000
zxcv4312,500
123456l,500
hm190407,31
w577613067,10
g18252206170,20
zxcv4312,500
123456l,500
hm190407,30
gpz0311,20
zxcv4312,500
hzc7768,150
123456l,500
wqe45215,1000
anymyc8866,118
gpz0311,20
wujun66,100
kyky03,400
z777,230
qwe001001,80
owj866,100
qwe001001,20
wang372325,200
qism1241,1000
owj866,200
15052310653,2000
2000107,1000
g18252206170,10
qaq31415,1000
787168734,702
qiuzong,950
123456l,500
673hyy,510
17683006250,100
15052310653,2000
bgt4682,1000
as12345,300
ww010404,1000
suyan666,121
ihgdd7477,50
ww010404,900
ww010404,500
673hyy,300
kql78327,1000
ww010404,500
ths666,1590
xgd5785,1001
g18252206170,10
jikf5454s,50
nyzz888,60
gpz0311,20
tt179531,170
yyy530,500
wang372325,232
yu2013520,3000
wqwer,100
123456l,500
fdq58812,1000
wang372325,100
15052310653,2000
565711a,1000
ww010404,300
a2944184599,1000
qw8882,222
zzy361082168,1007
zqf871208,100
565711a,1000
zzy361082168,1000
jide875s,50
a2944184599,1000
qkw23515,1000
wqwer,100
oofdd788,50
wo61928139,100
a2944184599,200
nhf6783,1000
wqwer,100
wqwer,100
fdq54312,1000
tcz369369,100
z177177,100
abc100,40
jcx6588,50
yyykk8,50
king886,1000
fcy12345678,5000
cqe56345,1000
lfg6575,1001
jcx6588,100
nijfg7778,50
ihs099,200
mj889918,50
dl7792,1000
abc100,10
888888abc,200
a281990123,50
ths666,2000
gfue4744,50
z177177,100
abc100,10
a2944184599,1000
fcz764154117,1000
686ign,300
wqwer,100
g2102003,50
wqq87731,1000
abc100,10
huatian201,700
bgda4768,1000
zxsd1415,500
abc100,33
wqwer,200
2000107,7500
2000107,10000
zxcv4312,500
zxcv4312,400
15052310653,1000
zxcv4312,100
l114789,300
qjj55512,1000
pyf159,200
15052310653,1000
hua360733,148
aojun520,1118
byg647,1001
gsfd2rg1,100
wszx809,50
pyq5201314,100
gfjadpkf65461,255
tty0921,1000
15052310653,999
lx1592787,1000
wl561,100
ylj3468,1000
dhgfs8000,50
lmx112,50
l114789,240
15052310653,1000
ts817925,3500
1588zz,50
ljxy99,5001
ths666,999
ch279286323,347
xiaoyue777,719.31
xiaoyue777,5000
huatian201,600
aojun520,1000
kyky01,150
qiuzong,1000
fcy12345678,500
cc815728456,1000
ftu459,1001
1588zz,50
sd2233,2000
qiuzong,1000
po7799,50
abc100,100
yunxing23,500
aa20456,146
bhg4657,1000
ww6169,20
xiaoyue777,719.31
pl18366,200
ambition11,100
936jdb,400
lllbbbb1,276
zijian199,100
xzp22446688,100
qiuzong,1000
936jdb,400
fjm123456789,50
hdgu5548,100
ldh369484,1000
bdu627,200
ambition11,300
weiwei196,100
fds6473,1000
2451053531000,140
as12345,1977
lrz2001,50
2000107,500
a758800,288
xiaoyue777,5000
yanhao2215,50
xiaoyue777,5000
fgd4757,1001
yang1211,300
thfjf666,38
sd2233,2000
w147258369,500
qiuzong,1000
ths666,548
l114789,200
hsj12300,500
guowang035,100
enyui95687,100
qz2797325810,500
aojun520,1000
gyh693,1001
bhk3311,500
wlp78900,300
yukai662,100
ths666,500
l114789,200
dhv7h6ds,150
lllbbbb1,100
ljk3482,1000
lllbbbb1,100
aa15111430,500
qq198541,50
haowcr88,50
bri528,100
w115527,2000
cp684920,1006
yyy530,3000
qiuzong,1001
xinyu2861,500
hkj6987,50
shenjiexia9,100
fwfwfw123,300
1588zz,50
bri528,200
fd33691,101
bhf581,1001
xin07860,1000
lwq123,500
yxm12300,500
g19871108,50
hkj6987,100
yongjie26,100
dzj123,100
w115527,1000
ism010,100
lixb1989,300
qq198541,50
l114789,300
bl999,100
bl999,100
hqy147369,20
bl999,10
fwfwfw123,300
lovelxg,1300
wo61928139,100
ghir875,50
feng1988432,360
jiayang946,100
yyy530,3000
d402292,300
xiexie1147,100
ae36945,106
fwfwfw123,100
1588zz,50
ydgg3579,100
aojun520,1000
app880,200
sd2233,2000
yu2013520,5000
wangshi183,100
feng1988432,504
q193971616,100
lwknb123456,440
jbu638,200
zld0004,100
as12345,500
ssqw8896,107
dc418962,800
l114789,200
tqm02187,1000
yyy530,3000
lijian868,100
xzp22446688,186
l114789,200
wei7918,1000
df697417,1300
was542,500
xtg438,170
936jdb,250
xzp22446688,100
vkp963258,1300
zhiyu921,100
q193971616,50
ddop331,100
ddop331,1300
w115527,500
ygbn4410,1300
xirxie56425,320
zld0004,100
sa55623,103
rrkm8830,1300
fengjie63,100
565711a,200
yuiling0258,100
mu0258741,1300
wo61928139,130
hg966845,1000
wff65871,300
w115527,300
xtg438,109
cajhu16597,1000
qq198541,100
yhb4412,1200
xiaoyue777,2000
dc418962,800
ap365478,1000
a281990123,1000
1588zz,50
changxiang2524,500
wangdage88,100
936jdb,500
wo61928139,105
fh003152,1010
tqm02187,1000
ds259475,1000
ktt8832,100
ktt8832,1300
vkp963258,1300
dhv7h6ds,200
meiling83,100
syz2638,1000
as12345,200
df697417,1400
jn369963,1000
asd98,500
ddop331,1200
ygbn4410,1300
lin883625,1000
mu0258741,1300
qq311656,50
kj358748,1000
rrkm8830,1300
sd2233,2000
app880,50
gnv142,100
kop5683,1000
xiaoyu459,100
as168823,1000
yhb4412,1400
nb7896302,1000
gnv142,100
zxl1234888,1000
tzm5068,176
dc418962,1100
gnv142,100
sd2233,2000
gdy538684,1000
fs3626,300
ktt8832,1200
shiming68,100
jd358467,1000
tqm02187,1000
ch132646,1000
nicheng2684,1000
kkhm0691,1000
gfh25454,1000
df697417,1400
qa985864,1000
gnv142,100
vkp963258,1400
huanghu1912,500
yyy530,2000
ddop331,1400
tgr58644,1000
l114789,300
maomao02580,100
nican6982,1000
tu774489,1000
wzz150266,50
nhd639,100
rrkm8830,1400
feng1988432,90
kuo83582,1000
www12357,1199.96
xiaoyue777,1000
wzz150266,60
shiqiang442,100
ygbn4410,1400
gnv142,100
mu0258741,1400
yxaini8888,100
sdf5367,1000
wzz150266,50
gnv142,100
936jdb,600
c123ddd,673
a281990123,100
yhb4412,1400
fengjie7920,1000
1775535,1000
dc418962,1300
hg966845,1030
liang5868,1000
gu8529630,1000
gnv142,100
ktt8832,1400
jko562876,1000
cajhu16597,800
yxaini8888,40
feng036274,800
yu2013520,3000
linghao5688,1000
ap365478,1030
wzxs1269,150
yxaini8888,20
qm02187,800
xzv221,500
qiuzong,600
gnv142,200
c123ddd,650
gb123987,1000
tqm02187,500
jwlx4817,100
d402293,200
a18128847564,500
df697417,900
duo88932,1000
wj754691367,295
1588zz,50
rc958162,1000
vkp963258,1000
camyu8426,1000
ygbn4410,1000
d402292,200
yxaini8888,20
rrkm8830,1000
ihoohh44,1000
rrrk44103,1300
liux43796,1000
cv645882,1000
ddop331,1000
yxaini8888,20
w147258369,7500
ds259475,1030
xj3685,300
hgfd5556,50
mu0258741,1000
jwlx4817,150
lin883625,1000
dc418962,1000
lghms1351,150
hebaoxiang,500
mk826988,1000
jn369963,1030
xxww0747,1000
ljxy99,3366
nlkdg665,1000
vujhbk656,1000
nc652485,1000
vv130321,200
1588zz,50
bbvv669,50
hgfd5556,100
htls888,100
15052310653,1000
zxl1234888,1000
yhb4412,1000
ktt8832,1000
qm02187,1000
kop5683,1000
aa235987,1300
qw8882,200
pg8883,200
yxaini8888,100
wzl19951104,5200
13894334,400
dianhu2414,500
fr226544,1000
pw0624,50
787446237,1000
bdgkk15,1000
yyy530,1050
jholijlo1,1000
nb7896302,1000
yy638551,1000
ljxy99,4653
kj358748,1030
yxaini8888,200
kxwh2580,100
nicheng2684,1000
uy725418,900
jd358467,1020
kuo83582,1000
888888abc,100
xianrong1030,1300
as123456,300
dc41896,1300
yqq6319,100
as168823,1020
qq104555,100
nican6982,1000
936jdb,500
ab321400,1300
liang5868,1000
kgnk5663,1000
kxwh2580,150
qpj1234,1050
aojun520,800
awm001024,2500
yu2013520,2068
cw64905,1000
qa985864,1020
fengjie7920,1000
yu852714,1300
pyq5201314,100
gdy538684,1050
888888aa,200
feng036274,1300
bh852037,1300
zszjui4896,100
hb441103,1300
skjgkl1,1000
liuwj326,1000
fu704253747,50
linghao5688,1000
c123ddd,109
shangwang36,500
zzx2527,500
gv774496,700
cajhu16597,1000
am123456,733
kpwq201547,50
lgfff888,1500
jbn63785,1300
tu774489,1030
ihoohh44,1000
gfh25454,1020
gb123987,800
zxcv4312,306
gy856398,1300
13894334,80
duo88932,1000
13160976004,100
lukai0303,1300
c123ddd,300
se963258,1300
kop5683,1000
936jdb,380
ssl0830,200
nlkdg665,1000
fff2640,100
gu8529630,1080
dqw321085,1300
hgkn6532,1000
wrf14796,1300
jsc4135,2000
ku822518,1300
c123ddd,308
kuo83582,1000
wsd666666,10
wsd666666,30
vujhbk656,1000
enyui9568,100
lin883625,1000
cc188188,100
qm02187,1000
tgr58644,1020
bh852035,1300
dff56254,1300
zhenghon896,1300
lichao550,200
feng1988432,1000
qq0623,200
bdgkk15,1000
zz24982,1300
lichao550,100
sdf5367,1030
juvx2253,100
pnj55230,1300
wsd666666,30
l114789,182
camyu8426,1000
mu058962,1300
lichao550,100
qq0662,30
yuan1962,1000
l114789,300
lll147asd,50
uhh653,200
zxl1234888,1000
ab358722,1300
c123ddd,258
hg966845,1050
aojun520,500
zhou1968,1000
zyfw4650,150
jholijlo1,1000
zas004,500
l114789,300
jko562876,1080
rrrk44103,1300
mk826988,1000
lichao550,100
l114789,200
wsd666666,30
zx002255,1000
zyx009,200
miaomiaozi1,1300
wsd666666,30
15695110838,200
ap365478,1050
kgnk5663,1000
lll147asd,30
qq0623,300
xc45628,1300
yy638551,750
wangy8888,10000
rc958162,1030
lll147asd,20
nicheng2684,1000
juvx2253,150
aa756823,1300
lijingu6,120
ambition11,200
hangan4414,500
skjgkl1,1000
bao19998,1300
aa235987,1300
kop5683,1000
vn25896,1300
ds259475,1050
vv130321,200
nican6982,1000
dong532129,1002
tdkh6570,150
cv645882,1020
gqh52535,1250
uo894123,1300
15052310653,1000
fr226544,800
aaaaa1985,1000
c123ddd,260
jn369963,1050
wei19880,1300
wo61928139,100
15052310653,1000
kuo83582,1000
ab321400,1300
ihoohh44,1000
feng036274,1300
fengjie7920,1000
bdi681,200
ccv2018,500
lijingu6,500
