会员账号,订单金额
zxcv4312,100
yyy530,500
liuqing318,10
lmj921,50
zxcv4312,100
xxxvb1,100
luo0712,50
a6109525,500
m950811,500
lrb200402,100
15712685065,100
15712685065,500
4516298,100
wu1661,100
qiuzong,1000
qz2797325810,2500
wu1661,100
a229797,100
bl999,1000
d200107,500
fcl6699,100
2000107,500
ww1700,197
fcl6699,100
wu1661,100
14796856782,100
a635948189,665
qz2797325810,2000
hua360733,1000
fcl6699,100
bl999,5000
hbdd8644,24
2000107,500
fcl6699,100
ljg281199,500
ljg281199,1000
nhdf9672,500
lmr145,100
zhu188188,195
1113203411,1100
xxxvb1,100
qz2797325810,1000
jdbb75,500
byt578,300
wu1661,200
jdbb75,107
q1842914,140
qz2797325810,500
qswmnbnh99,50
gyabcd5,1000
hdu836,100
fcl6699,100
hua360733,1000
lslin,300
a6109525,300
gdf62147,1000
fcl6699,100
w660664,120
t18934251722,100
zhu188188,146
hdu836,100
jdbb75,1000
fcl6699,100
fcl6699,100
cxf1989,1000
e971110,100
bb5723,200
hdu836,200
we55635,200
zhu188188,100
hua360733,400
2000107,600
z777,1916
pg8883,209
a2846697384,952
1113203411,879
fcl6699,100
q2652342593,100
chg135636,500
fdq58812,1000
t18934251722,200
q2273715564,300
uvcg9462,1000
t18934251722,100
q945123,100
pg8883,200
13981298794,401
resignes000,500
fcl6699,100
wzl19951104,400
zhu188188,100
we55635,200
t18934251722,100
q2273715564,200
bin102933,100
haowcr88,50
hdh108,200
we55635,200
fcl6699,200
vip168168,1000
t18934251722,50
w971119,100
gaowentao,100
vbg6747,1001
chg135636,500
shibaoo123,1000
q945123,100
2000107,500
2000107,500
bl999,5000
t18934251722,50
q945123,100
q945123,100
2.45E+12,727
haowcr88,50
t18934251722,50
2086836195,100
hua360733,278
vgd6759,1000
xpp1234,100
ww6985,200
cl199595,100
ym9494,100
ll1245,500
kkp223,1600
nhd639,100
qfyg756416,101
kpwq201547,50
q945123,100
q945123,100
zhjch123,200
zhu188188,100
q945123,100
ll23678,150
wht666,200
cc8863,200
nhd639,100
cb199905,261
qism1241,1000
hyd879,100
cc8863,200
wo61928139,130
z777,260
zhjch123,100
hff8789,100
2000107,500
cc8863,200
q945123,100
15052310653,1000
2000107,500
weiyi008,10
q945123,200
cqe56345,1000
tkplt012,1000
ll23678,170
tkplt012,420
ambition11,200
1113203411,600
bgt4682,1000
tkplt012,580
15052310653,1000
ljxy99,2099
a281990123,100
1735239780,300
tkplt012,461
15170395004,200
jdj888,1000
qiuzong,1000
1113203411,400
tkplt012,520
awm001024,5000
xgd5785,1001
qaq31415,1000
bl999,3000
wjj1001,200
jsh001,100
nhd639,100
bdh736,100
zzy361082168,200
zzy361082168,150
jj15012002172,20
qiuzong,1000
nhd639,100
ljxy99,2588
bdh736,200
jsh001,100
qef73201,1000
2000107,450
as12345,300
nhf6783,1001
d121316,200
2.45E+12,1000
ljxy99,2316
2000107,450
awm001024,3000
qjj55512,1098
lfg6575,1000
rjl150266,10
ambition11,130
rjl150266,30
sly521521,300
zjw004,200
qwe453,200
bgda4768,1001
ooh888,20
l199318,300
cahh456,50
yu2013520,3000
sly521521,297
vov777,20
saa666,20
xf1383556,100
zjw004,200
2000107,500
baa777,20
dengxaio,1000
btt188,20
dl7792,1000
wee888,20
qwe453,200
li1691,300
app780,10
2000107,500
woo1666,20
tkplt012,440
yywwbb,300
tkplt012,560
v7777q,20
a6125072,146
wo61928139,100
dengxaio,2000
2000107,500
xie258369,500
2000107,500
1113203411,400
byg647,1000
aaaaa1985,600
bbh777,300
cahh456,50
wo61928139,120
xx180735,100
bbh777,200
gvc859,100
asd354900,400
q29752703,200
tkplt012,500
2000107,500
ylj3468,1000
cahh456,100
app780,10
tkplt012,761
2000107,500
q29752703,200
bbh777,200
app780,10
hqk43166,1000
a1212112,10
ftu459,1001
a1212112,10
a1212112,10
a1212112,10
app780,10
lx1592787,1000
zjw004,200
haq57724,1000
2.45E+12,400
x51304757,138
wmmmcc,52
bhg4657,1001
q23095163,200
a1212112,100
app780,10
zjw004,200
1113203411,300
dhfp9164,2000
1775535,1000
rjl150266,30
bbh777,1500
cheng1235,1000
ww1700,197
res45225,1000
app780,10
a1212112,100
jff357,100
fds6473,1000
xa317150,1000
wangzai001,100
q23095163,200
q635507026,100
a8587437,126
tcz369369,100
as123456,350
app780,10
ldh369484,1000
qw8882,100
kqd6257,1000
wl561,68
2000107,400
gyabcd5,1700
ljxy99,3033
a1212112,100
zzggpp,100
2000107,400
wln202,200
gyabcd5,1500
fgd4757,1000
zdw0123,100
vv130321,100
hua360733,320
cheng1235,1000
2000107,500
yu2013520,5000
wln202,200
hc0768,20
cxf1989,1000
gsfd2rg1,100
vb4076,20
wln202,200
jql3261,1000
hua360733,266
meuiz48540,102
cmx0222,400
d121316,200
q23095163,176
a1212112,100
a2822846147,100
614790175,300
l199318,200
zhang0008,500
gyh693,1000
wln201,200
lgfff888,2000
lovelxg,5000
ftzzg19748,100
lgfff888,1000
wln201,200
mshy198,50
q23095163,200
etw59342,1000
d121316,300
sd2233,2000
wln201,200
gwy1111,150
xin07860,1000
q23095163,200
ljk3482,1001
wangzai001,100
ljxy99,3118
zjw004,200
lovelxg,3000
zjw004,200
qiuzong,1000
vfaui18175,100
mshy198,50
ljxy99,2999
lovelxg,1395
aaaaa1985,1000
wwe889,1499.99
ths666,725
pyf159,200
zjw004,200
gaq44361,1000
a1212112,100
lgfff888,650
bhf581,1001
e0008888,200
l199318,200
d121316,200
wht0002,50
wht0002,50
d121316,200
2000107,500
hdgu5548,100
lgy002,500
sly521521,300
cheng1235,1000
yiu001,100
qiuzong,800
nbclass6,120
mshy198,100
rd2394,20
wht0002,100
yiu001,100
wht0002,200
d121316,200
kkkppp,20
xx65998,100
fcy12345678,4800
wht0002,100
2000107,500
ljxy99,2688
wo61928139,160
ddc555,20
wht0002,100
hua360733,265
tty0921,1000
tkplt012,500
wg71570109,200
xxx123xxx,500
a1212112,100
19536892689,100
z777,1743
wht0002,100
qq131425,90
r0008884,400
ljxy99,4832
hebaoxiang,1000
syz2638,1000
wht0002,100
sjf2133,44
wupeiyu123,1798.29
qq131425,80
sd2233,2000
labahu5674,500
vgh369,50
wyl1984,1000
as12345,200
wht0002,200
1113203411,200
wpy362514,500
d121316,400
2.45E+12,824
qiuzong,1000
wht0002,200
r0008883,400
a1212112,100
vgh369,100
luo0712,100
qiuzong,1000
luo0712,100
fk9302884,100
614790175,200
ydgg3579,100
2000107,500
fhy52166,1009
ch132646,1000
a281990123,500
zsf5283,500
gpz0311,14
wangzixun88,1000
x57765,201
d121315,400
wht0001,200
vv130321,100
qiuzong,1000
luo147258,372
614790175,300
xx65998,100
wupeiyu123,2014.09
gpz0311,20
2000107,500
xx26703,100
vv130321,100
jk9966,1500
jeo100,200
xx65998,100
heh630,200
l199318,200
qiuzong,670
qw8882,100
qq8740908,500
xmx001,200
lzwd558,50
2000107,600
a1212112,100
15052310653,1000
xirxie56425,500
kyky04,200
bcx508,100
lzwd558,100
fh003152,1010
qiuzong,1007
kyky04,170
wei7918,1000
2000107,800
ljh554557,100
kyky04,400
r0008882,400
weg068316,100
suyan666,515
a1212112,100
qiuzong,1000
qyk25800,300
sd2233,2000
zjw001,200
hebaoxiang,1000
787446237,1000
yu2013520,4000
2000107,500
15052310653,1000
zjw001,190
787446237,1000
d121314,400
zhang568,500
efh257,100
936jdb,500
787446237,500
sgyph666,100
614790175,190
baojin2145,500
as12345,300
qq132111,100
2000107,500
ygbn4410,1300
rrkm8830,1200
wupeiyu123,719.31
15244271567,200
sun147258,300
ddop331,1300
liux43796,1000
2.45E+12,500
2000107,529
mu0258741,1300
wxbw8943,150
cxf145,300
lu83397176,5000
zhiyu921,100
qq131425,100
yhb4412,1300
nb7896302,50
cajhu16597,1000
dc418962,1300
nb7896302,700
d121312,400
ktt8832,1300
qq131425,100
tytsfs54,100
tqm02187,1400
dfhs125,100
15159677771,188
guvg663714,100
zxcv4312,216
yxbw6789,150
df697417,1400
opp111,1599.98
zhiyu921,100
vkp963258,1400
siting36,100
jjj321,50
rrkm8830,1400
gfh25454,500
ygbn4410,1400
2000107,400
gu8529630,502
jjj321,100
asd98,500
gwy1111,100
zjw002,200
ddop331,1400
pg8883,200
2000107,488
fan362514,300
15244271567,800
rr365321,150
vv130321,200
13894334,100
zxsd1415,514
mfwr1422,150
936jdb,500
888666,100
ttttt9,800
cw64905,1000
r0008881,200
mu0258741,1400
ttttt9,1000
fkln3697,150
hypw4747,150
13894334,100
dc418962,1400
ttttt9,1000
qzx996633,300
yhb4412,1400
aa756823,1300
tgr58644,1150
rstvm6982,150
ktt8832,1400
pg8883,100
t18934251722,50
tytsfs54,200
fyy1846,400
ttttt9,1000
qiuzong,1935
czx111222,100
nc652485,510
sgjc3579,100
d121311,200
ttttt9,1000
936jdb,400
nbclass6,200
qa198541,100
xx31337,100
ttttt9,1000
wangshi183,100
t18934251722,50
ttttt9,1000
rrrk44103,1300
yu2013520,3020
hrst1365,150
ttttt9,1000
fr226544,1400
sdf5367,1160
cheng1235,1000
lixb1989,1000
lgfff888,1550
r0008881,188
jd358467,600
duo88932,1000
gsx461003,100
zszjui4896,100
aa235987,1300
zjw003,200
d121311,400
xhwp5758,150
liang5868,1000
zjw003,200
pnj55230,1300
lgfff888,3000
qiuzong,1500
yixiang545,100
tqm02187,1000
r0008881,200
zxl1234888,1000
yunxing23,500
bhk3311,500
dc41896,1300
df697417,1000
yy638551,700
936jdb,480
fwfwfw123,50
dusdus,2200
rrkm8830,1000
qa985864,1150
linghao5688,1000
vkp963258,1000
zxcv4312,308
vip8qw,500
lin883625,1000
w147258369,7500
zjw001,200
qiuzong,1000
ygbn4410,1000
15244271567,500
yuan1962,1000
qpj1234,1050
ddop331,1000
2.45E+12,300
fmuiy920,100
luochen30,100
yu852714,1300
zq9463,200
camyu8426,1000
jko562876,1200
nicheng2684,1000
lsx001,500
uy725418,1300
jbn63785,1300
ism010,100
as12345,300
mu0258741,1000
dc418962,1000
fcy12345678,4600
fwfwfw123,50
lovelxg,782
whxz9370,150
lidong235,100
yhb4412,1000
ktt8832,1000
li112400,1000
qq104555,100
kop5683,1000
fcz764154117,1000
l114789,200
rc958162,1050
nican6982,1000
2000107,1000
gv774496,1000
zjw001,100
fwqx3608,150
r0008881,400
kuo83582,1000
2.45E+12,447
zjw001,200
2000107,1600
nb7896302,1000
fengjie7920,1000
ywtvs3690,150
13894334,100
ab321400,1300
a8587437,500
d121310,200
dff56254,1300
cajhu16597,1000
se963258,1300
shangwang36,500
d121310,200
mk826988,1000
mhdw4775,150
liuwj326,1000
yuzzp7063,2000
king886,1280
app780,10
wangy8888,350
dgcv3658,100
bh852037,1300
duo88932,1000
fr226544,1200
zq9463,200
wrf14796,1300
king886,720
qiuzong,1600
zglw4202,150
jiang0322,1000
app780,10
ww198541,100
qq104555,50
qgb4455,300
qm02187,1200
zxl1234888,1000
2000107,500
qq8740908,500
feng036274,1400
yuzzp7063,2000
2000107,500
lixb1989,1000
bh852035,1300
fuyi963,100
gb123987,1300
lin883625,1000
mu058962,1300
app780,10
laixifeng77,500
qq104555,50
sd2233,2000
ihoohh44,1000
liu8847193,60
l114789,200
zhjch123,100
gqh52535,1238
hb441103,1300
nlkdg665,1000
anyar,15
jiang0202,1000
wxcl3295,150
2.45E+12,520
ab358722,1300
xycouture,199
2000107,888
xinyu2861,500
nicheng2684,1000
ku822518,1300
qiuzong,1500
wo917239943,600
bao19998,1300
linghao5688,1000
y1192236573,1000
juvx2253,1000
q18298238603,300
gy856398,1300
zq9463,300
xj3685,300
bdgkk15,1000
nican6982,1000
fqyl4119,1000
zyfw4650,150
qiuzong,1000
li112400,1000
2000107,1000
camyu8426,1000
yuzzp7063,2000
jholijlo1,1000
dqw321085,1400
xtj25800,300
aa756823,1300
fengjie7920,1000
hebaoxiang,930
y1192236573,1000
d121310,200
wo917239943,400
uo894123,800
uo894123,500
as168823,1050
zz24982,1300
936jdb,306
anyar,15
tu774489,1020
kgnk5663,1000
lghms1351,1000
liu8847193,100
guan4210,1005
xzv221,500
kop5683,1000
skjgkl1,1000
wyhj3289,200
gdy538684,1060
yuzzp7063,2000
jiang5423,1222
dhdg991,160
y1192236573,1000
qch930,200
dhdg991,100
xycouture,200
cajhu16597,1000
d121310,400
xc45628,1300
936jdb,300
liu8847193,50
wzxs1269,1000
changxiang2524,500
kuo83582,1000
dhdg991,100
rrrk44103,1400
kpwq201547,50
hu69741,1300
duo88932,1000
vn25896,1300
dhdg991,100
2000107,1000
gu8529630,1002
dc41896,1400
a281990123,500
liu8847193,50
li2752,500
r000888,200
li2752,1000
wangyan11,500
liu8847193,48
ghl197400,1000
dhdg991,100
mk826988,1000
sgyph666,403
aa235987,1400
r000888,200
gfh25454,1050
zxl1234888,1000
ihoohh44,1000
dhdg991,100
a281990123,200
liu242628,1000
nlkdg665,1000
xxx123xxx,500
fg45566,1300
yu852714,1400
jko562876,1060
dhdg991,100
zx002255,400
feng036274,1300
qw8882,200
lsx6666,30
ljxy99,2278
lcx620345,500
lixb1989,1000
2000107,680
hb441103,1300
yy638551,600
sxwqt4302,1000
wangdage88,100
zx002255,5500
tgr58644,1100
gy856398,1300
vujhbk656,1000
bdgkk15,1000
jbn63785,1300
gy666888,300
564335huang,3000
l114789,200
lin883625,1000
wrf14796,1300
gv774496,740
qq845106,180
yyy530,250
rc958162,1150
qq845106,100
ass233,100
uy725418,1400
xxww0747,1000
dqw321085,1400
tyu684,100
