会员账号,订单金额
aaaa55,100
zzy361082168,500
z177557,100
w963741,100
longbaba520,118
wml998855,117
fdq58812,1000
mj2358825,263
yu2013520,1500
aa8848aa,544
z177557,212
yu2013520,3500
z177557,200
lrb200402,100
longbaba520,258
zzy361082168,1000
z940226692,100
yufu1730,198
qef73201,1000
tian911,159
yu2013520,8480
zzy361082168,500
mj2358825,223
aaaa55,153
19152124506q,1000
aaaa55,100
lrb200402,100
wml998855,118
gdf62147,1000
l2019,10000
l2019,4999
luo0914,118
1148397747,207
aa8848aa,218
cqe56345,1000
rgd1997,107
qjj55512,1000
19152124506q,484
aa8848aa,1686
tianxiaoou1,178
yu2013520,9799
xfz031101,100
qw33333kk,116
tty0921,1000
xfz031101,100
shenwansan,1018
lu83397176,5010
yu2013520,3500
z209716425,153
zhh04290,500
yufu1730,158
1148397747,200
pyf159,500
wangzi111,200
gh668820,100
pyf159,500
lyxahyl666,1000
rgd1997,103
zhoubo8609,140
zhoubo8609,100
zhh04290,200
wangzi111,500
qw33333kk,100
tianxiaoou1,118
411520a,100
nmn3232,100
zhh04290,200
uio1111,200
jkl1112,200
lu83397176,5000
free5182,650
l2019,588
wangzi111,100
lyxahyl666,1076
lyxahyl666,1000
jisi198910,1000
zhh04290,300
zhh04290,200
lyxahyl666,1000
lyxahyl666,1000
zhh04290,200
lyxahyl666,1000
lkj206,100
cc815728456,2000
dkj2568,500
a635948189,800
ur6e5fa,500
sg434,100
lcq1973,50
16689671281,144
1997zyy,50
cqx686,100
gyu1456,500
fg655,100
qwe6570,502
aojun520,210
zcq2587,100
sg434,100
sg434,100
twikk1,50
w20230808,200
fg655,100
ewb158,100
lkj206,100
dghf0029,50
duijue2833,500
fg655,71
drt2547,500
jdnn90,404
dh763,100
a635948189,200
dsf42,100
jyl830914,500
fghu678,100
dh763,76
lx1592787,1000
hua360733,1200
chhh6553,50
ajh6639,500
sg434,100
fhch3332,50
asd2779,501
sg434,200
luo990917,100
lcq1973,50
sg434,100
wkdhg88b5b,100
lkj206,300
dsf42,100
hyu2568,500
sg434,100
sg434,100
dh763,37
dh763,24
hx513775790,200
sf5233,200
sg434,100
mc8976,300
dh763,63
pan0829,100
cuilihua62,100
hf422,100
ldh369484,1000
pdw6688,150
wen299248,100
ab358722,1300
wqww123456,200
fd42,69
ff424,100
df697417,1400
wen299248,100
ljc1328,340
rt8572,200
wei7918,1000
wg506506,300
dc418962,1300
bao19998,1300
ccv2121,500
ff424,48
ff7821,200
rrkm8830,1400
fg655,185
han369,100
qq20130621,80
liu8847193,50
wg506506,300
zhizhi789,485
rc958162,1160
wangy8888,10000
han369,100
yy638551,700
tgr58644,1300
tqm02187,1400
fg655,100
bf423,200
liu3827110,200
cc37881,100
ty5263,100
rrrk44103,1300
nican6982,1000
vkp963258,1400
kk63525,200
gy856398,1300
xb42,156
dh763,100
fg655,29
asd278,502
awm001024,4000
cbh2154,500
sg434,100
sg434,100
ac2589,180
pengyuan1,100
twikk1,50
ycy876,50
dh763,100
idh678,300
yy871199,150
ttttt9,1000
ddop331,1400
zhenghon896,1300
vgg1188,20
gqh52535,1200
gfh25454,1000
fs3626,363
nb7896302,1100
camyu8426,1000
wff65871,282
678jdb,2400
fh003152,300
shen0123,100
ttttt9,1000
cajhu16597,1000
tqm02187,1000
rc958162,1100
fsh1688,47
wg506506,200
ttttt9,200
qq20130621,100
cxf9978,20
dsf42,89
han369,100
nican6982,1000
xiaoyue777,2000
lfx99040,1300
dg75,200
ycy876,100
lzz9907,1300
carh66,100
cc26703,100
df697417,1000
ab321400,1300
1997zyy,100
dsf42,100
fanlan988,100
sd2233,2000
ab358722,1300
kop5683,1000
kpou2880,50
dsf42,98
wangzixun88,1000
dsf42,100
lkj206,100
13148832763,20
wo771025,50
qq107570,200
sg434,100
sg434,100
sg434,100
dsf42,100
sg434,100
1588097cc,500
sg434,100
k10123456,100
lcq1973,100
wo771025,50
yzw1989,645
jdnn90,200
2086836195,200
sg434,100
li1691,300
fg655,100
qq6733101,30
sg434,100
dh763,100
qq20130621,130
jyl830914,300
hbuyr874,50
twikk1,50
dh763,200
zdm2000,680
sf5233,100
fghu678,100
dsf42,41
jyl830914,200
wg506506,700
cc26703,80
fengjie7920,1000
