会员账号,订单金额
yu008008,176
gdf62147,1000
z209716425,1500
l199318,300
fdq54312,1000
tty0921,1005
qq6144,10000
zzy361082168,525
heqiang323,100
z209716425,1000
zx9912,119
wqq87731,1000
zzy361082168,500
qjj55512,1090
zzy361082168,1104
heqiang323,200
cqe56345,1000
zx9912,158
aojun520,1000
a246800,100
asd478,200
jkk82716,300
zdm2000,1250
shk662,50
z2314,50
ysh598565,1000
hede520,100
hede520,100
ccxx9998,1350
zhw001,50
min1981,1000
lyn5555,100
aojun520,300
asd478,350
lsx6666,10
asd478,360
gong2545q,100
qwe940,50
wcy6432,600
a246800,100
asd2155,150
hua360733,1500
hua360733,500
lian134679,500
aojun520,200
asd478,310
wka880,50
tb9839,200
baofei147,500
mao969843,100
asd478,610
wka880,50
ab4315,100
tb9839,200
zdm2000,899
gougou6,100
hua360733,1000
hede520,100
lx1592787,1000
txd339,50
hdsrt0012,233
huawe123,50
qq18768,20
huawe123,50
k17123456,50
liliya778,500
cwhws519,361
shuang9528,500
wka880,100
ch132646,1000
gwy031007,100
huawe123,80
shunge9988,500
sew665,100
min1981,800
wcy6432,500
huawe123,100
wangy8888,50
lqq987654,2000
zhw001,150
gougou6,200
min1981,2500
huihui6666,200
dzt666,41
chuny5648,500
zz18768,20
aa18768,20
chaoyong1,500
nn131425,100
txd339,100
nn198616,100
cc815728456,1500
kkkjj66333,1230
l114789,100
wka880,50
z2314,50
bl999,1000
2.45105E+12,290
yn2238771,100
lyq5515411,1000
mlw1781885,100
zyx147258,5200
sfsjyy78,300
1711009,410
2.45105E+12,1710
a321780,1008.87
xjl1234,400
w147258369,5200
su1314,1100
123456l,100
bgt4682,1001
nhf6783,1001
ml1daad1,100
djd88,300
123456l,100
nhdf9672,1001
qism1241,1002
not8888,200
15244271567,1000
no1810893,300
zbz521,100
djd88,300
djd88,300
fwfwfw123,100
123456l,100
123456l,100
qswmnbnh99,50
du06dav888,100
123456l,100
wjk961947758,200
123456l,100
zbz521,400
djd88,300
hjn688666,2600
djd88,600
djd88,600
123456l,100
123456l,100
huayu32nhuo,100
hqk43166,1000
123456l,100
uvcg9462,1001
a1830543226,300
123456l,100
zbz521,100
123456l,100
vbg6747,1001
w147258369,400
zyx147258,5000
fengdan1114,1000
xjl1234,200
qaz123qazl,200
123456l,100
aa2400369,100
q2273715564,600
123456l,100
ai1asdv123,100
pp16544,100
lfg6575,1001
123456l,100
haq57724,1000
hbhfsa13,100
123456l,100
jxx1200,1000
qwe1vsfs321qwe,100
luoye216,50
djd88,300
xgd5785,1001
123456l,100
qwdad312,100
123456l,100
hail45shen,300
123456l,100
123456l,100
123456l,100
nbclass6,112
1459740555,1000
hbdsada66,100
123456l,100
vgd6759,1001
123456l,100
