会员账号,订单金额
heqiang323,150
heqiang323,250
888888aa,103
a370983,100
888888abc,200
w3076792742,118
wqq87731,1000
l199318,140
a78785789,1007
22345,104
zzy361082168,200
cqe56345,1000
qjj55512,1113
l199318,200
zzy361082168,405
jj9965,196
a78785789,2000
ts817925,2018
tty0921,1000
xq1269449261,196
qkw23515,1000
gdf62147,1000
s208139,500
fdq54312,1103
hede520,100
jjb9988,100
jjb9988,152
hede520,100
gg741663424,305
lmx112,50
cb56789,200
jj9982,300
tjyd148,50
zbdk5437,500
ch132646,1000
zbdk5437,380
zbdk5437,700
tjyd148,50
zcq2587,200
zq2009,100
lsx6666,12
a246800,100
zbdk5437,500
cb56789,200
gyu1456,1000
kiyoumi122,1000
zbdk5437,500
ww282828,118
app789,100
tjyd148,100
hst7334,1000
zq2009,100
hede520,100
hede520,100
jjb9988,51
dh5783,100
jjb9988,300
ww282828,150
qxl0483,500
nng987,500
zbdk5437,600
zdm2000,1000
cj2233,20
ggyy9996,5000
rfg8546,500
cb56789,300
towen369,100
hede520,100
jjb9988,697
jj9982,300
jj9982,1000
foyl459,100
ajh6639,1000
zbdk5437,670
wsw1122,20
zbdk5437,800
werou0809,100
a635948189,1580
aojun520,500
lmx112,40
cq5566,20
cb56789,100
2525hbhb,5000
kiyoumi122,400
zbdk5437,710
poyu1569,100
hst7334,400
lmm15526290636,100
cxs1314,388
ggh903324311,500
nnm008,300
qz2797325810,1600
qz2797325810,300
amxpi1325364274,50
2.45105E+12,688
zx2354710562,1500
a8587437,100
cxs1314,200
zx2354710562,555
nnm008,700
ggh903324311,500
zx2354710562,500
zx2354710562,1013
zx2354710562,400
2.45105E+12,400
yyh52559,6999.99
zjw123456123,100
123456l,300
123456l,100
123456l,100
13288961790,100
123456l,100
fwfwfw123,100
xu77588,100
123456l,100
123456l,100
hchf686,300
123456l,100
sly521521,500
vgd6759,1001
123456l,100
123456l,100
fcy12345678,4800
123456l,100
wyd1209,200
123456l,100
123456l,100
ljy12345,50
123456l,100
123456l,100
123456l,100
ohoh0707,1500
hchf686,300
hchf686,300
he970910,100
123456l,100
15126647292,50
123456l,300
vbg6747,1001
uvcg9462,1001
123456l,100
123456l,100
123456l,100
123456l,100
13288961790,100
666cc888,200
wl668668,100
123456l,100
123456l,100
jh888888,100
hchf686,300
123456l,100
hchf686,200
123456l,100
luo0712,200
luo0712,100
123456l,100
qism1241,1001
lijingu6,200
10737,100
123456l,100
yang2001422,200
123456l,100
123456l,100
123456l,100
hchf686,300
123456l,100
123456l,100
nhfd6482,1001
nhdf9672,1001
a8587437,500
15126647292,50
lutalu51920,100
wl666666,100
123456l,100
bgt4682,1001
123456l,100
yjl1778524,100
yjl1778524,50
hchf686,300
hchf686,300
123456l,100
hchf686,300
123456l,100
hchf686,500
nywe583,1001
hchf686,300
123456l,100
luoye216,100
vip168168,3000
wg71570109,1500
mnm896,50
vv198616,160
