会员账号,订单金额
wqe45215,1000
qaq31415,1037
asd8475569,2000
gdf62147,1000
ts817925,3058
qjj55512,1000
wqq87731,1097
qef73201,1006
yelang08,1036
heqiang323,200
fdq58812,1000
kql78327,1000
cqe56345,1074
fdq54312,1000
qkw23515,1000
z940226692,100
tty0921,1000
17666023781,103
zzy361082168,200
z147147,301
myx666vx,200
yy0838,200
shikang203,100
nannan13,100
13834340746,100
cy5588,20
dcm388,50
chunw521,800
gxgh55523,2000
gxgh55523,5000
tang12311,100
chen1995420,1000
weiwe685,100
gxgh55523,2000
yy0838,300
hu199802,50
gcgy6478,8000
cc1588,100
apple1991,200
hh198616,200
kgdy36,5000
wo61928139,30
fxgh1575,1000
hua360733,1000
nus077,5000
oofdd788,50
hu199802,300
gxgh55523,2000
gxgh55523,1000
fxgh1575,200
cc1588,50
hhhyi8886,5000
quanzhimin,100
shenjiexia9,100
alx789,100
yongjie26,100
ming8812,220
hh198541,200
gg150,500
fxgh1575,2000
wb19981015,100
17616006443,100
fanlan988,100
z147147,200
ttre1234,5000
yy0838,300
qq18768,2000
gxgh55523,2000
jbd632,5000
z147147,100
guowang035,100
gpz0311,80
ch132646,1000
aa18768,5000
dcm388,100
junhao23,100
hezhi136,100
13583603152,100
19978220785,100
chunw521,100
yy0838,200
gxgh55523,1000
tyty1239,5000
gyq200111,100
aojun520,1000
kiyoumi122,400
kiyoumi122,1000
alx789,50
liuqing318,700
gpz0311,231
wangshi183,100
ww282828,100
xdf655,100
gmz2005,100
ddjji999,5000
gpz0311,100
drdr5858,5000
qdft223,5000
fxgh1575,8000
daliang12,100
myx666vx,200
skhg234,5000
alx789,50
apple1991,8000
hede520,100
gxgh55523,200
qq18768,1600
888888aa,200
ww282828,100
yingqian8886,1000
hst7334,1000
lijian868,100
hst7334,400
2.45105E+12,1000
qz2797325810,900
amxpi1325364274,100
kk198369,500
zxcv4312,160
qz2797325810,513
qz2797325810,500
zxcv4312,500
qz2797325810,414
bl999,10
kk198369,260
qz2797325810,500
kk198369,100
kk198369,100
qz2797325810,400
zxcdxw147,99.94
w431409737,300
tslws110,800
shaoxj,500
km11579855,300
j3137369,100
wtrtyb329,123
vgd6759,1001
18272082301,100
fcz15867550040,5000
cxf1989,1000
a1557027,500
e64432006,300
vrvsp95699,300
lcad666,500
ncg123,500
vbg6747,1001
1.9872E+11,1000
