会员账号,订单金额
gdf62147,1000
asd8475569,2000
zcq11069,2000
zzy361082168,500
zzy361082168,200
276287735,5000
mzsky001,190
zhengyu123,119
heqiang323,215
zzy361082168,500
qq6144,5000
asd8475569,2000
wqe45215,1000
zcq11069,1088
yfq8513,118
zzzt,118
bb198633,100
weet618,150
cwhws519,182
liuqing318,100
xxxz0002,1000
a635948189,1000
cj2233,5000
ab4315,100
bcx886,200
liu888,1650
yy0838,900
wudi1222,200
liu888,2000
liu888,2000
hlg0303,100
yk8528,150
odf878886,300
kiyoumi122,400
xp1179294892,100
liuqing318,200
yyy1510,100
a635948189,2000
cwhws519,152
zdm2000,1000
zhuo123,5000
hua360733,500
kiyoumi122,1000
df3263,150
zhuo123,1000
nn198622,100
zhuo123,1000
zhuo123,3000
a281990123,500
yanjie989,100
wsw1122,5000
wert615,150
yyyx0001,3000
16689671281,3500
kgdsa1768,235
liuqing318,100
mgg666,200
hede520,100
chen0812,200
liu888,2000
hu199802,500
jif586s55,300
liu888,200
zhuo123,5000
wudi1222,200
ggd866,300
hede520,100
nn198622,100
xiezonglin,198
yanjie989,100
lilim999,100
mm198611,100
xxxz0002,3000
mm198611,100
xp1179294892,200
yk8528,50
bcx886,140
liu888,6300
zhuo123,5000
zhuo123,5000
zhuo123,3000
gg741663424,2250
zhuo123,5000
2.45105E+12,1000
bl999,5000
bl999,1000
htz555,1000
htz555,1000
2.45105E+12,100
2.45105E+12,300
cao180113,225
iughouh21,300
qq1983,50
qq1983,149
bl999,1000
yx88888888,600
fcz764154117,500
18620856077,1000
18620856077,1000
xsf0130,72.58
gouri8,108.94
gg1478,99.94
343019guo,725.8
hh4588,100.96
fgfg25,100.96
xsf0130,72.58
gg1478,99.94
sun101910,166
mxq00746,200
123456l,100
123456l,100
123456l,100
pnml480761,300
mkwaz3407,300
xgd5785,1001
123456l,100
13148722251,100
fwfwfw123,50
he970910,100
gjf1029,50
tslws110,700
yl0099,82
lb804693,300
zhu520134,100
123456l,100
123456l,100
123456l,100
123456l,100
q18169433761,524
qwert12345qwert,500
lxiu15042,300
lxwnn0795,300
123456l,100
m20011020,200
rqp30261,300
123456l,100
123456l,100
yb83635670,300
asj770,100
zhu520134,100
zxcvbn123456,100
q18169433761,500
123456l,100
cxf1989,1000
123456l,100
gfqqp335,300
cxf1989,1000
gjf1029,150
123456l,100
123456l,100
123456l,100
nbclass6,71
vebx518697,300
qwert12345qwert,300
qq920722,50
jut17883,300
123456l,100
odoqg02614,300
123456l,100
vbamz3649,300
qwert12345qwert,1000
123456l,100
123456l,100
123456l,100
zxjjx28406,300
123456l,100
123456l,100
792861230,100
123456l,100
q6746354,300
xx0812,100
tslws110,1000
123456l,100
tslws110,3000
cxf1989,1000
123456l,100
123456l,100
cxf1989,1000
zxcvbn123456,100
xiafeng1988,1700
qooa99375,300
cxf1989,1000
123456l,100
feng1988432,200
123456l,100
fcy12345678,500
xx0812,100
qwert12345qwert,500
123456l,100
171100,1000
