会员账号,订单金额
heqiang323,300
heqiang323,229
heqiang323,250
zyt3344,176
zzy361082168,500
zzy361082168,600
gpz0311,90
cwt888,100
yk8528,50
1880aa,50
1880aa,50
gpz0311,100
1880aa,50
gpz0311,100
gpz0311,100
hyt789,100
xing15665,300
pmh189,50
a635948189,3200
www888555,29
a635948189,4258
ren520758,100
zdm2000,500
gpz0311,80
ming8812,240
gpz0311,100
pmh189,50
wyx112233,1000
gpz0311,100
gpz0311,100
gpz0311,100
gpz0311,100
gpz0311,100
gpz0311,100
lxc7850,200
hth56789022,45
hu199802,300
kyk668,170
13189262189,500
dd4567,148
xulong007,100
gpz0311,60
gpz0311,100
xiaoyue777,5000
udb02dhv,150
1880aa,50
yk8528,50
a635948189,3888
ur6e5fa,500
udb02dhv,200
aalf478596,300
gg741663424,440
gpz0311,80
gpz0311,80
gpz0311,100
gpz0311,100
cwt888,200
gpz0311,80
hua360733,255
gpz0311,100
gpz0311,100
gpz0311,100
gpz0311,100
z57866,295
gpz0311,100
gpz0311,40
nxhe777,300
qwe2132,100
qa2743213938,50
bb88bb,500
895623,50
zxcv4312,100
bb88bb,200
opk67832514,130
895623,50
2.45105E+12,400
qa2743213938,10
2.45105E+12,1000
wzh610221,400
895623,50
wo61928139,20
zxcv4312,100
cc981209,3000
zxcv4312,100
895623,50
lhr1103,200
895623,50
hth56789022,36
zxcv4312,100
895623,50
wfp111888,1000
895623,50
da030552,199.96
xa0030420,254.97
gdjl06033,718.55
poz0554414,249.96
da030552,299.97
qq444832680,100
a13579asd,1000
a512375867,50
byt578,100
sly521521,300
m20011020,100
qq444832680,50
wsj496414,1000
xiafeng1988,1000
wyd1209,300
qq444832680,50
10737,100
y1192236573,500
a13579asd,1500
qq444832680,100
a13579asd,3500
xiafeng1988,2000
luoye216,100
gjf1029,100
wq718885672,827
wyd1209,300
wyd1209,272
gjf1029,100
luo0712,50
luoye216,50
mxq00746,200
zhu520134,100
q18169433761,500
mxq00746,200
q3165191465,400
q3165191465,200
q18169433761,500
fwfwfw123,50
gjf1029,50
qq444832680,50
luo0712,50
lcad666,500
gjf1029,50
cheng1314,800
qq444832680,50
q18169433761,500
aez782,100
zhu520134,100
zhu520134,100
ll1010,20
www888555,100
ava800,100
hzx1998,100
zgtycp1,500
zgtycp1,300
www888555,900
hua360733,15
zgtycp1,300
ffmm88,150
a380142441,400
ake666,2000
a380142441,500
hebaoxiang,1000
zhengtt85,500
w102484,1804
lll147asd,10
cenx,100
aa20456,495
f152796418,50
cenx,200
cenx,300
zcq11069,555
zhu9054,300
aa20456,1771
f152796418,40
13341952398,1000
f152796418,10
f152796418,50
aa20456,700
hth56789022,50
cenx,200
aa20456,1000
13341952398,2000
li101233,200
wsd666666,30
aa20456,300
cvb953,1496
xiaokaixin,2000
zxy45678,200
qq123qqq,1000
15298784155,6996
15298784155,8600
hn16455,104
wyl1984,1200
2000107,500
wu2942581032,30
wu2942581032,30
app780,19
2000107,500
lzh200152,50
app780,20
2000107,300
2000107,500
mm3504877,100
2000107,500
2000107,500
2000107,200
2000107,500
2000107,400
2000107,300
2000107,500
f598332345,290
2000107,400
zyt3344,300
h199803,218
asd8475569,2065
h199803,202
gzc130130,286
888888aa,200
gpz0311,100
xy8888,1000
pmh189,100
lsx6666,50
pwa3596,100
lsx6666,50
16689671281,100
hede520,100
gpz0311,80
hede520,100
zhang254,1300
hede520,100
hede520,100
zhezixi1,300
gakki334,1400
cbcb55908,1000
vcv8778,100
cxf8887,100
kiyoumi122,1300
ruyt345,649
hu199802,200
hu199802,300
zzq369369,300
lhy8953,500
cp684920,1008
sd2233,2000
hede520,100
gmq1106,1300
uyds8799,300
hede520,100
qaz131718,20
1880aa,50
lfd988,50
vcv8778,100
qxl0483,500
da258369,20
tanxia0819,1400
hede520,1000
zxc256,50
zixuan,60
lml3146,500
vcv8778,100
vcv8778,100
yc00885522,300
lfx99040,1300
ytp552,300
cbcb55908,300
lsx6666,10
lc1717,50
ytp552,300
kjhnm4125,233
hyl1308,128
ttky6659,300
cmx0222,700
lc1717,300
hst7334,1000
hede520,100
hede520,100
hede520,100
lfd988,50
hede520,100
gpz0311,100
cxc9789,200
lb2017,1000
ruyt345,5000
zxc256,150
qxfg345,5000
zyy2073,123
sfx1172,135
ruyt345,430
vcv887,200
liuqing318,250
qq137278,300
a281990123,500
hst7334,500
l135336,400
hu199802,305
hu199802,365
xx18768,5000
lfd988,100
hu199802,379
cbcb55908,2000
byebye951,1400
gpz0311,100
pk00112233,300
15898986524,250
yzq98345,1300
15898986524,100
hede520,100
1880aa,50
lhr1103,176
gzc130130,101
lhr1103,200
2.45105E+12,746
bl999,100
2.45105E+12,500
qa2743213938,500
bl999,100
bl999,100
qa2743213938,500
bl999,5000
lhr1103,350
lhr1103,500
bl999,100
bl999,500
bl999,100
2.45105E+12,1100
bl999,1000
lhr1103,601
bl999,100
bl999,100
gdjl06033,508.06
gdjl06033,145.16
qq444832680,100
aez782,100
q18169433761,400
123456l,100
qq444832680,50
123456l,100
qq444832680,50
123456ysh,100
123456l,100
123456l,100
fu704253747,500
at111,100
wl668668,55
123456l,100
2000107,1000.69
fwfwfw123,50
123456l,100
wn111,100
fu704253747,600
123456l,100
aapollo,5000
123456l,100
gjf1029,50
13288961790,100
fu704253747,600
123456l,100
15244271567,1000
m20011020,127
sly521521,300
qq444832680,50
666cc888,400
123456l,50
sly521521,300
a2846697384,50
123456l,100
fu704253747,1000
123456l,100
2000107,1000
a13579asd,3500
zhu520134,100
q18169433761,200
wq718885672,642
123456l,100
fu704253747,1000
123456l,100
123456l,100
123456l,100
123456l,100
cheng1314,1000
gjf1029,50
123456l,100
904253973,200
666cc888,200
hp198989,250
123456l,100
fu704253747,2000
123456l,100
123456l,100
zhengziming1,1000
lei943688,100
afsia41454,200
tkplt012,453
ctt888,300
cc201314,100
cxc9789,100
cxc9789,100
meng1230,150
asd12345610,140
tkplt012,438
tkplt012,57
yh173639,102
ffmm88,150
lei943688,100
qwe52000,400
mmttdd3169,160
tkplt012,562
asd356789,150
ctt888,300
cxc9789,100
xpj2023,1000
forme88,100
lxp88528,255
yu0e8t6,200
htls888,200
jxd43682,100
zcq11069,2000
cxf8887,200
py689422,507
cxz886,200
i9fq31c,500
yu0e8t6,100
aa20456,200
jasonxu1996,100
xpj5678,100
lh1919,11
lsl3201,301
z18086715465,300
vcv8778,200
gf2356,30
xzd887,200
cvg5567,200
jasonxu1996,30
gf2356,30
lzf9294,300
gf2356,30
jxd43682,171
tjq88522,203
gffg667,200
zl117712,500
zl117712,500
zl117712,1000
zl117712,500
zl117712,500
lh1919,90
zl117712,1000
15298784155,800
tcz369369,100
hdgu5548,100
pzn123,100
aixue699,100
gsfd2rg1,100
lxx35972,100
pzn123,300
pzn123,260
dgr21554,100
wlf13076,100
ww566225,500
lsx6666,20
2000107,500
2000107,554
2000107,500.8
cxf1989,1000
zn5201314,10
2000107,380
haowcr88,50
188199,10
d676314,400
wsj496414,1000
l208215,100
asd8475569,300
1.80106E+11,420
l208215,136
asd8475569,1800
zcq11069,400
q987652,100
ahys521,101
zixuan,117
zixuan,128
1.80106E+11,460
xingchen01,858
q987652,176
1.80106E+11,630
wsj496414,1050
zzy361082168,500
xingchen01,815
hede520,100
xue0924,2000
zgyfgy123,30
mmd8878,5000
lzz9907,1300
cj690310,1300
hede520,100
chenhao123,100
cxx6779,100
minsheng99,100
cxq716,40
gdfh977,200
fh003152,300
bbvv8887,200
qjs95813,22
qjs95813,50
hede520,100
anyar,200
cc815728456,300
zixuan,65
xue0924,1500
pppy808,5000
350080564,10
xue0924,800
rrre0569,20
fgs8866,200
vcgt9886,20
zgyfgy123,130
hede520,122
2086836195,100
vbk7866,200
hgfn8566,20
