会员账号,订单金额
zzy361082168,519
mzsky001,700
mzsky001,1000
18176936904,2500
zzy361082168,518
zzy361082168,500
cmx0222,800
yuyu58,300
kjhnm4125,200
gw1731539,102
lz246315,600
wzx1122,2500
wzx1122,2500
nxhe777,100
lz246315,400
ytyt23231,5000
lz246315,400
tyrt8800,200
zxc96996,200
vmnb967,100
lutalu51920,16
kdb965,5000
epkh235,5000
tyhg4455,1300
xfh8965,100
aa1857855,450
fps35769,100
jdyhh568,3000
mrd985,50
a635948189,3000
xy8888,800
vcx223,1500
jdyhh568,2000
yyrt1132,1000
xfg3344,200
vmnb967,200
dhfp9164,2000
bcc5678,200
lhy3535,50
ge98521,200
niao3084,568
vmnb967,100
1880aa,50
hu199802,200
a635948189,2100
lz246315,400
ddg9976,200
wsw333,5000
mrd985,50
vmnb967,100
df3175,50
tyhg4455,1000
jic3698,1000
hu199802,200
jdyhh568,300
www269,150
1880aa,50
fps35769,200
xfh8965,100
yyrt1132,1000
bvc8666,100
lz246315,500
a635948189,3000
df3175,150
rhze4574,50
a635948189,3000
yyrt1132,1000
yyrt1132,2000
yyrt1132,1800
mrd985,50
zxc96996,170
vcx3356,200
pk80858,200
zxc96996,80
xfh8965,200
zxc96996,200
yyrt1132,2000
tyu5555,270
yyrt1132,200
vmnb967,100
xfh8965,100
mtw0744,487
zxcv4312,100
2.45105E+12,2000
zhou187841,1000
895623,50
zxcv4312,100
895623,50
895623,50
bl999,10
bl999,100
bl999,500
zyx19950203,5000
bl999,10
htz555,100
htz555,100
htz555,1000
bl999,500
bl999,100
bl999,100
2.45105E+12,1000
ljg281199,400
bl999,100
bl999,100
htz555,100
htz555,1000
bl999,100
a135839,100
bl999,50
bl999,10
boo999,1500
bl999,10
ljg281199,100
bl999,10
18620856077,500
121332766,300
ww0399,599.95
shunaa99,1499.95
a295155206,5000
zxcv567,500
zxcv567,500
w147258369,1000
as12345,300
bbm808,1030
qq104555,98
zxc118,500
ljy12345,50
hjn688666,2000
zxcv567,300
123456l,100
123456l,100
wq718885672,325
asdg689,500
123456l,150
cxf1989,1000
123456l,100
gjf1029,100
shi5632,500
wq718885672,200
a2846697384,200
123456l,100
q18169433761,500
fcz15867550040,1000
123456l,100
15244271567,3000
sk975,500
bb664036,600
ysx12345,500
li112400,300
asdg689,500
1113203411,500
zhong8089,5000
zxcv567,500
zsd586,500
qq104555,50
zxcv567,500
xfy960215,62
luoye216,50
nieyonglei,500
zhu188188,49
wf0202,1541
www888555,50
www888555,30
www888555,50
luoye216,50
wf0202,500
yui567321,150
g18252206170,50
jxp420138241,500
nieyonglei,400
ddd888999,100
zgtycp1,300
qiuzong,600
khg8655,1500
tyu5555,1000
www888555,35
tyu5555,2000
nieyonglei,500
mao969843,500
tyu5555,1000
wf0202,300
xfy960215,48
lei943688,200
resignes000,499
g18252206170,10
ll1010,30
nieyonglei,200
g18252206170,10
jxp420138241,950
nieyonglei,200
zgtycp1,420
iop362421,100
qwe181898,100
www888555,30
khg8655,300
tyu5555,1000
lei943688,500
u0008887,200
iop362421,100
nieyonglei,200
hd2001,210
tyu5555,1000
hssss,50
jym1984,50
ddd888999,160
zhu188188,100
tyu5555,1000
mosala123,180
li101233,200
17683006250,40
wsd666666,30
amxpi1325364274,100
wsd666666,10
wsd666666,30
aa5864562,30
amxpi1325364274,73
aa20456,300
17683006250,20
wang5859,500
aa20456,600
wln209,200
lrz2001,50
wang5859,1000
17683006250,20
wln209,200
li101233,200
15298784155,2500
15298784155,1425
19183078989,1800
19183078989,346
19183078989,199
yl3851057,2500
tangxiang1991,1500
qqq888,800
wyl1984,500
dsffgsd19,2000
qqq888,800
2000107,200
18014832042,101
18014832042,100
yxaini8888,400
2000107,450
2000107,400
d503571,400
2000107,500
18014832042,100
z7788,215
yxaini8888,200
2000107,500
z7788,200
18014832042,100
2000107,500
lu83397176,2000
mzsky001,1000
mzsky001,1000
zcq11069,120
zxc58299,118
mzsky001,1000
asd8475569,2000
mzsky001,800
zzy361082168,200
mzsky001,300
mzsky001,1000
cvx521,50
cvx521,150
zxc96996,100
zxc96996,420
ldh369484,1000
twj1988,100
gpz0311,22
cvx521,50
nxhe777,100
xk198919,300
jack6672,50
lz246315,300
hfl1986,1000
qaz5566,20
mjh6666,100
vbn9879,100
qwew1699,3000
hfl1986,1000
wyy13316,100
xf7897,200
wyy13316,1000
yangmin7785,200
vfkat2hk,200
hfl1986,500
hfl1986,500
wyy13316,500
hfl1986,500
zgyfgy123,50
qxl0483,500
cxc8870,200
lx1592787,1000
twj1988,100
gpz0311,100
cvx521,50
yjs2288,20
tyhg4455,260
bvc8666,200
vcx9877,400
ghh677,200
a281990123,100
twj1988,100
bvc8666,100
xcg7996,200
cxy123,100
li850709,100
hjh8989,300
fcfcfc888,100
xin07860,1000
zc3322,20
lz246315,300
fcfcfc888,100
gpz0311,40
qwew1699,1000
gyth5544,1000
vbn9879,100
wyy13316,530
hfl1986,1000
1880aa,50
qwew1699,1000
wyy13316,266
mjh6666,100
qwew1699,1000
a281990123,100
yfk25073,200
aojun520,1000
wdl99852,1000
gpz0311,40
gpz0311,27
gpz0311,20
1880aa,50
wy0852,300
1880aa,50
li850709,100
hfl1986,1000
gyth5544,2000
dhfp9164,1340
gyth5544,1000
vbn9879,200
khg8976,200
twj1988,1000
wyy13316,889
hfl1986,500
qwew1699,1000
wyy13316,500
yangmin7785,200
gyth5544,200
dl7792,1000
lml3146,500
twj1988,100
hu199802,500
gpz0311,100
dxp147258,300
cz0381,500
li850709,100
lhy8953,500
mjh6666,100
li850709,10
jack6672,50
zy223344,300
cwt888,10000
li850709,50
yhr2398,100
gpz0311,40
wei7918,1000
gyth5544,1000
pk00112233,1000
mjh6666,100
qwew1699,2000
mrd985,100
cvx521,50
tpuy258,5000
gpz0311,40
bvc8879,200
zxc7389,200
hfl1986,800
li850709,100
gyth5544,2000
dhfp9164,2000
cmx0222,800
hfl1986,500
li850709,100
li850709,1000
gyth5544,1000
pyq5201314,50
2.45105E+12,800
bsj666,150
lgfff888,1127
2.45105E+12,630
ye759576224,10000
2545971037,500
ye759576224,5000
guo118118,200
lgfff888,3200
cao180113,200
18620856077,500
ww0399,599.95
aa888691,1499.95
aa888691,1499.95
123456l,100
15244271567,2000
123456l,100
123456l,100
yjh1998,1000
yjh1998,663
whu153,500
as12345,300
123456l,100
123456l,100
cxf1989,1000
123456l,100
fu704253747,120
123456l,100
123456l,100
ysx12345,310
a13579asd,1000
nbclass6,51
xiafeng1988,3000
356ug,500
ab20020628,1005
123456l,100
123456l,100
123456l,100
nbclass6,200
123456l,100
li112400,200
zt991009,603
vhi153,500
xx852,500
13288961790,100
wk543,500
123456l,100
123456l,100
123456l,50
longyuqi717,1000
q18169433761,500
a13579asd,3800
123456l,50
123456l,100
gjf1029,100
hjn688666,1000
123456l,100
123456l,100
lei943688,300
tyu5555,200
ll1010,30
a159263,200
ddd888999,500
sjz666,500
sjz666,660
qa10123,300
ksdf12546,261
chen888chen,100
lei943688,50
fgy999,1500
dty567490,150
oudh12uu,500
ffmm88,200
a656514853,3300
jxp420138241,1000
chen888chen,200
luoye216,50
www888555,30
u0008887,300
vip168168,3000
lei943688,100
www888555,50
www888555,30
qin1080,301
luoye216,30
www888555,30
vcx9877,1100
mao969843,363
cc201314,50
sjz666,500
sjz666,340
sjz666,1000
www888555,50
www888555,30
jxp420138241,500
qunqun987,500
jxp420138241,1645
ws157732,100
qazqaz808518,200
ws157732,200
qazqaz808518,300
zqf871208,100
aa5864562,30
zjw006,200
zjw007,200
chen1102,500
shuming1,278
zjw006,200
wl561,14
tc00666,50
qin4321,430
zyg4163,304
cenx,500
13341952398,2800
qazqaz808518,500
zjw007,200
qazqaz808518,200
qazqaz808518,200
wl561,95
tc00666,41
wl561,100
twt3616,306
dgy2595,313
0803shu,300
aa5864562,30
htls888,100
htls888,100
zl117712,1000
lt517620919,3000
lt517620919,1000
lt517620919,1000
15298784155,3243
aixue699,100
tcz369369,100
dsffgsd19,1000
xcx666,1500
gsfd2rg1,100
ww566225,400
yl3851057,1600
wyl1984,1000
726,50
726,50
dgr21554,100
yl3851057,500
zdj666,50
qw472758806,15
d503588,400
qw472758806,30
li21yi,200
cao180113,68
li21yi,300
liu592253203,300
hh022571,500
zn5201314,10
u0008887,200
qw472758806,29
liu592253203,300
qw472758806,20
hxc070912,100
asd8475569,5000
l199318,300
a123a456,100
a123a456,118
qwert12345qwert,100
wdq546879,100
mhhh3366,50
pmk643879,400
hua360733,24
1880aa,50
jzy8069,200
a635948189,2000
shuben456,100
wdq546879,200
tf56788,100
lqw66389,3000
qwert12345qwert,100
lqw66389,3000
a962338503,100
fcfcfc888,100
qwert12345qwert,350
lqw66389,1500
ty67888,100
cy5588,5000
zspy678,100
wer1485,1399
uc6063,200
mhhh3366,50
mao969843,1000
gh7667,100
cw64905,1000
tf56788,100
lqw66389,2000
xiaobai565120,200
gkkg689,20
yaoshi995,200
tf56788,100
lap97648,500
gh7667,100
ljl5205,500
wer1485,2300
tf56788,200
cwt888,10000
shuben456,200
bvg8886,200
lhy3535,100
lhy3535,200
yc00885522,1000
zly3588,20
xsr588,20
fcfcfc888,100
gff9888,200
ppxy6641,20
ty67888,200
lyt1893,500
a635948189,1864
wy8438,300
ydgg3579,100
tf56788,100
lzd46789,495
qqc6864,500
1880aa,50
qq137278,500
gh67888,200
hdm346,100
liux43796,1000
sd2233,2000
cwt888,10000
asd177,20
dj5133,100
lhy3535,100
nzk979333,200
gyth5544,200
lhy3535,100
xzg6778,100
gakv8655,20
1880aa,50
wdss378,20
cxg6744,200
1880aa,50
cwt888,10000
lqw66389,1000
cwt888,10000
mjh6666,200
qwew1699,300
li850709,1000
yqj6664,300
twj1988,1000
mhg887,200
a635948189,1000
bhjk9982,20
xcyz11,100
mao969843,1000
xulong007,100
qq137278,300
lqw66389,300
xzg6778,200
bcx7668,200
tvcx334,20
ertp880,5000
mao969843,1000
gh7667,100
mao969843,1000
lqw66389,1500
mao969843,2000
gh3455,200
yyk788,20
mgw3086,100
zzq369369,1000
16689671281,2000
gh7667,200
mjh6666,100
wer1485,1211
tth188,20
yy2787,300
gez1507,200
ye759576224,1000
