会员账号,订单金额
zzy361082168,500
zzy361082168,1000
888888aa,100
yu2013520,6000
y2308124353,400
zzy361082168,772
heqiang323,200
ai353089533,100
888888aa,100
zcq11069,3100
zcq11069,1900
heqiang323,100
ghr139,50
cjx22763,5000
ass52888,586
mf5625,100
lyr1990,50
qxl0483,500
ass52888,50
xhg12311,100
yll2002,300
lclc9123,600
aa1245,400
psby998,100
jack6672,100
yll2002,300
xhg12311,100
resignes000,1000
yll2002,490
cjx22763,2000
jack6672,50
ding1991,1000
ghr139,50
ass52888,50
aojun520,500
hua360733,100
wert777,200
yll2002,300
yll2002,800
aa409915247,50
lyr1990,50
lyr1990,200
hld667,50
xinxin25,1000
lml3146,500
ass52888,50
aswe888,200
ass52888,50
yll2002,300
cjx22763,3000
cjx22763,300
ffj55666,30
psby998,100
xinxin25,200
btb158,50
mf5625,100
qwet698,50
gft0712,600
cjx22763,3000
aa409915247,50
ass52888,50
lxh1987,700
lyr1990,100
ffj55666,30
aa409915247,50
lyr1990,50
qaz7081,20
yll2002,300
hl625368,300
luojiejie025,1200
cjx22763,2000
ll23678,150
hng123,800
cjx22763,3000
hac123,50
cjx22763,2000
cjx22763,2000
ass52888,50
cjx22763,3000
zou2525,1190
xhg12311,99
xhg12311,100
lclc9123,1000
ffj55666,20
ffj55666,50
ass52888,50
ass52888,400
lclc9123,700
xhg12311,100
cjx22763,3000
cjx22763,3000
wza002,50
wyy13316,50
ass52888,50
luocx369,194
ass52888,50
cjx22763,3000
lsj1998,450
ffj55666,20
qwet698,30
cjx22763,2000
wza002,200
aa409915247,200
wza002,50
jack6672,50
qq7691877,1000
yk283657,300
lyr1990,50
aojun520,500
lsj1998,250
zhf525214,100
ass52888,50
hac123,50
ths666,500
guo118118,200
qwe115115,500
qwe115115,300
a8754549,100
bl999,3000
amxpi1325364274,50
bl999,3000
bl999,3000
qwe115115,300
htz555,10
wfp111888,6000
ths666,760
lhr1103,200
wzl19951104,100
18620856077,1134
18620856077,999
18620856077,3040
18620856077,2000
18620856077,1000
18620856077,2216
aa888691,1999.96
adt336688,1999.96
adt336688,1999.96
aa888691,999.94
zxc68368,1799.93
yezi888,362.9
wl3166520,499.93
wl3166520,499.93
zxc68368,1799.93
kfnbdhx666,100
kfnbdhx666,100
yjl1778524,100
wq718885672,87
zhiduoxing,200
wq718885672,220
sqdnr6,50
kfnbdhx666,100
13288961790,100
kfnbdhx666,100
kfnbdhx666,100
yged88,1500
wl668668,50
kfnbdhx666,100
w244865235,6204
kfnbdhx666,100
kfnbdhx666,100
pxw147258369,100
bbb336699,600
ljy12345,50
ljy12345,50
yged88,1500
kfnbdhx666,100
as12345,118
wq718885672,218
13288961790,100
kfnbdhx666,100
8523691,500
kfnbdhx666,100
kfnbdhx666,100
bbm808,1000
kfnbdhx666,100
8523691,500
kfnbdhx666,100
lzt18897517330,100
qq104555,100
tdsufu7546,250
mf5625,200
lei943688,50
aa409915247,100
tkplt012,1000
tkplt012,483
529614y,195
azb6754,23
ppi667,50
tkplt012,1000
ycl198900,400
aaa470362070,100
huayeye1992,1200
187334,50
ycl198900,500
lei943688,59
lei943688,50
ppi667,30
ppi667,50
ppi667,30
ppi667,50
tkplt012,540
tkplt012,710
huadede99,1200
aa409915247,50
luocx369,1000
iop362421,100
tkplt012,517
187334,200
187334,50
ycl198900,532
529614y,120
mmm1580,1200
hua360733,15
ppi667,50
wxm980524,1043
ycl198900,600
tkplt012,483
187334,50
lh1919,101
lei943688,300
w102484,1000
lei943688,150
tkplt012,1117
ppi667,30
ppi667,30
qwet698,30
yu5812590,30
qwet698,50
a19919,100
rrrrrr666,1199
lrz2001,100
aa20456,1000
zk20020404,1000
zcq11069,581
happy9898,1189
wsd666666,30
zk20020404,500
wenhua196,1200
pvybb2l,12
g2mqask,505
qwet698,50
wsd666666,30
wsd666666,30
qwet698,150
wsd666666,10
ppi667,41
z21hpa5,534
qwet698,40
pvybb2l,482
pvybb2l,10
rongge1990,1200
xiaoxiong996,1200
li12341234,500
19183078989,950
19183078989,500
qwe2929326156,50
qwe2929326156,100
li12341234,300
li12341234,500
gsfd2rg1,100
wei138,1500
aixue699,100
jyg3561,497
yl3851057,4300
yl3851057,1000
wlf13076,100
tcz369369,100
yl3851057,1500
yl3851057,3000
yl3851057,1200
yl3851057,5000
jyg3561,300
qsbxw6,100
luo998,100
fujian8,100
2000107,200
2000107,200
gdx586,100
aa20456,2000
dan525,100
ghb523,100
kmkm56,100
yuan855,100
gbgb66,100
5858as,100
aa20456,4000
888888aa,100
gonghelong,100
mzsky001,500
18213296576,100
gonghelong,100
gonghelong,100
gonghelong,100
chq998,1000
mzsky001,2000
yu2013520,5000
chq998,1500
mzsky001,1000
18213296576,100
chq998,1800
gj060801,1500
zzy361082168,500
888888abc,100
gonghelong,100
gonghelong,100
gonghelong,100
gonghelong,100
mzsky001,2000
wsj496414,1045
chq998,2000
gonghelong,100
mj2358825,277
gonghelong,100
chq998,300
yu2013520,8500
ly1978,50
ly1978,200
zhang6644,100
lhpa1234,50
sg4771,130
ywqa1234,50
xhg12311,100
a281990123,10
hst7334,1500
ly1978,50
2228ff,500
2228ff,500
dl7792,1000
wo771025,27
zxc96996,211
jack6672,50
a281990123,100
qq525252,200
lhy8953,500
zb3992,100
zhang254,1300
ydgg3579,100
ffj55666,30
yy888,16
yzq98345,1300
chx1987,50
liux43796,1000
huan2323,200
cc881299a,500
qqd8569,500
jack6672,50
a281990123,40
chen5688m,500
zhang6644,100
ying4679,20
ffj55666,30
qqc6864,500
2228ff,500
jt1992,50
jxy8800,150
yyc456,200
rr969,16
tt666,16
zxcv770,200
tanxia0819,1500
lw996688,500
gh71221,100
lx1592787,1000
twj1988,1000
gmq1106,1500
jt1992,50
2228ff,500
2228ff,800
yas978,500
aojun520,300
cup987,20
gfg5678,800
xhg12311,100
ppi667,30
jack6672,50
zpl8877,150
myg2252,20
kiyoumi122,1500
2228ff,700
twj1988,3050
gakki334,1500
yas978,300
aojun520,600
2.45105E+12,550
qwe115115,500
2.45105E+12,300
guo118118,200
kk198369,29
qwe115115,200
pyq5201314,88
w147258369,1000
2.45105E+12,500
ljg281199,280
w147258369,500
2.45105E+12,513
ljg281199,280
ljg281199,280
uhg366,5000
18620856077,1470
18620856077,2425
zmjj79963,100
18620856077,685
18620856077,950
zmjj79963,100
wei1314,2177.42
qq104555,100
yi787,200
yi787,200
dwsa1,50
563201255,500
563289,500
dwsa1,150
8523691,500
hjn688666,8000
5621422,500
54896366,1030
yi787,200
yi787,200
yi787,1500
wwe565,1500
852366529,500
rr1996333,1003
37816,500
hjn688666,3000
865795,500
134526655,500
jiang13088,1010
tkplt012,483
love102484,1000
qwer445588,100
tkplt012,592
ffmm88,100
tkplt012,1017
xinye1992,1200
as3779,24
ffmm88,130
tkplt012,483
tf6896,25
dods45vv,220
qwer445588,100
daxiaye1969,200
bnm88726,50
khg8966,190
wang8416,40
tkplt012,925
xz8775,24
aa350975096,200
529614y,133
ambition11,110
wang8416,600
