会员账号,订单金额
zzy361082168,1500
heqiang323,100
mj2358825,500
heqiang323,100
heqiang323,100
yu2013520,2000
15244271567,2000
t13355127456,2020
zzy361082168,508
y2308124353,102
zzy361082168,240
wangrujing25,1265
zhf525214,100
123lhc,50
gg150,500
zzxx7788,100
qaz7081,20
zxxlove01,100
vcx8666,200
jl66877,100
yuxin299,692
yuxin299,600
meng9114047,1194
xxc7887,200
cgdd777,100
xy8888,700
asdf8906,100
cvh9878,100
123lhc,50
dbc8888,500
tangyincang25,1200
wuchen259,826
zzxx7788,100
wwe5133874,200
zzxx7788,100
qaz7081,20
cz9120,100
cxdf8876,100
ding1991,1000
cxdf8876,100
jack6672,50
cvh9878,200
wuchen259,360
meng941084,1194
huwanlong169,630
wo771025,13
huwanlong169,571
qiang951845,1193
cxdf8876,100
zhuhui1992,1458
dashi888,181
zhang1571165,1196
ldh369484,1000
cz9120,300
zxc96996,188
123lhc,50
dbc8888,600
zhuhui1992,1430
hdx7850,200
123lhc,50
dong9404085,1192
awm001024,1253
123lhc,50
sjsb5655,235
yuxin299,635
vvg97786,200
cxdf8876,200
cz9120,100
yuxin299,322
asdf8906,100
yuxin299,735
cgdd777,200
ren9461564,1195
123lhc,300
kf200111,1200
cxdf8876,100
zzxx7788,200
awm001024,1300
zhuhui1992,1434
dashi888,110
zxc96996,255
wan916454,1192
xxq5612,160
domg945109,1196
q3041677471,30
zx2354710562,2000
kk198369,50
lmx422801,88
2.45105E+12,800
kk198369,50
zx2354710562,4000
qwe115115,1000
qwe115115,500
qwe115115,1000
qwe115115,200
wang372325,200
a12312323,1000
2.45105E+12,359
lhr1103,106
fg45588,325
zx2354710562,3000
zx2354710562,1500
18620856077,500
18620856077,2000
18620856077,1500
18620856077,1989
adt336688,2999.98
dwj6868,50
surh358467,300
byt578,500
euk3297912,300
123456l,93
wq718885672,350
u07443518,200
dwsa1,200
lutalu51920,100
cyjzq08499,300
123456l,100
lxyfafafa7,2362
zcfwr81579,300
zqtj10338,300
lutalu51920,100
uq0364961,300
nylxk772,200
bbm808,1000
hjnd3527,300
q2368844057,200
fbx99943,300
wq718885672,300
zyb6789,2000
wuwen22,301
abc3388,100
zyb6789,2000
lei943688,200
qqj2580,240
zyb6789,1000
tkplt012,579
tkplt012,483
iop362421,200
wuwen22,300
wuwen22,300
jun789789,1000
tkplt012,998
hu2584,100
jun789789,1000
zyb6789,2000
iop362421,100
kissu7445,500
aaaaaa3456,20
wuwen22,300
jun789789,1000
ksdf12546,255
lei943688,63
d313815,200
cxv5456456,1895
wuwen22,300
888888abc,200
tkplt012,438
zyb6789,1000
hu2584,100
xb464646,234
shuming1,300
qazqaz808518,200
qazqaz808518,200
qazqaz808518,200
aaaaa1985,788
resignes000,1000
qazqaz808518,200
pi313946,505
eid2i4i,773
15298784155,1500
li12341234,212
19183078989,596
cz19981125,200
19183078989,680
19183078989,589
wei138,1500
2000107,200
mmm908,18
yw18095137562,50
2000107,200
2000107,200
2000107,200
thh131131,110
2000107,200
a1886932,50
yw18095137562,60
thh131131,54
a1886932,100
thh131131,100
2000107,200
o0008885,300
2000107,200
2000107,200
y2308124353,2008
lys777,2000
chq998,1700
yu2013520,3500
mzsky001,300
18213296576,100
y2308124353,500
y2308124353,1673
y2308124353,100
kcn4024,801
moi4423411,675
zhang254,1300
aojun520,500
wang9912244,928
a281990123,109
lml3146,500
kiyoumi122,1500
gyk33696,200
fcv588,20
cz9120,100
kinn5959,200
resignes000,1000
cz9120,44
aa190528,20
qqd8569,500
hl625368,500
kcn4024,800
