会员账号,订单金额
t13355127456,2000
15244271567,2000
mj2358825,500
heqiang323,143
zzy361082168,2000
zhengyu123,1000
heqiang323,106
zzy361082168,1500
s208139,5000
888888abc,100
gj060801,2000
lijie199008,500
888888abc,100
zzy361082168,399
yu2013520,9000
quanzhimin,1500
yula1212,180
cz9120,100
yzq98345,1300
cvbc8877,100
a281990123,500
dbc8888,1100
chen17444586,1199
hui445566,3000
lx1592787,1000
gft0712,600
zhouzuo99,200
plmokn450,100
hy4146,200
lyr1990,100
zmjj79963,100
b72567,284
a110396,1000
xin07860,1000
zxc96996,200
2.45105E+12,300
17205269312,3000
lhy3535,50
mlw1781885,300
2.45105E+12,350
17205269312,1000
17205269312,1500
2.45105E+12,100
18279188105,200
gg741663424,350
17205269312,3000
qwe115115,200
18620856077,1600
18620856077,1000
18620856077,4000
fafqfq13,199.96
m99874,1000
zt991009,209
wq718885672,300
a8587437,400
bf258762,1002
13288961790,100
gt698874,1000
qd344884,1002
wq718885672,372
luo0712,50
g5577629,203
543675322,1000
jugfy2256,200
wuuvu2274,201
ge865216,201
bcheng,200
nml06254,202
aaa658,100
q121212,100
ko687745,1000
s4318721,202
23415512,1000
c322104,1000
f789551,1000
luo0712,50
ih22741704,203
wq718885672,380
ozl470625,201
wq718885672,332
125451235,1000
s11305021,203
ruei911,3000
15182215258,500
15182215258,500
13587896541,1002
luo0712,50
m5589411,1000
luo0712,50
b646600,1000
wq718885672,200
u369987,1000
ozlxf9981,202
lm456400,1000
2234516,1000
w8742312,1002
13288961790,100
d257039757,202
zyx36524,205
wut3900386,206
adc6666121,203
bv574563,1005
k8752735,214
qw756225,1003
fw520,500
bn6540011,1002
luo0712,100
jutfe5526,206
feng88,500
ruei911,4000
ykk123455,100
amd887166,205
a13579asd,500
hjn688666,303
yged88,1000
kwj4029137,210
k4478468,205
ecooo59765,201
byt578,110
g18252206170,10
g18252206170,100
g18252206170,50
ll201314,100
iop362421,200
a123378,241
tkplt012,617
wang8416,1200
iop362421,200
wang8416,100
ywg130,100
hebaoxiang,1000
zcx6116,300
jql123456,100
g18252206170,50
hebaoxiang,200
9109xr29,1000
g18252206170,20
lh1919,101
lei943688,100
g18252206170,100
g18252206170,100
hua360733,15
g18252206170,10
a123378,400
g18252206170,80
wang8416,900
lei943688,300
hebaoxiang,1900
zcx6116,200
a123378,200
cc201314,100
lei943688,66
wang8416,1500
a123378,300
wang8416,440
zcx6116,100
fbb0511,23
wang8416,1000
tkplt012,483
g18252206170,10
cenx,500
qazqaz808518,200
wsd666666,30
zcq11069,1900
qazqaz808518,200
shuming1,400
mxj388238,150
wsd666666,30
qazqaz808518,120
jeo100,50
pi313946,75
aaaaa1985,866
wsd666666,30
qazqaz808518,200
qazqaz808518,200
chen1102,1000
aaaaa1985,90
pi313946,573
wl561,13
aa5864562,30
aa5864562,30
qazqaz808518,300
chen1102,522
aaaaa1985,888
yu034830,300
mxj388238,200
qazqaz808518,300
zhangruilishigou,1000
wyd1209,321
wyd1209,460
wenuan21,975
wyd1209,540
wyd1209,200
li12341234,500
linxi666,3000
li12341234,1005
wyd1209,480
nn2438353,500
wqs66411,1000
ding1991,1000
lxx35972,100
wlf13076,100
2000107,500
2000107,500
liu592253203,500
wk2000,20
2000107,500
2000107,500
li21yi,100
2000107,500
lsx6666,30
2000107,500
2000107,500
xiaozhi887,100
yw18095137562,64
2000107,500
2000107,500
2000107,500
lzh2023,100
2000107,1000
lzh2023,100
2000107,500
2000107,500
lsx6666,20
2000107,1000
2000107,500
1638364716,300
2000107,500
2000107,500
2000107,500
2000107,500
lzh2023,50
li21yi,200
heqiang323,125
gj060801,2000
heqiang323,100
s208139,1200
s208139,1125
s208139,1500
mzsky001,1000
18176936904,3000
gj060801,3000
heqiang323,200
584521,100
gj060801,1500
gj060801,1250
mzsky001,2000
mzsky001,2000
yeye123,100
aojun520,500
d313815,200
wwe5133874,500
ldh369484,1000
quanzhimin,1000
lsx6666,20
xp5663,100
wen263842,300
handuo517,100
fh003152,300
wyy13316,100
cl8882777,2000
tyhg4455,3000
aojun520,500
lfx99040,1300
jack6672,50
feng0123,100
chen5688m,500
tyhg4455,5000
fen8989,417
fh003152,300
handuo517,100
sz88899,200
xj3685,500
oy69542,1000
wei7918,1000
zmjj79963,100
cnsm4444,235
dashi888,800
wwe5133874,500
fh003152,1002
lml3146,500
jnhahm2n,200
wz19810106,1000
sz88899,200
lzz9907,300
lsx6666,10
aojun520,249
bvx2478,100
qq7691877,1000
handuo517,100
handuo517,100
xiaowen1122,500
jnhahm2n,200
wkz8828,100
cl8882777,2000
123lhc,50
hhhh002141,100
ys362683,300
dl7792,1000
2228ff,800
hlq25871,100
fen8989,970
zhang254,1300
liux43796,1000
tyhg4455,3000
handuo517,100
wen263842,100
123lhc,50
2.45105E+12,1000
2.45105E+12,1000
a12312323,1000
pyq5201314,200
2.45105E+12,500
2.45105E+12,1000
x940414,2800
x940414,2000
17205269312,1000
x940414,2200
17205269312,1000
pyq5201314,100
18620856077,950
18620856077,1395
18620856077,1650
18620856077,1600
18620856077,1900
18620856077,2000
18620856077,1000
18620856077,1000
q18898,199.98
q18898,199.97
q18898,199.95
q18898,199.98
q18898,199.98
q18898,199.98
q18898,199.98
q18898,199.98
qbana8735,300
rcon010465,300
wxl890912,1000
caijinzu,50
a551059404,202
lln010918,1185
mx3259100,300
bz343325,300
h22762715,150
ittf36886,145
13998264257,1220
luo0712,50
oookkk3666,500
fengcheng1,526
b281433720,300
nwz514323,300
