会员账号,订单金额
zzy361082168,700
l199318,215
zzy361082168,500
zzy361082168,806
zzy361082168,2000
y2308124353,1400
sfsdf6612,1200
qqj2580,100
sfsdfsd65465,50
qqj2580,198.5
dsgsdg65465,1200
sdfsdf546584,1200
asfasd564,562
wo771025,30
wei308082,300
dsadf786564,1200
dsanjnlj04556123,1200
awdsdf651651,1200
gyk33696,200
kxks887,379
gdfgbv656541,1200
wy72015345429,1150
asdasd65465,1200
dsfsdf6565,1200
dfgdf561,1200
asfsdfs5465,300
zhen1987,1000
1750437683w,275
gm1313,170
sdfsdf65465,1200
dsaf742231,1200
dsfs656,1200
sdfsdf153,1200
sfsdfsd65465,1200
dsgdsfg56531,1200
dgdg651653,1200
wed5858,126
dbc8888,600
sdfs62632,679
dashi888,135
dsfsdf6526531,1200
sdfsdf86468,1200
sxdsb996,235
dssd6565,774
fsdfsd6516541,555
dsaf742231,1200
asdasd6546,1200
dssd6565,425
sdgsdg6541651,54
feifafa1,100
dsfsd651,548
jack6672,50
asdasd541,1200
asfsdfs5465,902
quanzhimin,1500
lrz2001,50
sdfsdf654,1200
mao969843,500
qq7691877,1000
fsdf65521654,1200
sdgsdfg654654,1200
sdfsdf6515,1200
wed5858,1075
dsfsdf56465,1200
fhfghj123,760
ww282828,100
dtgdfgf65465,39
qq7691877,1000
sdf3252135,658
dtfg569,1200
ww282828,200
xcgvxd321561,751
gg598549,1200
wei308082,332
sfsdf65351,1200
dfg65565,1200
dsfsd651,600
sadas321,702
1750437683w,100
safsdf6521,1200
sadas321,500
xxll8883,460
aojun520,1000
resignes000,1000
sdfsdfg5153,1200
wo771025,30
asdfsdf564,1200
sdfs62632,500
fsdfsd6516541,630
fhfghj123,423
zj0412,300
lkk123,230
asdasd5465,1200
qqkww123,1200
sdf3252135,542
xcgvxd321561,230
xcgvxd321561,200
dtgdfgf65465,235
wo771025,30
dfgdfg56165,1200
zd7892,200
aojun520,888
zxc96996,308
wei308082,1000
asfsdf35,1200
qq1122334,50
sdfsdf5312,1200
dsfds015647,1200
mzg123456,1000
dtgdfgf65465,910
asfasd564,640
sadasd521654,1200
lki676544,1200
sdgsdg6541651,598
sdgsdg6541651,84
sdgsdg6541651,450
cj690310,1300
a281990123,100
lkk123,100
asdfdssa942311,1200
dsgdfg6541,1200
dsfgsdf654465,1200
asdasd651536,1091
gda78520,308
xkks9988,1200
safsdf6521,100
sdfsdf8545,1200
ihs099,50
pyq5201314,74
sl122930,28
qwe115115,946
lkx525,100
