会员账号,订单金额
yu2013520,2020
ccc668668,2500
zcq11069,2000
y2308124353,102
mj2358825,500
zxc96996,200
klsao188,241
qq7691877,1000
wei308082,1000
1750437683w,57
wei308082,300
1750437683w,87
hhhh002141,140
xiaowen1122,500
wei308082,1000
zxc96996,122
wei308082,1000
wo771025,32
lucky688,200
lucky688,200
wo771025,47
dbc8888,900
aojun520,1424
tyl007,500
lucky688,200
lf82365400,60
13926115583,100
wo771025,30
wyz190304,24
cz9120,153
wyz190304,100
llt168,200
zxc96996,200
wei308082,700
13926115583,50
lml3146,500
qwe56789,500
895623,100
lgfff888,5000
lgfff888,2000
qwe115115,300
895623,50
895623,50
w147258369,600
895623,50
adt336688,3000
lgfff888,3000
yyy9801,3200
2.45105E+12,400
w147258369,824
2.45105E+12,300
djj147258,1004.15
bbm808,1000
yangkk,3200
amspu122,400
mai1888999,100
a2846697384,100
zt991009,400
ohoh0707,230
15170395004,231
dwsa1,160
as12345,290
mai1888999,100
bb664036,80
qq676163,100
hyxt133,101
y18898555361,1300
15188055835,500
mai1888999,500
zt991009,530
dwsa1,172
dwsa1,150
hui123455,100
lei943688,100
nyzz888,100
q15687898532,100
tkplt012,2000
lei943688,100
lei943688,100
lei943688,100
q15687898532,100
fang68145,1400
ffmm88,200
q15687898532,67
q15687898532,100
lijin2002,30
g18252206170,100
qq188055,300
kissu7445,1300
nyzz888,200
cc201314,100
cc201314,100
pzz888,20
zqf871208,300
yu5812590,27
18260168929,10
zkl199937,500
l208215,15
qazqaz808518,200
zkl199937,500
liu13140,50
zqf871208,200
chen5688m,500
li12341234,1500
li12341234,1400
q541438390,381
wwu103696605,50
wyd1209,250
xiafeng1988,2974
li12341234,1500
li12341234,500
wyd1209,321
htt821233,200
yl3851057,800
lijian089,1600
yl3851057,1400
lijian089,300
lijian089,1500
lc83868255,100
z0918,200
shenren00,46
xiaozhi887,10
li21yi,200
a963362,100
t13355127456,2050
zhengyu123,1000
l199318,200
wsj496414,1000
l199318,200
wsj496414,2000
l199318,200
l199318,100
l199318,200
jack6672,100
fedu65563,1000
aojun520,500
hhhh002141,150
lan3986,20
xdx19911011,100
li3777,500
twz678,100
hhhh002141,110
97feng97,450
1750437683w,87
zxc96996,200
xb79153,1000
li3777,900
zzy2000,100
xiaodu2023,100
zzy2000,100
khgxv580,100
li3777,900
yjh223858,300
31r231,1000
xiaodu2023,100
66t7zc,1000
hj52176,1000
hy6949,1000
zc558689,500
zzy2000,200
djdhdj789,100
xiaodu2023,100
bei156651,2600
hhhh002141,100
lv258147,1000
li3777,900
khgxv580,50
aojun520,480
dl7792,1000
xiaodu2023,100
ehga4356,1000
bei156651,900
bei156651,900
xiaodu2023,100
q18169433761,870
lgfff888,2350
2.45105E+12,679
2.45105E+12,95
18620856077,2000
wenuan21,171
18620856077,1400
x2557033,100
18620856077,2000
x2557033,62
18620856077,1000
18620856077,646
dwsa1,132
ljxy99,164
hong58,100
a8587437,70
byt578,351
18362262221,500
ljxy99,63
ljxy99,100
mahua948,228
a2846697384,50
q2368844057,100
y18898555361,1000
1775535,3000
wgx448753,615
ycl198900,1889
