会员账号,订单金额
zzy361082168,500
fff334334,2500
gj060801,1500
zzy361082168,5084
45127l,100
ww282828,200
zxc96996,198
xiaoyue777,10000
dfggj6652,1005
45127l,100
lu89110123,1000
ass52888,50
feifafa1,99
45127l,300
ww282828,200
45127l,100
dbc8888,400
aojun520,700
lf82365400,700
45127l,100
dfggj6652,200
asddgdfg656,1200
45127l,100
dbc8888,600
hai526888,300
ass52888,50
45127l,100
qq188055,200
dashi888,143
qwe56789,200
45127l,100
45127l,100
45127l,100
bch20050322,79
45127l,100
45127l,100
45127l,100
zxc96996,202
dbc8888,500
45127l,100
zhang6644,100
45127l,100
45127l,100
bch20050322,50
zhf525214,100
zxc96996,207
45127l,100
ass52888,50
qq188055,200
bch20050322,50
bug1718,100
wuye1683,100
bug1718,170
dashi888,165
895623,50
yyy9801,1000
asx397,26
xderg97,26
895623,50
adt336688,3413
sasd664,26
ffa66,26
kk198369,50
698xax,26
17314792354,500
w147258369,600
xza997,26
qwe115115,500
ggr669,26
w147258369,2000
qwe115115,500
895623,50
895623,50
17314792354,600
saas547,26
17314792354,500
sxxa6541,26
18620856077,1000
18620856077,500
18620856077,900
18620856077,500
18620856077,567
15182215258,400
fhj6678,500
2000107,200
gg12,50
15170395004,50
hong58,82
genti520,926
w115527,1000
lllfff66,100
2000107,400
2000107,200
15151631156,191
ljxy99,495
ljxy99,544
gg12,100
17608766716,100
gg12,100
yangkk,2500
2000107,200
2000107,400
2000107,200
15182215258,200
15182215258,500
hq8023,300
gg12,100
137xiao,100
dwsa1,53
lcg6188,50
dhnvmry,20
lcg6188,100
dsfwxcv7,20
lcg6188,50
kugfdbv1,20
lcg6188,50
zyb6789,1000
tkplt012,568
xiang96814,100
xiang96814,100
czxca154949,1200
jwh9741,150
huwjeyfl,20
lsg850723,3719
w960952670,300
zyb6789,3100
iop362421,500
zyb6789,2000
dhgferw4,20
lei943688,100
zyb6789,2800
whx999,4000
zyb6789,2000
g18252206170,100
lcg6188,50
a1347787507,483
lei943688,100
xiang96814,100
nyzz888,100
ycl198900,2989
zyb6789,1020
wgx448753,107
aa200212,100
bjdmyuql,20
whx999,1800
linlin123,2000
aa4093,10
aa5864562,30
q1766711522,93
zqf871208,50
qazqaz808518,180
z3d41f5k,300
19183078989,1000
wyd1209,280
19183078989,1863
cz19981125,1091
19183078989,500
19183078989,1000
cz19981125,1500
19183078989,2000
wyd1209,419
yl3851057,1400
yl3851057,1700
htt821233,200
yl3851057,1300
yl3851057,1000
htt821233,300
chg135636,400
1638364716,300
sxd5614110,50
yxaini8888,100
siyu99,369
xiaozhi887,100
yxaini8888,100
sxd5614110,60
yxaini8888,300
sxd5614110,100
chg135636,200
1638364716,300
qyqy1888,5000
yxaini8888,200
li21yi,200
cao180113,76
tang0051,70
yxaini8888,100
kpwq201547,50
yxaini8888,100
15244271567,100
wu1661,100
chq998,1500
yu2013520,5000
wu1661,200
wu1661,100
zzy361082168,500
15244271567,9980
wu1661,107
wu1661,100
cz9120,91
wo771025,10
tasd123,200
jack6672,50
lz960910,100
tasd123,2000
tasd123,400
lh1919,101
1750437683w,89
1750437683w,189
ww282828,102
zxc96996,200
ysd556,400
1750437683w,51
tasd123,300
cz9120,300
lu89110123,800
bch20050322,50
lz960910,100
ww282828,200
mae615,1000
qwe56789,100
tasd123,700
jack6672,50
lz960910,100
66t7zc,1000
lu89110123,1000
lu89110123,1000
pzpz1111,240
zxc96996,192
lz960910,100
zxc96996,140
1750437683w,88
qq188055,200
resignes000,1000
yuum,300
lu89110123,1000
lu89110123,1000
bch20050322,300
lml3146,500
lxy6968,280
tasd123,400
lz960910,100
tasd123,1000
tasd123,600
tasd123,400
qq188055,199
wds1980,300
lu89110123,700
lhy8953,500
mm20051215,70
xas994,26
xasa58,26
vfrt66,26
qq720621,100
qwe115115,500
guuy99,26
895623,50
9944xas,26
plb664,26
qwe331,26
kgrf661,26
ye759576224,162
gyty664,12
895623,50
vsf447,26
qwe331,10
qwe332,26
qxaz664,26
gyty664,26
xawx660,26
awsx994,26
ndrs66,26
qwe115115,500
qwe115115,400
lhr1103,260
dgjy66,26
ade339,26
qq720621,100
895623,50
qwe115115,1009
jkugh66,26
lgfff888,8500
jkugh66,10
gdd331,26
895623,50
fu1234567,45
asx641,26
lgfff888,5000
x2557033,50
x2557033,100
x2557033,50
18620856077,550
sjdb123456,199.95
fhj6678,500
ljxy99,243
wlh532,500
ljxy99,308
sg5632,200
yangkk,2000
ljxy99,118
hm1234,100
ljxy99,381
qq1344,500
ljxy99,141
a13579asd,482
genti520,440
ljxy99,359
fwfw21,50
feng1988432,1000
15182215258,300
xl666,500
ljxy99,110
ljxy99,115
wgg586,500
lei943688,100
ycl198900,1246
tte4455,300
cc201314,50
g18252206170,20
mae615,500
dgzr8421,200
lu89110123,1000
aa200212,100
mnbv661,50
ccw9944,100
lu89110123,1000
lei943688,60
lei943688,100
zmjj79963,100
lei943688,100
g18252206170,10
mae615,500
w1259051837,100
mnbv661,50
njh58796,100
mae615,500
qwe5639,300
hgwl456,245
hebaoxiang,230
mnbv661,50
mnbv661,48
tkplt012,390
aa200212,100
lu89110123,1000
mnbv661,50
lei943688,200
c4x6j5k1,300
asd16098,38
asd16098,100
hqq8851,120
a16llt11,300
shuming1,100
ws157732,200
aaaaa1985,866
qazqaz808518,180
qazqaz808518,180
ws157732,30
hds55sks,300
asd16098,50
ma77778888,500
wfwwe542,299
pi313946,539
yu5812590,30
yu5812590,30
zqf871208,100
pzz888,30
pi313946,30
hqq8851,185
qqd8569,500
chen5688m,500
097dzjw1982,900
cc881299a,500
shen112255,300
zc558689,500
xiafeng1988,4000
19183078989,700
gsfd2rg1,100
zzxx1133,200
lijian089,1400
tcz369369,100
ding1991,1200
t364970593,50
dgr21554,100
jyg3561,311
lxx35972,100
yl3851057,500
hdgu5548,100
aixue699,100
wlf13076,100
yl3851057,1200
wk2000,20
yxaini8888,30
wk2000,20
wk2000,50
zn5201314,100
a10916866,300
siyu99,108
e0008888,200
tang0051,300
yxaini8888,70
wk2000,10
chq998,100
yu2013520,5000
gj060801,2000
mzsky001,1300
chq998,1000
jiangccc,200
