会员账号,订单金额
gonghelong,100
gonghelong,100
gonghelong,100
zzy361082168,500
hui881103,6500
gonghelong,100
zzy361082168,1680
gonghelong,100
zzy361082168,537
gonghelong,100
gonghelong,100
zcq11069,1000
zzy361082168,500
gonghelong,100
gonghelong,100
gonghelong,100
gg741663424,158
ygw11888,158
lilili197277,300
ww282828,160
wyz190304,400
zhen1987,2000
ywh1018,40
ywh1018,50
sym2005527,102
sym2005527,100
ww282828,200
45127l,100
liu101213,600
ww282828,100
ww282828,22
sym2005527,100
ww282828,200
ww282828,160
45127l,200
akun5659,235
sym2005527,100
huiy9991,30
wo771025,18
ywh1018,70
wo771025,12
13926115583,100
ywh1018,30
mmkix530,1000
hd3932,200
sym2005527,100
45127l,100
sym2005527,100
optyu1478,237
45127l,400
wyz190304,200
45127l,200
wo771025,12
dbc8888,400
sym2005527,100
wo771025,16
45127l,200
sym2005527,100
45127l,200
45127l,200
x940414,200
895623,50
zxcv4312,500
ttyu233189,26
w147258369,584
yyy9801,1234
qqw663123,26
ddfrt30098,26
hg8868,100
aaaqqq88890,26
kk198369,50
aasd998765,26
895623,50
ccvv669908,26
zxcv4312,200
ertt115567,26
zxcv4312,100
ssd777,500
gzc130130,100
rewqq19987,26
zxcv4312,100
rrtt112213,26
ssd777,700
2.45105E+12,430
ssd777,1000
x940414,200
aas15332q,26
xc421564121,26
xxx1q2117,26
aas889332,26
895623,50
aasw333321,26
895623,50
qwe115115,400
vds1241332,10
qqssda6654,10
ertt115567,10
895623,50
adt336688,3000
ssd777,6020
wang372325,900
2.45105E+12,100
zxcv4312,200
ddfrt30098,10
glh12345,30
xxz156s112,26
cxq4561223,26
vdsv2115,26
vds1241332,26
ffdd440098,26
ssd777,600
ttyu112667,26
fff113098,26
wang372325,500
aaqq334458,26
erty34321,26
qqssda6654,26
nnmm15567,26
wwdd116654,26
qasd32213,26
zxc1121234,26
zxcv4312,100
fgh1129087,26
zxcv4312,100
wer1111123,26
18620856077,392
aa66578,100
lgs12345lgs,100
xiaoquansu6,500
a13579asd,200
zt991009,502
feng1988432,415
yangkk,1000
17608766716,400
whc2001,100
17796471995,300
zt991009,500
byt578,200
2000107,500
17796471995,100
2000107,500
yangkk,6000
xiaoquansu6,500
feng1988432,1000
qsy56,500
zt991009,500
whc2001,500
xiafeng1988,300
zyt3344,300
2000107,500
mlb6666,300
137xiao,100
sde69,500
137xiao,100
zt991009,1000
qws45,500
137xiao,80
13288961790,50
2000107,500
lei943688,100
lei943688,50
lei943688,100
ysh1990,50
nyzz888,100
xulong007,60
nyzz888,100
qwecqw25580,1768
ab2283735342,310
g18252206170,10
lei943688,100
qwe5639,300
ycl198900,598
lei943688,100
wyz190304,15
lh1919,101
nyzz888,200
ffmm88,714
km808088,100
lei943688,100
ycl198900,824
lei943688,100
nyzz888,100
qwecqw25580,2000
g18252206170,10
hyd771368468,30
lei943688,50
chen082611,88
iop362421,500
km808088,100
dfg590,19
whx999,400
15803586953,100
qw334422,244
zxc8381,100
resignes000,1000
z3d41f5k,300
dfg590,30
qw334422,300
qw334422,400
qw334422,345
qw334422,250
wfwwe542,400
resignes000,801
qw334422,400
qw334422,560
qw334422,400
qw334422,350
tttt123456,20
xiafeng1988,2341
niedi123456,602
wyd1209,467
mo1104536217,200
t364970593,50
lc83868255,2500
yl3851057,800
xyl971020,300
yl3851057,705
sxd5614110,60
zdj666,50
sxd5614110,50
lijie199008,100
gonghelong,100
gonghelong,100
gonghelong,100
mzsky001,2700
gonghelong,100
chq998,2500
mzsky001,500
mzsky001,1800
gonghelong,100
lijie199008,200
gonghelong,100
gonghelong,100
gonghelong,100
gonghelong,100
mzsky001,2000
gonghelong,200
kevin0878,165
xieshuang88,300
xiafeng1988,246
mm198541,50
pzpz1111,180
cz9120,100
liuxian118,100
