会员账号,订单金额
18176936904,1540
zhengyu123,1000
zzy361082168,500
mosala123,358
13341952398,1990
13341952398,3200
pg878787,143
bbb321bbb,28
bbb321bbb,358
ljt134143,100
xieshuang88,1599
a1392854316a,400
mzsky001,1600
dashi888,517
jack6672,50
tl050722,100
yangxiao7166,200
yanyue0701,100
a110396,5556
a281990123,10
xulong007,100
tl050722,100
qq1122334,50
Jan-55,200
dbc8888,600
a110396,3805
tl050722,100
bai12345,50
a281990123,20
dashi888,350
tl050722,100
a1392854316a,300
zhf525214,100
tl050722,100
tl050722,100
tl050722,100
mzsky001,1800
66t7zc,1000
tl050722,100
dashi888,220
dashi888,380
tl050722,100
yanyue0701,100
a110396,4036
jdbnc55k,180
mzsky001,1500
tl050722,100
wzh610221,2000
895623,10
chen131104,200
chen131104,500
wzh610221,400
lgfff888,9998
qwe115115,200
mosala123,85
wzh610221,1000
895623,10
lgfff888,3800
lgfff888,1400
15241130618,270
2.45105E+12,1700
2.45105E+12,1009
qwe115115,200
2.45105E+12,102
lgfff888,3200
895623,10
895623,10
895623,50
18620856077,1080
18620856077,3000
18620856077,1969
18620856077,1000
18620856077,1007
wf1360172,598.94
shunaa99,1499.95
xyj0002,123.98
xin451677,641.68
wf1360172,587.98
lutalu51920,100
17688034449,2040
wujinlong521,279
dingle123,500
17688034449,204
a110396,493
a8587437,1000
dwsa1,500
lu312312,50
a135608,300
lu312312,50
dwsa1,312
hyxt133,50
15803586953,100
dg762148,50
15803586953,50
cv6867,200
tkplt012,498
dshjdjh25,235
zzb585033,50
zcx6116,300
dgzr8421,150
tkplt012,690
kele12345,500
tkplt012,483
kele12345,600
tkplt012,600
qiuzong,1200
tkplt012,1000
kdh5842,100
tte4455,300
tkplt012,417
tkplt012,1600
iop362421,200
tkplt012,502
kele12345,900
tkplt012,998
tkplt012,402
qqj2580,264
dg762148,50
qq669911,240
lh1919,130
qq669911,350
fgh678,15
17683006250,50
ffmm88,164
helin666,100
zcq11069,128
zhengmj097,150
zhangruilishigou,200
wcf125127,6478
mo1104536217,100
zk20020404,1000
mo1104536217,200
zhangruilishigou,500
mo1104536217,200
jili3344,850
li12341234,1500
zhangruilishigou,100
mysjz1,3049
wcf125127,10000
wcf125127,8596
zhangruilishigou,1000
mo1104536217,50
zhangruilishigou,1000
mo1104536217,200
mo1104536217,200
zk20020404,1000
mo1104536217,50
mo1104536217,200
zk20020404,100
mo1104536217,500
zhangruilishigou,500
zk20020404,200
li12341234,1536
mo1104536217,200
mo1104536217,200
mo1104536217,100
mo1104536217,200
wcf125127,10000
zhangruilishigou,1000
wcf125127,10000
wcf125127,10000
wcf125127,9001
wcf125127,6233
liao804705,500
t364970593,49
lc83868255,1100
zpp7890,50
xiaozhi887,100
kkjj11222,50
li21yi,200
oppoa599,10
xiaozhi887,52
q2872183642,200
kkjj11222,100
cao180113,464
li21yi,200
zpp7890,50
kkjj11222,100
kkjj11222,50
kkjj11222,50
zpp7890,60
zn5201314,100
kpwq201547,50
kkjj11222,100
kkjj11222,100
q2872183642,120
kkjj11222,50
ccc092521,300
zcq11069,1200
q7467323,600
ljt134143,300
q7467323,500
13341952398,1086
13341952398,2000
q7467323,500
qq97599,209
343sj343,1000
bai12345,50
yanyue0701,100
w1l1q1521,50
31r231,1000
w1l1q1521,100
kx9771,100
qin999,500
tl050722,100
tl050722,100
cmx0222,900
lml3146,500
cl199595,100
ljh199151,100
cyr04200,200
jack6672,100
w1l1q1521,107
yanyue0701,100
w1l1q1521,50
w1l1q1521,50
cz9120,300
liuqing318,760
yanyue0701,100
yanyue0701,100
w1l1q1521,92
dashi888,100
qq661773,1800
zjf220705,1000
aojun520,1000
zhnzhn991,200
aa808588,200
yll2002,506
tl050722,100
aojun520,800
chen5688m,500
ffj55666,32
w1l1q1521,50
jack6672,50
tl050722,100
liuqing318,784
qqd8569,500
tl050722,100
mzsky001,2000
w1l1q1521,120
mzsky001,600
l335308630,500
iop236,102
lhy8953,500
w1l1q1521,50
jack6672,50
wei991,78
yanyue0701,100
aojun520,400
tl050722,100
bai12345,50
w1l1q1521,50
tl050722,100
aojun520,1000
w4mpeu8m,200
hlg0303,100
yanyue0701,100
awm001024,3000
qq661773,1500
bai12345,50
bai12345,50
bai12345,300
yanyue0701,100
w1l1q1521,50
w1l1q1521,80
w1l1q1521,100
dbc8888,700
cc881299a,500
895623,50
895623,10
tao1314520,100
2.45105E+12,800
895623,50
895623,50
lgfff888,321
qwe115115,500
qwe115115,500
895623,10
895623,50
895623,50
15241130618,1000
adt336688,1000
mzsky001,560
pyq5201314,100
895623,50
895623,10
lhr1103,108
18620856077,1140
18620856077,998
18620856077,1000
18620856077,1000
www8989123,1499.99
zpp7890,255.49
weng1122,561.95
www8989123,1499.97
wf1360172,999.99
wf1360172,1199.96
dwsa1,200
lf82365400,300
dwsa1,200
whr666,150
15509335209,700
a2846697384,100
857210,300
a110396,3000
wujinlong521,500
a110396,3000
a135608,100
a135608,300
