会员账号,订单金额
liushu,200
zzy361082168,200
wu1661,100
zcq11069,1000
mj2358825,182
liushu,100
liushu,100
liushu,100
mlb6666,48
mlb6666,100
qq595195852,28
mlb6666,168
zhanghui,200
qq595195852,38
lilili197277,500
mlb6666,50
a14750022744,100
mlb6666,100
a14750022744,159
mlb6666,100
q7467323,500
mlb6666,50
xc45628,600
mzsky001,2000
lw1520,500
gby282,150
tianmei112,500
vt2638,300
aojun520,300
lkk123,100
zhen1987,2000
qq1122334,100
gby282,170
vt2638,500
wyx112233,1396
aojun520,500
bch123456,300
826827abc,1000
mzsky001,1200
mzsky001,1000
aojun520,500
aojun520,500
qaz7081,30
mt5862,500
mt2513,500
xiong521,89
wser3556,500
mao969843,1000
qq669911,100
xiao333,100
zhiyu921,100
zong115599,800
pio6220,10
qaz7081,10
zhf525214,100
qwe115115,1000
wzh610221,1000
lgfff888,300
adt336688,1500
pyq5201314,100
guo118118,200
qwe115115,500
gg741663424,1300
2.45105E+12,500
qwe115115,500
adt336688,1500
guo118118,250
adt336688,1500
gg741663424,612
qwe115115,1000
pyq5201314,40
qwe115115,500
18620856077,1026
18620856077,750
18620856077,765
tang6670,139.99
18075739112,100
wujinlong521,1000
byt578,301
byt578,100
dwsa1,200
wq718885672,369
czr123456,300
dwsa1,500
13288961790,200
271348,300
zk6978171,500
271348,500
byt578,501
dwsa1,300
21503,500
wq718885672,380
lutalu51920,100
jie123,100
a2846697384,70
m09420,200
zt991009,1000
18627944759,50
z1575607,100
a82365400,500
wq718885672,520
dwsa1,400
dwsa1,100
18075739112,100
lf82365400,1500
19165174315,50
hww178,1000
18075739112,100
271348,100
271348,100
qwert12345qwert,300
zyb6789,2000
zyb6789,1000
lei943688,50
yzh7788,100
lei943688,226
pop2369,100
zyb6789,2000
qiuzong,410
iop362421,200
yqx1988,1000
dy500235,30
zyb6789,2000
13017096521,100
wahaha888,200
lei943688,100
lcq1987,900
lcq1987,1300
wyz190304,15
yaping266,100
lei943688,100
hzh5288888,500
dy500235,40
15803586953,50
hgwl456,220
iop362421,500
cc201314,50
13017096521,50
wang15136518865,200
15803586953,50
yaping266,100
15803586953,100
lei943688,100
yaping266,100
whx999,1629
lei943688,48
aa5864562,10
fqw4545,298
aa5864562,30
asd16098,30
zbs89768,353
aaaaa1985,788
asd16098,20
aa5864562,20
zhou7934,300
ljq5255,250
asd16098,50
htls888,200
zcq11069,2000
mzsky001,698
helin666,100
helin666,380
zqf871208,500
lmx422801,500
helin666,200
aa5864562,40
17683006250,100
lh1919,101
li12341234,1530
lys2002,2000
wcf125127,3000
lzq1234lzq,100
lzq1234lzq,50
wcf125127,3980
li12341234,1500
t364970593,59
jyg3561,300
lc83868255,1000
jyg3561,100
jyg3561,100
jyg3561,500
sxd5614110,40
q1656387101,100
q2872183642,120
qweqwe111222,180
mxc88888,100
sxd5614110,50
17786180776,100
sxd5614110,50
q1656387101,200
w0921,300
sxd5614110,60
w0921,200
2000107,500
q1656387101,200
li21yi,200
xn2450,57
zhengyu123,1000
zyt3344,500
szh227521,158
xieshuang88,324
mosala123,28
a1522010340,100
qq595195852,558
zyt3344,500
zyt3344,88
shou147258,130
sz1088,100
fhy52166,1006
lei88888888,400
aojun520,500
ywqa1234,50
a110396,1950
wser3556,1000
mae615,1000
zc558689,500
mae615,1000
aojun520,500
lhpa1234,50
lei88888888,73
qqc6864,500
wser3556,274
aojun520,500
826827abc,1010
lsx6666,20
826827abc,435
wljwlj147,200
mae615,1000
aojun520,367
lei88888888,200
aojun520,500
wljwlj147,200
shou147258,120
mae615,1000
lml3146,500
fwx199603,1200
lhy8953,500
qin15878,200
shou147258,50
mt2579,500
lsx6666,50
hs465412,1800
aojun520,700
2.45105E+12,100
lgfff888,1300
2.45105E+12,801
qwe115115,300
pyq5201314,100
q941793346,365.39
tang6670,849.98
13288961790,100
13288961790,100
ljxy99,1008
13288961790,100
wq718885672,449
ljxy99,517
jfjf8658,500
ljxy99,1310
512036,1000
13288961790,100
wq718885672,100
zk6978171,88
dwsa1,300
a135608,1000
ljxy99,1066
a2846697384,50
dwsa1,399
wp19920913,200
271348,200
123456lf,200
byt578,160
dwsa1,373
13288961790,100
13288961790,100
dwsa1,800
335672,300
wq718885672,260
ffmm88,400
aa7788aa,50
lei943688,100
cvv6116,300
hgfdsa123,200
aiai3,77
wyz190304,72
ssq777999,100
cccvvv,200
hgfdsa123,200
wyz190304,15
dhv2110,10
ccw2883,300
thhone,100
lcf12138,150
lei943688,200
lei943688,116
zyb6789,1500
zyb6789,1459
cc201314,30
ffmm88,300
asd16098,25
hfjj4466,312
ykw8888,300
amxpi1325364274,50
lyf6658,112
aa5864562,30
amxpi1325364274,50
wfwwe542,200
dbf56dnf,335
lyf6658,150
amxpi1325364274,50
aa5864562,30
wcj56478,311
aa5864562,30
asd16098,25
resignes000,1000
lll147asd,30
lth4211,288
lsr3845,290
wfwwe542,100
asd16098,50
wsd666666,30
aa5864562,20
lmx422801,2000
wsd666666,30
zjt67598,109
wsd666666,20
aa5864562,30
zhh54840,159
zhh54840,129
lfy2003,20
z3d41f5k,300
zjt67598,199
cc881299a,500
mengsq19,500
qqd8569,500
chen5688m,500
wcf125127,7477
wyd1209,200
197347605,800
wyd1209,550
wyd1209,500
wyd1209,678
lys2002,2000
wyd1209,1004
lys2002,2120
gsfd2rg1,100
zcxh3665,130
hetao1234567,500
hdgu5548,100
hetao1234567,580
tcz369369,100
dgr21554,100
aixue699,100
a1051431713,94
lxx35972,100
jyg3561,100
wlf13076,100
qweqwe111222,100
c17671103664,100
c17671103664,100
li21yi,190
xiaolei20061206,105
xiaolei200606,50
lwendelw,400
17786180776,100
li21yi,200
q1656387101,20
mzsky001,2000
yu2013520,6265
chq998,1250
liuyang198672,100
z13141,250
z13141,300
a1522010340,100
a1522010340,100
lilili197277,1000
liuyang198672,100
ybo0834,1000
826827abc,541
uhpqsv6j,200
lucky688,50
dxldxl5549,200
lyt1893,500
wsd345678,1000
song1829,5001
a110396,1004
dxldxl5549,200
uhpqsv6j,200
lucky688,50
314781412,50
314781412,50
ybo0834,500
mzsky001,1000
fdbu6i9tred,200
uhpqsv6j,200
bt5832,500
lkk123,100
aa110810,300
lei88888888,100
lucky688,100
15723726757,100
ljl5205,500
a110396,1000
ask722,200
gh401821,1002
lei88888888,122
lucky688,100
lucky688,100
jian9638521,500
zj8311,100
am123456,300
15241130618,1200
lgfff888,500
2.45105E+12,500
b88888888,100
ddf776,1500
pyq5201314,100
pyq5201314,100
ddf776,300
zxcv4312,400
ddf776,300
lgfff888,500
xin451677,729.95
weng1122,487.96
shunaa99,1499.99
dingle123,3202
dd222332,1000
zk6978171,228
wq718885672,400
lllfff66,100
a110396,2283
djdb376,500
a135608,1000
dd222332,300
dwsa1,200
dingle123,1000
ljxy99,300
827103,300
zyh886886,549
13288961790,100
a135608,300
dd222332,1500
zh111,100
jvgj9679,300
zk6978171,160
18075739112,300
ljxy99,618
zk6978171,300
dwsa1,260
gjig8686,500
dd222332,220
dd222332,150
dzx5588,200
wflr7890,50
a135608,1000
a135608,300
wq718885672,408
dd222332,130
a135608,300
a135608,300
dwsa1,731
dzx5588,200
lyq88888,100
870813020,200
q15687898532,100
liang789,1000
hgfdsa123,100
jiang0202,1000
ljxy99,502
wu1661,100
wu1661,100
kdh5842,113
ljxy99,511
870813020,300
pei05223,1000
qpj1234,1500
lyq88888,30
hgfdsa123,100
zq5145,1350
lovelxg,100
hebaoxiang,900
ssq777999,100
870813020,200
wu1661,100
q15687898532,100
fn819895,1004
870813020,322
ffmm88,300
hebaoxiang,53
amxpi1325364274,50
lll147asd,100
fengshao,10
hqq8851,290
lll147asd,20
fengshao,100
hds55sks,200
lyq99101,100
xwl76134,320
dm88415,300
zcq11069,1500
syz84343,300
gjs2412,272
lyq99101,100
fengshao,100
qbw68875,270
17683006250,40
lrf2552,279
x3w2l0kl,293
mqx3483,300
qiu218352,300
17683006250,30
hcy23145,254
zj84565,264
fengshao,100
a16llt11,200
c4x6j5k1,200
zx463692,315
ljxy99,182
af9988,500
lrj6656,500
li12341234,988
zhangruilishigou,100
zhangruilishigou,100
zhangruilishigou,200
zhangruilishigou,200
zhangruilishigou,500
li12341234,1000
zhangruilishigou,1000
wyd1209,897
li12341234,1000
zhangruilishigou,1000
wyd1209,550
sfhy5641,100
ydgg3579,100
pzn123,100
wzz258258,100
hlq25871,100
app780,10
app780,10
app780,70
xsbxsb,10
nn032758,70
nn032758,130
sxd5614110,50
sxd5614110,50
liushu,100
liushu,100
qq313104451,36
q7467323,1000
870813020,500
h7vun72c,158
870813020,400
yang3qqq,158
lxy362523,157
16689671281,158
dqw321085,600
fh003152,1007
s173539,100
lid14862,1400
dqw321085,600
wrf14796,600
xc45628,600
lj76325,1000
xa317150,1000
bh852035,500
s173539,100
ghw7936,1000
jq137273,1002
ww282828,200
s15602629351,1000
xc45628,700
cp684920,1006
dqw321085,700
feng036274,600
zhou1968,1000
wsd23344,500
hhdd559,50
wrf14796,700
xulong007,100
ww282828,200
kmn77809,600
lsx6666,10
dashi888,350
bbvv669,50
feng036274,700
lucky688,50
lucky688,50
lw996688,500
dxldxl5549,200
mzsky001,1200
chen1217,700
qwe115115,1000
lgfff888,1166
fg45588,600
am123456,300
q3041677471,30
lgfff888,2000
qwe115115,500
fg45588,700
weng1122,561.13
