会员账号,订单金额
liushu,113
zcq11069,2000
q1197207797,30
lilili197277,220
q1197207797,30
l2019,1212
a942474408,38
y2308124353,1000
q1197207797,59
19152124506q,58
mlb6666,200
q1197207797,31
mlb6666,100
mlb6666,100
fgh45623,500
qq1122334,10
a110396,5000
yyy887,200
fcxx2588,200
wyz190304,34
ls95588,300
qaz7081,30
fcxx2588,100
ma14796220865,100
lan3986,20
vvf9908,100
a110396,5000
xiao333,100
yyy887,200
wang1238,50
zdm2000,400
chen5688m,500
wzp16845,500
xiaowei813,100
bt7089,300
lan3986,400
wo771025,30
huiy9991,35
ls95588,400
fcxx2588,660
cyr04200,200
yyy887,300
bt7089,300
ls95588,700
safhj77,400
yyy887,1216
mzsky001,1300
bt7089,300
fcxx2588,200
huiy9991,50
wang1238,100
lsx6666,10
ls95588,508
fcxx2588,200
bt7089,200
ls95588,300
zhen1987,2000
fcxx2588,200
safhj77,500
lan3986,300
lan3986,270
fcxx2588,200
fcxx2588,200
895623,50
wzh610221,517
895623,50
895623,10
fj123,100
895623,50
qwe115115,300
895623,50
895623,50
895623,10
895623,50
895623,50
fj123,100
895623,50
895623,50
895623,50
w147258369,500
895623,50
895623,50
895623,50
895623,50
895623,50
895623,50
895623,50
895623,50
qwe115115,500
fj123,50
aa1688888,300
895623,50
895623,50
895623,50
895623,50
zhaiyu,200
18620856077,3000
18620856077,1950
18620856077,698
18620856077,3637
18620856077,2000
18620856077,2500
18620856077,2800
18620856077,1883
lym159357,511.44
68712,300
13288961790,100
zxy1872960,190
13288961790,100
ganba888888,300
ganba888888,100
zxy1872960,100
ljy12345,50
hw040218,300
qq166344,240
dwsa1,103
qta25487,235
q15103634011,30
mao969843,500
iop362421,200
whs1512545335,100
g18252206170,70
iop362421,100
lyq88888,50
lyq88888,50
wu1661,50
wgx448753,690
g18252206170,100
g18252206170,20
whx999,500
kdh5842,100
jql123456,50
g18252206170,10
wu1661,50
hzh5288888,1012
qw334422,500
zcq11069,2000
asd16098,50
aaaaa1985,750
lmx422801,500
aa5864562,30
lmx422801,1000
qw334422,350
aaaaa1985,500
lmx422801,1500
zcq11069,319
aa5864562,20
zqf871208,300
qw334422,300
aaaaa1985,1000
safhj77,100
qw334422,300
zcq11069,1000
lijie189,100
lijie189,500
lfl189,500
lfl189,100
lfl189,400
lijie189,400
lina173,400
lina173,100
lina173,500
zk20020404,500
zk20020404,1000
zk20020404,200
xu415860,100
wwu103696605,50
zk20020404,200
zk20020404,500
zk20020404,50
zk20020404,100
zk20020404,1000
a1051431713,200
a1051431713,100
a1051431713,151
ok123,800
lxx35972,100
ok123,600
ok123,600
chg135636,800
li21yi,200
xiaozhi887,100
chg135636,500
q2872183642,50
q2872183642,100
cao180113,500
zzy361082168,700
zzy361082168,300
zhengyu123,1030
zcq11069,1600
wang15136518865,158
q7467323,500
a942474408,500
a942474408,300
q7467323,500
a942474408,500
a942474408,500
a942474408,500
angus99,198
lijingu6,178
z8259380,158
ffg779,40
sbhz250,300
tmc851027,100
ls95588,100
cc881299a,500
xxz987,100
ffg779,20
minjiu999,100
ls95588,400
syz2638,1000
zc558689,500
dashi888,204
yangxiao7166,200
az30555,179
za060454,200
liu21542,100
sdy123456,300
mzsky001,1300
bt7089,500
ffg779,30
mzsky001,1600
ffg779,30
ls95588,300
ccx9887,30
hac123,50
mzsky001,1000
liu21542,100
dc2253,1000
ss8989,220
ss8989,300
xulong007,100
sdy123456,200
mzsky001,1200
tmc851027,700
ls95588,390
mzsky001,1000
ls95588,370
jack6672,50
ls95588,300
ccx9887,100
ddkk889,100
sjp1478,99
sjp1478,80
keuh89x,100
lx1592787,1000
xxf9876,30
sjp1478,71
fcxx2588,150
mzsky001,1500
sdy123456,300
dashi888,100
jgg8877,100
ccf8866,100
mzsky001,1500
vvc9870,100
ls95588,181
qqd8569,500
22l88,1200
ffg779,100
ak470470,100
ccx9887,30
sdy123456,300
ak470470,500
xxf9876,100
1750437683w,99.8
jack6672,50
hgg8896,100
lml3146,500
ccjh8887,100
xxf9876,30
lgfff888,498
321asd1028,300
wzh610221,1000
lgfff888,401
fj123,100
lgfff888,499
wzh610221,900
321asd1028,180
lgfff888,800
fj123,100
adt336688,3000
lgfff888,300
b88888888,100
mzsky001,860
18620856077,1000
18620856077,3000
18620856077,1200
18620856077,1900
18620856077,1360
18620856077,1200
18620856077,1000
weng1122,499.97
weng1122,399.95
weng1122,474.99
w244865235,2501
19165174315,100
sly521521,400
13288961790,100
13288961790,100
19165174315,50
zxy1872960,100
lf82365400,200
lf82365400,200
wp19920913,200
ljxy99,866
ayangrun,2000
lf82365400,1000
dwsa1,107
a13579asd,270
lijingu6,110
sly521521,200
13288961790,100
19165174315,50
qwe9999,1000
az30555,150
zhu188188,50
hzh5288888,302
wgx448753,255
qwe9999,1000
za060454,150
mao969843,599
qq149744,1200
qwe9999,1000
qwe9999,1000
zmjj79963,100
d313813,200
fhy52166,1005
ffmm88,74
cc201314,50
tkplt012,483
d313813,200
888888zzz,200
tkplt012,517
aa5864562,30
lh1919,101
asd16098,23
resignes000,500
amxpi1325364274,50
wzq162238,2200
lmx422801,1000
cbp1258,100
tt123456a,1000
aa5864562,25
lmx422801,500
ws157732,20
ws157732,30
ws157732,40
ws157732,50
qq669911,300
af9988,500
19183078989,400
19183078989,810
19183078989,600
zk20020404,200
zk20020404,1000
zk20020404,200
zk20020404,500
19183078989,600
ww566225,750
gsfd2rg1,100
ww566225,700
hetao1234567,700
a1051431713,136
ok123,800
aixue699,100
tcz369369,100
ok123,1000
hdgu5548,100
wlf13076,100
ok123,800
dgr21554,100
a1051431713,70
hlq25871,100
ww566225,750
ydgg3579,100
q2872183642,20
xiaozhi887,100
nw88888888,100
edc0008881,200
zpp7890,50
xiaozhi887,100
xiaozhi887,60
wu1661,100
asd8475569,8288
18176936904,4000
xieshuang88,3000
ws172310,158
a942474408,490
a942474408,500
fen8989,1042
wang1238,50
vvh8880,100
zjf220705,1500
dma729,2000
15723726757,100
ll23678,150
sjp1478,70
mao969843,328
zhezixi1,500
gh6882,600
sdy123456,200
mao969843,2000
kmn77809,500
lyt1893,500
qaz789474,500
qou738,2000
yu3836,1006
fdf7877,100
ffx877,100
15294529293,100
hgg9777,100
mao969843,2000
sjp1478,130
mao969843,2000
kop688,200
cgg8877,100
kaz555,200
nk5859,500
yak812,1000
sdy123456,200
q4w4qeam,200
qq669911,100
qq1122334,100
ffj55666,20
lrj6656,500
xxg8766,100
fdf7877,30
gh6882,1000
wqq866a,100
kaz555,2000
aa5868,400
vv9877,100
mkn358,200
liux43796,1000
bvc9986,100
ddkk889,100
bbc9877,30
xin07860,1000
bbc9877,30
ldh369484,1000
bbc9877,100
chq998,1300
aqo828,200
dma729,200
gh401821,1003
ljl5205,500
lsx6666,10
wdc11356,600
vbnm133,600
xiuer151,200
lhy8953,500
as3779,2000
byd7777,700
wang1238,50
ffj55666,30
byd7777,500
yak812,200
wwowwo369,200
mao969843,1000
wei7918,1000
yy2787,100
gh6882,2000
qqc6864,500
yak812,2000
zyx99394,150
mao969843,1000
16689671281,1000
16689671281,1000
hr558811,200
lgfff888,900
15241130618,584
lgfff888,700
2236260154,122
2.45105E+12,100
mm157115492,759
weng1122,487.99
weng1122,560.98
xin451677,328.78
li112433,100
13288961790,100
a13579asd,286
2000107,200
318796,1000
18075739112,300
wwb123456789,50
90142,500
2000107,300
yingba588888,300
wp19920913,200
18075739112,50
12596,1000
li112433,100
li112433,300
802312,500
19165174315,50
17688034449,500
19165174315,50
wp19920913,780
53789,1000
15159677771,200
gjk836,1000
g18252206170,50
gjk836,2000
hebaoxiang,1000
13017096521,100
jiang0202,1000
xio06052,150
g18252206170,10
huawei333,100
fn819895,1004
wuwen22,302
15803586953,100
wdc205,100
ainiyou888,200
dhv2110,10
qpj1234,1400
kdn866,2000
wuwen22,300
15803586953,100
hebaoxiang,62
wdc205,200
wuwen22,100
wuwen22,300
g18252206170,10
pei05223,1000
zq5145,1250
wuwen22,300
g18252206170,30
xio06052,110
xio06052,250
tee56231,100
qwe56789,200
3458017524,20
amxpi1325364274,50
wzq162238,1700
17683006250,50
wsm4650,259
aa5864562,30
gda78520,600
wsd666666,30
aa5864562,30
wzq162238,1059
z3d41f5k,218
wfy8544,290
ljw8412,229
zqf871208,100
amxpi1325364274,50
amxpi1325364274,50
yu034830,300
amxpi1325364274,50
aa5864562,25
ffmm88,100
aa5864562,30
aa5864562,30
mengsq19,500
zhangruilishigou,91
19183078989,330
zhangruilishigou,200
zhangruilishigou,200
li12341234,1000
