会员账号,订单金额
zzy361082168,1020
zzy361082168,1500
liushu,500
z940226692,200
zzy361082168,500
zzy361082168,210
zzy361082168,1000
a942474408,500
q7467323,1000
a942474408,1000
lilili197277,500
a942474408,500
a942474408,500
shiyuwei1,151
lilili197277,50
jh30052,28
a942474408,500
a942474408,500
a942474408,500
a1310206764,163
a942474408,500
a942474408,500
mzsky001,500
niao3084,1200
chen5688m,500
wang2023,500
qwe940,20
lei88888888,400
yxy51888,200
nkk5223,80
nkk5223,50
nkk5223,100
resignes000,500
dbc8888,400
xiao333,100
dbc8888,500
cwhws519,105
zong115599,800
edff77gn,200
qqd8569,500
q332675,30
dbc8888,500
dbc8888,600
k18106999837,2000
ljm5888,600
dbc8888,300
dbc8888,400
lucky688,50
cc881299a,500
dbc8888,500
mao969843,613
zong115599,900
qwert2580,50
ls95588,718
dmw8454,100
fwx199603,1500
895623,50
w147258369,392
895623,10
895623,50
895623,50
mzsky001,1000
15241130618,244
895623,10
895623,10
895623,10
895623,10
mzsky001,1000
mzsky001,1000
2.45105E+12,800
yzh7788,100
2.45105E+12,580
xiaoge686,600
895623,50
adt336688,3000
895623,10
adt336688,5000
895623,50
895623,50
895623,10
895623,50
895623,10
15241130618,499
qwe115115,500
895623,50
895623,50
895623,50
895623,10
w147258369,1188
895623,50
adt336688,1327
wang15136518865,100
895623,10
lgfff888,1000
2.45105E+12,470
18620856077,2586
18620856077,1500
18620856077,500
18620856077,1500
tang6670,799.98
hww178,1000
ljxy99,763
19165174315,50
dengkunfang,500
yangyang168,5000
byt578,291
13288961790,100
123456l,100
271036,500
61423,300
mlb6666,200
13288961790,50
13288961790,100
a13579asd,300
wanduzi888,300
zk6978171,152
q199510,50
zxy1872960,100
a13579asd,500
wq718885672,600
a13579asd,200
13288961790,100
097zbz,500
123456l,100
cslan9,682
yangyang168,10000
123456l,100
q199510,50
yangyang168,5000
13288961790,100
13288961790,100
zxy1872960,100
y2308124353,500
lf82365400,1000
13288961790,100
zhu188188,50
ll1010,30
zmjj79963,100
yyyu0009,500
lei943688,300
qin1080,300
lovelxg,200
kop2263,100
kzw8234,1000
kzw8234,1000
jql123456,80
g18252206170,100
whx999,500
kop2263,40
lei943688,100
ljc0718,200
bx666222,25
lovelxg,100
g18252206170,100
kop2263,50
lei943688,53
mao969843,540
ws157732,67
qq648389428,2000
qq648389428,1700
ws157732,300
qq648389428,5000
qq648389428,2000
tjw0624,100
lll147asd,10
resignes000,492
q1766711522,120
q1766711522,400
qq648389428,3000
qq648389428,2000
hetao1234567,900
zpp7890,100
t225777,100
cao180113,290
aa583631,200
zpp7890,100
chg135636,600
htls888,200
qazqaz808518,200
jh30052,358
a942474408,500
qq595195852,50
q7467323,300
a942474408,500
a942474408,500
qq595195852,50
q7467323,700
a942474408,500
a942474408,1000
a942474408,500
a942474408,500
a1051431713,178
ltlay224601,159
a942474408,500
qq595195852,50
niao3084,1000
zzh661,50
ls95588,800
zht51888,100
zsg1233,500
lml3146,500
lhy8953,500
qqh870427,100
axd6525,50
a110396,10000
zxcv8965,30
zsg1233,700
qqh870427,100
hhhh002141,100
qqh870427,100
axd6525,89
fangxian12,120
lyc0221,10
axd6525,50
af9988,500
a110396,5000
ws157732,150
lei88888888,500
zzh661,100
minjiu999,100
wsd456789,300
axd6525,50
axd6525,50
yzw1989,300
qaz789474,1000
lyc0221,10
zc558689,500
yangxiao7166,200
a110396,5000
wsd456789,200
fangxian12,70
fangxian12,60
qqh870427,100
ma14796220865,100
22l88,300
qqh870427,100
axd6525,47
yuio856y,100
yzw1989,500
fangxian12,50
2.45105E+12,1000
yyy9801,2000
2.45105E+12,600
erhuang666,1000
2.45105E+12,1000
2.45105E+12,500
2.45105E+12,700
2.45105E+12,800
aa1688888,300
18620856077,1500
18620856077,101
gzq6797183,449.92
zk6978171,250
cslan9,722
123456l,100
wp19920913,79
zyh886886,50
a13579asd,300
84127,300
13288961790,100
123456l,100
1428903647yx,100
1428903647yx,100
a13579asd,300
1428903647yx,100
18075739112,300
qq104555,100
zk6978171,65
123456l,100.8
1428903647yx,50
a8587437,50
lutalu51920,187
a13579asd,500
hong58,101
18213296576,20
lh1919,101
rourou,30
g18252206170,90
ffmm88,100
g18252206170,10
19144288841,300
q15687898532,100
lin1987,300
fajia121,100
wgx448753,680
km808088,100
km808088,100
yuedongtian,300
q15687898532,100
q15687898532,100
whx999,500
q15687898532,100
zcq11069,1100
ykw8888,232
amxpi1325364274,50
ss46260,300
ss46260,300
qq648389428,2000
amxpi1325364274,50
ws157732,56
ss46260,200
ss46260,300
ss46260,300
amxpi1325364274,50
pl258000,50
qq648389428,2000
ss46260,100
ss46260,534
amxpi1325364274,50
qq648389428,3000
ws157732,45
amxpi1325364274,50
mengsq19,500
hetao1234567,400
xyl971020,500
pzn123,200
lxx35972,100
wlf13076,100
xyl971020,305
xyl971020,1000
yl3851057,800
xyl971020,500
yl3851057,800
gsfd2rg1,100
hdgu5548,100
aixue699,100
tcz369369,100
dgr21554,100
ww566225,720
li21yi,200
zpp7890,100
yiihh12,130
ff708632,140
lzh2023,50
qqqwettewqqq0,10
qazqaz808518,200
qazqaz808518,200
qazqaz808518,200
a942474408,1100
a942474408,500
zy520977,286
shiyuwei1,158
pg878787,200
ljl5205,500
lw1520,500
zxcv8965,30
lrj6656,500
mzsky001,1500
jggg98,100
wsd456789,500
bbn9988,200
chq998,1000
chq998,300
zxcv8965,500
qqc6864,500
lywbmx5822,1000
wdc11356,700
1750437683w,102
lyt1893,500
cyr04200,200
wsd456789,200
fenghuo66,180
jhg8987,100
and311,100
axd6525,111
qwert2580,50
zhf525214,100
kmn77809,700
jhg8987,100
wjfn66ve,200
jhg8987,100
asdz1456a,100
jggg98,100
jhg8987,200
lqclqc554,200
awax741xx,100
15723726757,100
lei88888888,300
zuinai9,100
jggg98,100
dzx5588,200
jk9888,1500
qwe040331,1000
adt336688,5000
adt336688,2000
tt6678,1500
zs1112,1500
mm157115492,531
18075739112,100
17688034449,50
ljxy99,759
cslan9,638
byt578,600
237125,500
wer52,500
wer52,300
yan88888888,100
zxy1872960,200
wq718885672,151
w244865235,4115
cslan9,679
luo0712,250
18075739112,100
dengkunfang,500
17688034449,727
cslan9,666
zxy1872960,200
cslan9,618
lin1987,200
hebaoxiang,60
wuwen22,300
lei943688,300
wuwen22,300
wuwen22,300
lei943688,100
hebaoxiang,62
ll1010,30
hebaoxiang,58
cl0125,100
zq5145,1250
wuwen22,200
qwe9999,1000
xcxc11,1800
18213296576,10
lei943688,100
qpj1234,1500
wuwen22,300
qwe181898,100
aaaaa1985,320
3458017524,29
hui6699,1000
dm88415,200
dong1314,100
pl258000,50
zqf871208,300
q1766711522,160
ss46260,200
zqf871208,294
19183078989,500
19183078989,1500
19183078989,801
19183078989,888
19183078989,1000
19183078989,2001
hlq25871,100
wzz258258,100
pzn123,200
dfhs125,100
jyg3561,60
hetao1234567,480
ok123,1000
ydgg3579,100
sfhy5641,100
dsffgsd19,2000
app780,10
app780,20
zdj666,50
li21yi,200
lutalu51920,53
app780,10
zpp7890,11
mxc88888,100
q2872183642,100
q2872183642,100
q2872183642,100
zpp7890,47
mxc88888,100
app780,10
zjc20050410,200
zjc20050410,200
zpp7890,100
li21yi,200
zpp7890,22
z940226692,168
z940226692,200
411520a,100
liushu,237
liushu,100
wang15136518865,28
a942474408,500
ltlay224601,386
a942474408,500
q7467323,680
a942474408,500
a942474408,500
wang15136518865,311
zy520977,300
a942474408,500
sdsd5148,1410
wrf14796,700
wxwx12314,200
jggg98,200
sdsd5148,1000
sdsd5148,2090
jggg98,100
gfg8879,200
ggf887,200
bbx9877,100
asdfawdr00,100
sdsd5148,500
sdsd5148,500
dqw321085,700
vbn877,200
kezi,500
bbx9877,100
ggf887,100
lj76325,1002
feng036274,500
kmn77809,500
cp684920,1000
feng036274,700
ccv900,200
wxwx12314,200
wrf14796,700
vvb8870,200
ggf887,100
sdsd5148,1000
jf0706,100
xc45628,600
zzdd223,100
sdsd5148,500
wdc11356,500
bnn7888,200
kezi,1000
yu3836,1001
sdsd5148,500
sdsd5148,1300
t1996318,100
sdsd5148,1000
zzdd223,100
t1996318,142
and311,100
sdsd5148,500
sdsd5148,1000
wrf14796,1000
sdsd5148,1000
sdsd5148,1200
sdsd5148,1000
ggf887,100
nt8690,500
bbx9877,200
dqw321085,600
sdsd5148,500
ggf887,100
ghw7936,1001
ghl197400,1000
fmw8888hr,100
ggh778,200
fg45588,700
fg45588,700
ggh778,300
ggh778,1500
fg45588,500
guo118118,200
zpp7890,219.19
byt578,200
wp19920913,500
wp19920913,201
zxy1872960,100
a13579asd,300
wp19920913,1000
zhengyu123,1600
17688034449,2000
a13579asd,400
byt578,400
byt578,200
2000107,300
wp19920913,700
1428903647yx,50
zxy1872960,154
king886,200
lovelxg,1497
g18252206170,200
g18252206170,300
g18252206170,90
liuwj326,1000
fxuan138,1000
g18252206170,200
zhixin188,800
gb123987,500
gda78520,500
g18252206170,200
g18252206170,10
qin1080,100
hebaoxiang,1000
g18252206170,100
lyh4879,150
asdfawdr00,100
ming0853,189
wzk0922,100
amxpi1325364274,50
amxpi1325364274,50
asdfawdr00,100
ren4454,100
zaj199657,10
3458017524,20
qq524359272,50
3458017524,10
gda78520,700
lina173,400
lijie189,500
lina173,500
lfl189,400
lijie189,400
lijie189,100
lina173,100
lfl189,500
lfl189,100
qwe2929326156,100
qwe2929326156,200
5542165,600
pzn123,200
ok123,800
pzn123,500
hetao1234567,1000
dsffgsd19,1000
pzn123,100
ok123,200
zpp7890,155
app780,10
app780,10
app780,10
app780,10
cao180113,101
li21yi,100
lutalu51920,100
app780,10
edc0008881,200
liushu,100
a942474408,1000
a942474408,500
pg878787,38
a942474408,500
a942474408,500
a942474408,313
a942474408,500
lilili197277,1250
a942474408,500
a942474408,500
a942474408,500
a942474408,500
a942474408,800
jack6672,100
guan4210,1002
whhwcm12757,10
dfg590,21
wang1238,50
jack6672,50
wang1238,50
jack6672,50
fj123,100
xxoo4455,103
18620856077,5000
18620856077,5000
lym159357,1095.96
zxy1872960,300
xu415860,200
xu415860,100
hw040218,100
lrt040218,100
a13579asd,300
hw040218,100
longyuqi717,1000
zxy1872960,200
lrt040218,100
hebaoxiang,44
13017096521,700
cc201314,40
aa0206,140
whhwcm12757,100
13017096521,1000
13017096521,1000
pan8956,42
wzk0922,100
q1766711522,100
amxpi1325364274,100
wzk0922,100
amxpi1325364274,50
amxpi1325364274,50
zhh123,1000
qwe2929326156,100
qwe2929326156,100
nn2438353,500
xyl971020,660
kpwq201547,50
edc0008881,200
z940226692,200
liushu,100
a2846697384,200
z940226692,300
18176936904,4006
15072797718,67
ym3366,50
q7467323,500
ym3366,200
q7467323,500
z13141,1000
a942474408,300
q1197207797,30
q1197207797,30
15072797718,33
a942474408,300
z13141,500
q7467323,500
15072797718,58
a942474408,500
q7467323,500
jack6672,100
wang1238,50
jack6672,50
lan3986,300
qq1122334,50
lan3986,200
ls95588,200
d18582294010,10
t1996318,128
d18582294010,10
qq1122334,50
ls95588,800
cwhws519,320
c369963,100
15294529293,100
aa0206,200
zn900923,1000
lsx6666,20
895623,50
895623,50
895623,50
2.45105E+12,850
895623,50
895623,100
895623,100
15241130618,400
adt336688,3000
895623,50
895623,50
adt336688,3000
2.45105E+12,301
895623,50
895623,100
adt336688,1600
895623,50
895623,50
895623,50
895623,100
895623,50
895623,50
895623,50
895623,50
18620856077,2000
18620856077,2000
18620856077,1500
18620856077,3000
18620856077,2000
18620856077,1500
18620856077,5000
18620856077,3000
18620856077,2000
lmx422801,730.64
zxy1872960,200
zxy1872960,100
zxy1872960,100
13288961790,100
lrt040218,100
zxy1872960,200
zxy1872960,100
zt991009,1000
zxy1872960,300
a13579asd,200
zk6978171,400
zk6978171,200
71025,1000
857210,1000
13017096521,100
13017096521,500
qwe5639,100
wyz190304,15
3339196289,500
13484215787,200
jql123456,20
pan8956,100
13017096521,170
13484215787,68
xcxc11,1600
hong58,26
aa5864562,35
qw334422,505
q1766711522,180
aa5864562,35
aa5864562,20
aa5864562,30
aa5864562,30
asd16098,20
asd16098,50
aa5864562,30
qw334422,700
qw334422,500
19183078989,950
wwu103696605,100
19183078989,509
19183078989,555
wwu103696605,50
a1051431713,100
pzn123,100
t364970593,59
a1051431713,200
w0921,100
oppoa599,80
zpp7890,50
oppoa599,10
nw88888888,100
oppoa599,10
