会员账号,订单金额
zzy361082168,2000
zzy361082168,3000
zzy361082168,3000
a942474408,500
a942474408,500
pyq5201314,70
q7467323,500
lilili197277,500
a942474408,500
a942474408,500
a942474408,1000
a942474408,500
a942474408,500
cmx0222,1000
ll23678,150
zong115599,500
6837hg,500
cz9120,200
dashi888,109
yhs77889,500
qaz7081,30
865gdg,300
lei88888888,600
865gdg,500
zong115599,1000
yhs77889,700
resignes000,500
yyy887,300
mzsky001,1200
yg9297,700
okok6663,100
okok6663,700
bch123456,50
ll23678,150
cwhws519,100
thc880616,100
zhf525214,100
clr57288,1000
865gdg,300
cwhws519,100
ma14796220865,100
yxx840314,100
feifafa1,680
wang1238,50
zong115599,500
zhanglei85,20
okok6663,500
mzsky001,1500
mzsky001,1600
yxx840314,100
resignes000,500
xiuer151,500
yg9297,500
xiao333,100
yxx840314,100
895623,50
gg0011,100
mjl131418,200
895623,10
c051661,60
895623,50
895623,10
895623,50
2.45105E+12,650
895623,10
895623,50
qwe115115,300
mjl131418,100
895623,10
895623,50
895623,10
qwe115115,1000
895623,50
895623,50
895623,50
895623,50
lgfff888,111
895623,50
895623,50
895623,50
895623,10
895623,50
895623,50
gg0011,100
mm20051215,20
mm157115492,500
256dmfr,300
zk6978171,137
cslan9,1210
123456l,100
li377564,300
ljxy99,1440
f827667556,300
zk6978171,221
zk6978171,300
123456l,100
123456l,100
123456l,100
wsj496414,1000
gg150,2000
ljxy99,1466
zk6978171,51
lh523485,300
qq920722,50
gg150,2000
zxy1872960,100
zk6978171,278
zxy1872960,100
hong58,51
l288711,500
zxy1872960,300
zxy1872960,100
chenbing88,54
123456l,100
byt578,200
gg150,2000
1428903647yx,50
123456l,100
zk6978171,420
zxy1872960,300
zln253,500
w244865235,5134
byt578,300
36712,300
gg150,2000
cslan9,1538
amspu122,142
f827667556,500
gg150,1700
cslan9,1408
lei943688,300
z1515634,200
lei943688,50
lei943688,200
hd2001,220
zhu188188,30
zhu188188,100
kzw8234,1000
bx666222,675
xz6055206,250
wgx448753,40
wyz190304,15
xio06052,300
thhone,30
fwx199603,1600
zhu188188,34
xf0550556,250
za060454,250
wuwen22,300
lei943688,71
wuwen22,300
az30555,200
yyyu0009,500
13484215787,35
lin1987,200
kzw8234,197
yzh7788,398
lei943688,200
az30555,313
yyyu0009,500
zhu188188,38
amxpi1325364274,50
amxpi1325364274,50
q1766711522,200
qq648389428,1000
adww333,100
shangxing,100
li757616,100
li757616,100
q1766711522,200
qq648389428,1000
zcq11069,2000
amxpi1325364274,50
amxpi1325364274,50
qq648389428,1000
qq648389428,1415
amxpi1325364274,50
amxpi1325364274,50
lh1919,101
li12341234,711
li12341234,1200
li12341234,1050
li12341234,1500
kxingyun888,500
kxingyun888,1000
kxingyun888,2500
z777,100
lwendelw,1000
app780,800
z777,500
z777,1010
xiaolei200606,200
lwendelw,50
lwendelw,22
lwendelw,500
heqiang323,100
z940226692,100
z940226692,200
a942474408,506
a942474408,1000
a942474408,500
a942474408,500
a942474408,400
2412330564,158
qwe19845,166
hgadw57774,96
a942474408,500
a942474408,500
a942474408,500
a942474408,500
a942474408,500
a942474408,1000
l2019,630
a942474408,1000
a942474408,500
q1828130892,1254
zzx6661,100
wkliang11,160
wd0088,1000
cc881299a,500
wuye1683,150
thc880616,100
qq7691877,100
taq19790104,200
qq7691877,100
lml3146,500
zihua112,500
hu199802,320
jack6672,50
a110396,7000
feifafa1,690
wang1238,50
dsz123456,800
jow1230,19
ybo0834,500
865gdg,300
jzh123,500
qq2059150960,50
dsz123456,400
zc558689,500
zong115599,1000
zong115599,1000
yxyy8889,200
chen5688m,500
hzm680,200
jack6672,50
wd0088,2500
thc880616,100
ls95588,600
zong115599,1000
pengg118,100
bch123456,50
yyq7777,100
22l88,300
bch123456,50
yh1593582,70
jack6672,50
yyq7777,100
yyq7777,200
yyq7777,200
yyq7777,100
m6475,200
zong115599,1100
865gdg,272
thc880616,100
qqd8569,500
zong115599,1000
yyq7777,100
qq7691877,100
mao969843,1000
yh1593582,130
qwe115115,700
asd7758258,50
mjl131418,50
2.45105E+12,500
2.45105E+12,500
mm20051215,50
gg150,2000
gg150,2000
2.45105E+12,227
asd7758258,100
gg150,1000
gg150,1000
gg150,2000
ljxy99,1228
gg150,2000
yan88888888,100
gg150,2000
gg150,1000
910324,750
cslan9,1111
zk6978171,500
910324,700
zk6978171,500
17688034449,500
mm163702,100
sgsgsg123,50
wq718885672,100
cslan9,1146
zk6978171,500
zk6978171,200
zk6978171,300
cslan9,1208
cslan9,1257
wq718885672,250
ljxy99,1155
ja5877,405
zw668899,100
yumin1031,100
gg150,1000
17688034449,3000
gg150,2000
gg150,1900
gg150,2000
jhl19900902,50
zcjb888,140
qw860108,1000
ljxy99,1182
gg150,1000
zk6978171,500
30871,300
mm163702,400
ljxy99,1313
631756,500
amspu122,450
gg150,1000
zk6978171,500
wx111111,100
g18252206170,10
hebaoxiang,60
g18252206170,80
limimi867503,1010
wu1661,100
wu1661,100
wgx448753,210
bx666222,470
zhu188188,60
zhu188188,35
lycnb112,26
13484215787,1000
g18252206170,10
hebaoxiang,800
yuedongtian,30
ffmm88,60
g18252206170,100
yuedongtian,20
13484215787,888
hebaoxiang,63
amxpi1325364274,50
qq648389428,5000
amxpi1325364274,60
qq648389428,2000
lxy362523,11
lxy362523,10
qq648389428,2000
zqf871208,20
amxpi1325364274,50
shangxing,100
qwe56789,100
amxpi1325364274,50
hui6699,1000
amxpi1325364274,40
zcq11069,1000
hao155880,100
qq648389428,1000
qq648389428,2000
lxy362523,10
lxy362523,14
lxy362523,10
hao155880,1000
19183078989,630
wyd1209,100
wyd1209,153
wyd1209,100
wyd1209,400
yl3851057,800
aixue699,100
yl3851057,1200
wlf13076,100
a1051431713,168
jhzj,500
a1051431713,300
tcz369369,100
dgr21554,100
yl3851057,1000
gsfd2rg1,100
yl3851057,200
hdgu5548,100
q2872183642,70
app780,10
app780,50
app780,10
xiaolei200606,30
li21yi,200
3099864,650
t225777,100
app780,200
tang0051,550
xiaozhi887,100
xiaozhi887,100
heqiang323,100
hgadw57774,1000
zzy361082168,1006
z940226692,200
zzy361082168,2000
qazqaz808518,203
z940226692,500
lijie199008,200
z940226692,500
zzy361082168,2000
qazqaz808518,214
l199318,200
lilili197277,500
q1828130892,100
a942474408,500
zy520977,200
a942474408,503
lilili197277,198
lilili197277,350
zy520977,300
